Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1680400276,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680400277,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680400278,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680400279,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680400280,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680400281,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680400282,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680400283,5,,Aggregated,0.000000,0.000000,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,1,0,6794,6794.0,6794,6794,62.0
1680400284,5,,Aggregated,0.000000,0.000000,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,2,0,5200,5985.5,5177,6794,74.0
1680400285,5,,Aggregated,0.000000,0.000000,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,2,0,5200,5985.5,5177,6794,74.0
1680400286,5,,Aggregated,0.000000,0.000000,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,2,0,5200,5985.5,5177,6794,74.0
1680400287,5,,Aggregated,0.000000,0.000000,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,2,0,5200,5985.5,5177,6794,74.0
1680400288,5,,Aggregated,0.000000,0.000000,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,2,0,5200,5985.5,5177,6794,74.0
1680400289,5,,Aggregated,0.000000,0.000000,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,2,0,5200,5985.5,5177,6794,74.0
1680400290,5,,Aggregated,0.000000,0.000000,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,2,0,5200,5985.5,5177,6794,74.0
1680400291,5,,Aggregated,0.000000,0.000000,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,2,0,5200,5985.5,5177,6794,74.0
1680400292,5,,Aggregated,0.000000,0.000000,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,2,0,5200,5985.5,5177,6794,74.0
1680400293,5,,Aggregated,0.000000,0.000000,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,2,0,5200,5985.5,5177,6794,74.0
1680400294,5,,Aggregated,0.200000,0.000000,6800,6800,18000,18000,18000,18000,18000,18000,18000,18000,18000,3,0,6800,9835.333333333334,5177,17535,72.33333333333333
1680400295,5,,Aggregated,0.200000,0.000000,6800,17000,18000,18000,18000,18000,18000,18000,18000,18000,18000,7,0,6800,9287.0,200,17563,68.71428571428571
1680400296,5,,Aggregated,0.100000,0.000000,380,5200,12000,17000,18000,18000,18000,18000,18000,18000,18000,15,0,380,5250.466666666666,83,17563,66.33333333333333
1680400297,5,,Aggregated,0.500000,0.000000,300,330,420,6800,17000,18000,18000,18000,18000,18000,18000,25,0,300,3222.44,71,17563,68.44
1680400298,5,,Aggregated,1.100000,0.000000,280,320,360,420,12000,18000,18000,18000,18000,18000,18000,34,0,280,2417.029411764706,71,17563,67.76470588235294
1680400299,5,,Aggregated,2.100000,0.000000,280,310,330,380,12000,17000,18000,18000,18000,18000,18000,45,0,280,2209.4666666666667,70,17563,68.53333333333333
1680400300,5,,Aggregated,3.100000,0.000000,280,310,330,360,12000,17000,18000,18000,18000,18000,18000,50,0,280,2008.36,70,17563,68.54
1680400301,5,,Aggregated,4.100000,0.000000,280,310,320,350,6800,17000,18000,18000,18000,18000,18000,59,0,280,1725.4915254237287,51,17563,69.11864406779661
1680400302,5,,Aggregated,4.700000,0.000000,200,300,320,330,5200,15000,18000,18000,18000,18000,18000,67,0,200,1537.4179104477612,51,17563,68.85074626865672
1680400303,5,,Aggregated,5.500000,0.000000,160,300,310,320,420,15000,18000,18000,18000,18000,18000,73,0,160,1423.86301369863,51,17563,69.31506849315069
1680400304,5,,Aggregated,6.400000,0.000000,200,300,310,320,420,15000,18000,18000,18000,18000,18000,79,0,200,1332.5949367088608,51,17563,68.9493670886076
1680400305,5,,Aggregated,7.000000,0.000000,270,300,310,330,760,12000,18000,18000,18000,18000,18000,89,0,270,1277.3820224719102,51,17563,68.65168539325843
1680400306,5,,Aggregated,7.500000,0.000000,270,300,310,330,580,6800,17000,18000,18000,18000,18000,101,0,270,1212.079207920792,51,17563,68.41584158415841
1680400307,5,,Aggregated,8.000000,0.000000,270,290,310,320,420,6800,17000,18000,18000,18000,18000,114,0,270,1098.201754385965,51,17563,68.60526315789474
1680400308,5,,Aggregated,8.600000,0.000000,260,280,310,320,420,6300,17000,18000,18000,18000,18000,121,0,260,1049.4297520661157,49,17563,68.45454545454545
1680400309,5,,Aggregated,8.800000,0.000000,270,290,310,330,700,6300,17000,18000,18000,18000,18000,127,0,270,1027.7874015748032,49,17563,68.28346456692914
1680400310,5,,Aggregated,8.700000,0.000000,260,280,310,320,680,6300,17000,18000,18000,18000,18000,137,0,260,971.3868613138686,49,17563,68.18248175182482
1680400311,5,,Aggregated,8.200000,0.000000,260,280,310,320,580,5600,17000,18000,18000,18000,18000,147,0,260,920.4081632653061,49,17563,68.24489795918367
1680400312,5,,Aggregated,8.400000,0.000000,250,280,300,310,540,5600,15000,18000,18000,18000,18000,159,0,250,862.9874213836478,49,17563,68.27672955974843
1680400313,5,,Aggregated,8.600000,0.000000,250,280,300,310,420,5200,15000,18000,18000,18000,18000,173,0,250,808.6531791907514,49,17563,68.38150289017341
1680400314,5,,Aggregated,9.200000,0.000000,250,280,290,310,410,1100,15000,18000,18000,18000,18000,182,0,250,779.0274725274726,49,17563,68.36813186813187
1680400315,5,,Aggregated,9.600000,0.000000,240,270,280,300,380,1100,15000,18000,18000,18000,18000,194,0,240,739.8350515463917,48,17563,68.38144329896907
1680400316,5,,Aggregated,10.200000,0.000000,240,270,280,300,380,760,12000,17000,18000,18000,18000,206,0,240,710.4902912621359,48,17563,68.2621359223301
1680400317,5,,Aggregated,10.500000,0.000000,240,270,280,300,360,760,12000,17000,18000,18000,18000,220,0,240,675.7363636363636,41,17563,68.2090909090909
1680400318,5,,Aggregated,10.400000,0.000000,240,270,280,300,380,740,12000,17000,18000,18000,18000,231,0,240,657.943722943723,41,17563,68.13852813852814
1680400319,5,,Aggregated,10.700000,0.000000,240,270,280,300,360,700,12000,17000,18000,18000,18000,242,0,240,637.1611570247934,41,17563,68.18181818181819
