Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.0792799,17.872,0.003125,32.36
2,0.065649,25.440,0.0210938,32.87
3,0.033659,16.582,0.339063,32.61
4,0.0236444,16.226,0.196875,32.62
5,10.5568,16.593,0,35.02
6,0.109878,22.687,0.0300781,36.74
7,0.103474,19.180,0.130859,36.84
8,0.0223007,22.007,1.89961,37.06
9,0.0230026,16.836,0.0730469,36.73
10,0.0417461,8.446,0.0160156,36.67
11,15.1552,18.545,0.0203125,37.91
12,0.112581,15.262,1.03086,38.59
13,0.0305271,14.231,0.0972656,38.21
14,0.0850306,19.750,0.0460938,40.71
15,0.225495,31.355,0.0195312,44.91
16,0.0811262,23.852,0.136719,45.02
17,0.13752,41.630,0.190625,45.82
18,0.318619,31.746,0.175,45.50
19,0.175714,28.333,0.155469,45.38
20,0.255483,33.792,0.176563,45.27
21,0.211226,26.018,0.705469,45.42
22,0.1799,28.694,0.383203,45.47
23,0.143263,21.374,0.0992188,45.36
24,0.181621,30.869,0.134766,46.00
25,0.214971,35.464,0.277344,46.42
26,0.332744,35.121,0.256641,46.12
27,0.355858,32.424,0.229297,48.10
28,0.116091,23.806,0.112891,45.94
29,0.274291,22.905,0.190625,46.11
30,0.269235,19.451,0.184766,46.04
31,0.324094,23.857,0.21875,45.96
32,0.313801,25.559,0.21875,46.16
33,0.296439,24.445,0.184375,45.99
34,0.304519,37.810,0.231641,46.79
35,0.267212,23.392,0.201172,46.21
36,0.338911,28.684,0.236328,47.49
37,0.28671,25.199,0.188672,46.12
38,0.225624,26.789,0.179297,46.19
39,0.336156,30.769,0.242578,46.30
40,0.252822,28.176,0.191797,46.22
41,0.347891,32.061,0.25,46.27
42,0.189511,32.217,0.144531,46.63
43,0.304993,24.801,0.219141,46.28
44,0.180521,16.760,0.138672,46.15
45,0.239159,20.843,0.189063,46.17
46,0.331057,21.726,0.232422,46.18
47,0.329865,23.906,0.223047,47.21
48,0.153732,27.239,0.812891,46.59
49,0.277145,23.603,0.185156,46.31
50,0.319883,28.337,0.223438,46.45
