Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,11.0526,11.071,0.140234,30.41
2,0.0648651,10.055,0.025,30.53
3,0.0669146,20.811,0.00234375,31.08
4,0.0972824,22.619,0.204688,31.11
5,0.209102,25.078,0.198438,34.33
6,2.8038,23.266,0.015625,35.03
7,7.57271,33.249,0.0757813,36.03
8,0.051116,22.493,0.131641,35.62
9,0.037137,13.625,0.209766,35.45
10,0.0218725,9.618,0.0480469,35.52
11,0.026557,7.839,0.0238281,35.46
12,11.5763,34.814,0.00546875,36.36
13,0.0429764,9.552,0,36.10
14,0.0666351,10.420,0.11875,36.26
15,0.304784,33.584,0,38.03
16,0.174543,31.569,0,39.80
17,0.136255,33.312,0.003125,38.59
18,0.116997,31.747,3.38086,39.05
19,0.136843,32.126,0.24375,38.75
20,15.887,35.675,0.00273438,39.47
21,0.159662,30.012,0.00546875,39.60
22,0.163308,24.984,0,39.81
23,0.16225,32.114,0.125,39.61
24,0.150326,39.054,0,40.23
25,0.232825,33.353,0.003125,39.88
26,0.150852,21.511,0,39.65
27,0.181593,37.577,0.0226563,39.72
28,0.156728,23.232,0,41.74
29,0.14462,24.086,0.0488281,40.41
30,0.14948,21.210,0,39.52
31,0.18127,33.866,0.0152344,39.75
32,0.156599,28.000,0,39.98
33,0.135997,32.459,0,40.44
34,0.148812,18.853,0,39.67
35,0.0820351,15.619,0.00273438,39.57
36,0.183154,24.860,3.86836,39.66
37,0.225744,24.378,0.00273438,39.74
38,0.142339,29.832,0.00546875,39.81
39,0.112225,19.581,0,39.62
40,0.13628,21.335,0.647266,39.73
41,0.14636,28.723,0,40.33
42,0.153095,17.101,0.003125,39.84
43,0.144569,18.837,0,39.73
44,0.137144,18.538,0.0242188,39.61
45,0.163347,21.482,0.00273438,39.67
46,0.188177,25.423,0.00625,39.80
47,0.150734,18.955,0,39.86
48,0.189757,25.152,0.0175781,39.84
49,0.245989,34.478,0,40.17
50,0.209051,28.544,0.003125,39.79
51,0.206886,18.037,0,39.77
52,0.137664,12.826,0.0238281,39.68
53,0.170823,14.268,0.679688,39.71
