Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.0838366,16.940,0,23.29
2,0.0869598,36.819,0,24.08
3,0.0622673,24.135,0.392578,24.89
4,0.0487795,22.055,0.214453,23.83
5,0.237172,24.517,0,27.44
6,0.0802946,11.465,0.0015625,28.79
7,0.0727339,15.792,0,28.91
8,0.077034,13.526,3.32031,28.67
9,0.0320511,9.232,0.164062,28.71
10,0.041769,10.992,0.0222656,28.77
11,0.0425348,18.204,0.0246094,29.36
12,0.0946169,25.415,0.0957031,30.47
13,0.0953331,17.746,3.29961,30.34
14,0.0440998,6.246,0.207031,29.98
15,0.198947,25.798,0.0015625,31.56
16,0.135818,19.278,0.15,31.79
17,0.220129,25.172,3.48359,31.51
18,0.173389,23.547,0.330859,31.69
19,0.175039,27.670,0.160156,31.89
20,0.153098,22.208,0.0863281,32.40
21,15.9489,19.622,0.0964844,32.17
22,0.165331,18.525,0.207813,32.41
23,0.209731,18.094,0.18125,32.22
24,0.212619,20.441,0.128125,32.44
25,0.11035,10.804,0.0542969,32.38
26,0.157182,12.383,0.109375,32.47
27,0.238487,19.701,0.124609,32.81
28,0.221281,34.545,0.110938,33.14
29,0.297205,25.608,0.190234,32.53
30,0.169622,19.163,0.166797,32.54
31,0.312598,22.325,0.14375,32.58
32,0.234844,18.742,0.160547,32.73
33,0.371369,27.489,0.241797,32.51
34,0.358827,20.631,0.225391,32.45
35,0.258715,19.975,0.185938,32.58
36,0.41483,30.851,0.266016,32.78
37,0.336793,32.518,0.200391,33.36
38,0.227335,16.759,0.158984,32.81
39,0.361887,28.706,0.244141,32.68
40,0.305213,22.406,0.198438,32.65
41,0.379395,27.687,0.235156,33.54
42,0.3213,21.736,0.212891,32.54
43,0.318646,16.810,0.227344,32.65
44,0.308447,21.671,0.741797,32.66
45,0.369335,32.523,0.235156,33.39
46,0.354175,22.808,0.237109,32.67
47,0.296647,18.650,0.205078,32.73
48,0.318959,16.109,0.21875,32.71
49,0.37184,21.187,3.44727,32.65
50,0.280876,25.472,0.201563,32.70
51,0.145752,17.057,0.0820312,32.67
52,0.182849,14.755,0.124219,32.70
53,0.272685,37.333,0.147656,33.15
54,0.277565,26.472,0.189844,32.76
55,0.282281,17.937,0.208594,32.72
56,0.224265,11.124,0.152344,32.61
57,0.288446,16.182,0.203906,32.74
58,0.308564,13.939,0.186328,32.72
59,0.426959,17.723,0.270313,32.68
60,0.299345,14.225,0.199219,32.68
61,0.385592,25.925,0.245313,32.74
62,0.327403,30.359,0.248438,33.39
63,0.204621,17.189,0.128906,32.68
64,0.248827,13.221,0.170703,33.37
65,0.354561,19.582,0.23125,32.76
66,0.337564,20.214,0.224609,32.75
67,0.331863,24.096,0.203906,32.73
68,0.296843,12.943,0.185938,32.59
69,0.428956,20.197,0.283203,32.78
70,0.393232,25.502,0.223438,32.94
71,0.315181,22.132,0.813672,32.74
72,0.351895,22.667,0.253125,32.75
73,0.300555,17.283,0.204688,31.98
74,0.271844,23.518,0.434766,32.01
75,0.322156,16.388,0.216797,31.94
76,0.536439,24.677,0.298828,32.03
77,0.428576,21.006,0.262891,32.05
78,0.396137,25.628,0.257812,32.11
79,0.412817,29.209,0.232422,32.59
80,0.394138,20.902,0.238281,32.04
81,0.352872,16.791,0.210547,32.05
82,0.291878,11.124,0.201563,31.98
83,0.297937,19.062,0.184766,31.99
84,0.309879,15.176,0.214844,31.98
85,0.336108,19.077,0.213281,31.95
86,0.316589,18.116,0.219531,32.13
87,0.347169,24.905,0.233203,32.28
88,0.316467,23.748,0.209766,32.82
89,0.376372,17.498,0.229297,32.04
90,0.266477,11.926,0.169531,31.99
91,0.368102,21.849,0.251563,31.96
92,0.370831,18.932,0.239063,32.20
93,0.271101,21.906,0.172656,32.03
94,0.397982,21.810,0.245703,31.98
95,0.312219,20.745,0.178906,32.17
96,0.327442,25.357,0.220313,32.69
97,0.277833,14.469,0.191406,32.06
98,0.167792,11.685,0.157422,31.99
99,0.271169,14.495,0.198828,32.02
100,0.338552,17.051,0.855469,32.01
101,0.296902,14.736,0.172656,31.99
102,0.247549,17.971,0.425391,32.06
103,0.20896,15.795,0.367969,32.02
104,0.335982,41.361,0.225391,32.60
105,0.324202,29.080,0.174219,32.95
106,0.230417,22.999,0.324219,33.01
107,0.17139,15.569,0.108594,32.80
108,0.314298,20.938,0.218359,32.60
109,0.279445,14.391,0.141406,32.66
110,0.327814,16.504,0.210547,32.64
111,0.361771,16.666,0.225,32.75
112,0.345135,18.849,0.239063,32.63
113,0.422925,29.194,0.2875,33.36
114,0.279681,13.109,0.166406,32.60
115,0.24906,14.127,0.164453,32.65
116,0.285128,17.958,0.180859,32.99
117,0.288976,15.782,0.210938,32.61
118,0.321389,17.894,0.213672,32.59
119,0.325389,19.274,0.203125,32.63
120,0.223076,11.618,0.14375,32.60
121,0.297708,22.747,0.208594,33.07
122,0.332115,19.434,0.20625,32.65
123,0.267067,11.502,0.178516,32.72
124,0.311707,12.758,0.210547,32.80
125,0.393858,14.764,0.278516,32.74
126,0.345346,15.960,0.217188,32.85
127,0.325491,18.535,0.222656,32.63
128,0.410419,20.049,0.292187,32.61
129,0.329464,25.173,0.898828,32.64
130,0.259358,27.005,0.186719,33.37
131,0.283298,14.427,0.178906,32.65
132,0.256002,13.558,0.171484,32.61
133,0.34699,16.307,3.27578,32.71
134,0.321596,16.192,0.216016,32.60
135,0.395268,16.234,0.530469,32.58
136,0.217056,17.717,0.346484,32.55
137,0.266196,23.385,0.201563,32.62
138,17.1764,27.753,0.160547,34.03
139,0.254462,29.729,0.440625,33.66
140,0.372746,16.860,0.235547,33.72
141,0.328598,16.049,0.203906,33.27
142,0.38963,22.613,0.244141,33.43
143,0.33952,15.264,0.222656,33.44
144,0.248794,16.436,0.180078,33.34
145,0.354961,15.145,0.241797,33.31
146,0.275198,19.519,0.203516,33.30
147,0.23433,22.549,0.164453,34.03
148,0.279437,23.213,0.196875,33.32
149,0.363223,17.415,0.257422,33.33
150,0.234224,16.331,0.167188,33.28
151,0.278214,12.577,0.196875,33.33
152,0.284767,16.843,0.236328,33.25
153,0.297861,15.147,0.194531,33.26
154,0.363623,20.610,0.235156,33.34
155,0.357059,32.347,0.246094,33.82
156,0.381866,24.078,0.292578,33.20
157,0.490557,24.792,4.55156,32.25
158,0.390392,23.341,0.496094,32.14
159,0.275111,22.398,0.323438,32.16
160,0.38518,18.930,0.267188,32.20
161,0.348821,18.824,0.225,32.09
162,0.267746,12.921,0.153906,32.12
163,0.282317,17.153,0.182031,32.09
164,0.406407,30.186,0.251953,32.85
165,0.256516,16.175,0.166406,32.14
166,0.358199,17.206,0.231641,32.13
167,0.35502,18.232,0.255859,32.11
168,0.336493,22.326,0.208203,32.15
169,0.255013,19.453,0.171484,32.11
170,0.310136,22.419,0.226562,32.14
171,0.358244,19.773,0.236328,32.18
172,0.262449,21.419,0.166797,32.42
173,0.30079,25.312,0.242969,32.17
174,0.322664,16.977,0.217578,32.11
175,0.263768,11.471,0.187891,32.11
176,0.315464,15.241,0.246875,32.17
177,0.39623,16.677,0.261328,32.15
178,0.346786,16.312,0.209766,32.27
