Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
1,0.0140076,4.171,0.501172,23.27,67.00,762.00
2,0.147653,9.074,0.0511719,23.27,68.00,777.00
3,0.0132675,9.928,0,26.87,68.00,777.00
4,0.0115891,13.178,0.171875,25.95,68.00,777.00
5,0.0238028,9.418,0,25.57,68.00,777.00
6,0.0157452,5.120,0,25.58,68.00,777.00
7,0.0719557,7.751,0.218359,25.57,68.00,777.00
8,0.152631,8.103,0.059375,25.60,68.00,777.00
9,0.0174723,7.738,0.277734,25.58,68.00,777.00
10,0.0148878,9.325,0,25.63,68.00,777.00
11,0.0315485,16.819,0,25.62,68.00,882.00
12,0.0891809,10.211,0.513281,25.64,68.00,882.00
13,0.017808,9.441,0,25.64,68.00,882.00
14,0.327424,17.786,0.0765625,25.65,68.00,882.00
15,0.0719843,9.036,0.0164063,25.62,68.00,882.00
16,0.288343,8.238,0.103906,25.64,68.00,882.00
17,0.206476,18.379,0,25.61,68.00,882.00
18,0.234356,13.745,0.565625,25.68,68.00,882.00
19,0.144643,15.607,0,25.68,68.00,882.00
20,0.282743,19.585,0.602734,25.66,68.00,882.00
21,0.0269632,14.068,0,25.72,68.00,785.00
22,0.475567,18.810,0.0875,25.68,68.00,785.00
23,0.760888,21.310,0.125391,25.72,68.00,785.00
24,0.692719,18.603,0.034375,25.72,68.00,785.00
25,0.472688,16.257,0.021875,25.76,68.00,785.00
26,0.721786,12.043,0.232031,25.75,68.00,785.00
27,1.14081,25.956,0,25.88,68.00,785.00
28,1.31142,25.591,0.58125,25.79,68.00,785.00
29,0.863974,15.802,0,25.78,68.00,785.00
30,1.2452,11.200,0,26.06,68.00,793.00
31,0.859639,14.486,0,25.79,68.00,793.00
32,1.69464,29.030,0.000390625,25.76,68.00,793.00
33,1.65973,31.218,0.498047,25.82,68.00,793.00
34,1.51874,20.306,0.181641,25.79,68.00,793.00
35,1.19034,20.024,0,25.84,68.00,793.00
36,1.12497,19.256,0,25.94,68.00,793.00
37,0.0370932,19.725,0.542969,25.80,68.00,793.00
38,0.984932,23.794,0,25.82,68.00,782.00
39,1.07679,16.461,0,25.83,68.00,782.00
40,1.13004,13.944,0.519531,25.79,68.00,782.00
41,2.28364,24.443,0.00976562,25.89,68.00,782.00
42,2.45539,29.740,0,25.90,68.00,782.00
43,2.38165,33.829,0.425,25.53,68.00,782.00
44,0.85635,24.687,0.490625,25.41,68.00,782.00
45,0.284121,20.704,0.0917969,25.48,68.00,782.00
46,0.427569,21.107,0.572266,25.47,68.00,784.00
47,0.430085,27.527,0,25.47,68.00,784.00
48,0.13921,19.435,0.622266,25.47,68.00,784.00
49,0.862506,13.153,0.0257813,25.55,68.00,784.00
50,0.314515,14.915,0.464844,25.43,68.00,784.00
51,0.96774,18.103,0,25.47,68.00,784.00
52,0.592575,21.630,0,25.22,68.00,784.00
53,0.181726,23.610,0.273438,25.21,68.00,784.00
54,0.143007,22.352,0,25.24,68.00,784.00
55,2.10662,38.219,0.509375,25.62,68.00,800.00
56,0.493326,26.342,0.19375,25.33,68.00,800.00
