Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.000125885,6.507,0.0328125,24.37
2,0.0107803,3.690,0,24.36
3,8.58307e-05,3.402,0.0203125,24.35
4,6.29425e-05,4.728,0,24.36
5,6.29425e-05,4.014,0,24.40
6,0.0135031,3.825,0.0316406,24.41
7,0.00112152,3.966,0.0132813,24.39
8,0.000150681,3.004,0,24.40
9,0.088275,6.987,0.0429688,24.41
10,0.0233221,11.739,0.181641,24.44
11,0.00218487,5.435,0.0363281,24.48
12,0.185153,12.877,0.0464844,24.56
13,0.0169868,6.382,0,24.55
14,0.0735569,7.112,0.0214844,24.45
15,0.0210247,9.259,0.185547,24.65
16,0.0705585,11.597,0.197266,24.57
17,0.0205717,6.844,0,24.60
18,0.190763,5.488,0.0257813,24.62
19,0.159904,9.129,0.182031,24.73
20,0.00305557,11.633,0.175391,24.71
21,0.00514698,4.715,0,24.74
22,0.204283,5.690,0.0222656,24.83
23,0.230108,6.982,0.219141,24.85
24,0.176747,11.783,0.194531,24.96
25,0.0273542,12.227,0.0183594,24.91
26,0.819083,12.125,0.110938,25.00
27,0.309333,11.710,0.220703,25.44
28,0.030118,12.027,0.329688,25.23
29,0.330672,13.871,0.235547,25.21
30,0.325472,8.839,0.0355469,25.34
31,0.782825,8.039,0.110547,25.41
32,1.48394,6.769,0.236719,25.41
33,0.531058,13.717,0.291797,25.56
34,0.789309,10.168,0.295703,25.52
35,0.788176,7.751,0.112109,25.53
36,1.98579,10.854,0.25625,25.59
37,1.35307,11.359,0.367188,26.41
38,2.15334,25.015,0.597266,25.81
39,1.42869,16.405,0.383594,25.95
40,1.28208,15.408,0.215625,25.97
41,1.14783,8.009,0.167578,25.89
42,0.955669,8.179,0.184766,25.93
43,1.20568,15.770,0.527344,26.25
44,0.395341,17.650,0.50625,26.17
45,2.15095,10.802,0.330859,26.14
46,0.678056,6.836,0.09375,26.17
47,2.51375,15.595,0.619141,26.44
48,1.74917,15.442,0.520703,26.43
49,1.15875,9.252,0.177734,26.45
50,2.01772,11.797,0.319531,26.52
51,0.990599,15.346,0.134375,26.60
52,0.554625,10.351,0.116797,26.60
53,0.492425,8.494,0.096875,26.63
54,1.09119,8.044,0.185156,26.63
55,1.38939,8.436,0.210156,26.57
56,1.31588,8.108,0.228125,26.60
57,0.707584,6.959,0.147656,26.61
58,2.54844,10.344,0.392188,26.61
59,2.7422,12.119,0.449219,26.65
60,3.02925,12.430,0.714844,27.12
61,2.70811,15.799,0.680078,26.75
62,1.86373,9.018,0.344922,26.84
63,0.722058,7.532,0.0792969,26.81
64,0.754508,15.484,0.178516,26.58
65,0.102492,17.399,0.2,26.54
66,0.00530624,5.531,0,26.57
67,0.213316,10.262,0.244922,26.64
68,0.326738,16.277,0.405078,26.43
69,0.336265,16.614,0.553516,26.37
70,0.231075,20.625,0.405469,26.19
71,0.354177,15.244,0.310938,26.41
72,0.839477,16.226,0.655078,26.84
73,0.344164,19.433,0.422266,26.62
74,0.288403,8.302,0.0644531,26.74
75,1.89564,19.026,0.526172,26.58
76,0.625082,13.859,0.472656,26.82
77,1.03263,24.313,0.64375,26.59
78,0.00560093,28.407,0.688672,26.69
79,0.574798,20.216,0.45,26.55
80,2.30248,22.873,0.505859,26.60
81,0.97241,15.554,0.660938,26.29
82,0.56829,18.753,0.6125,26.39
83,0.577321,20.316,0.589844,26.29
84,0.0424328,13.675,0.276562,26.15
85,0.579252,18.793,0.558203,25.96
86,1.43501,19.962,0.544531,26.63
87,0.825906,22.891,0.736719,25.92
88,0.899324,12.304,0.219141,25.96
89,0.426646,12.949,0.399609,26.37
90,0.488557,15.974,0.501953,26.12
91,1.50179,22.877,0.328125,26.09
92,0.619589,10.620,0.0828125,26.19
93,1.90255,31.541,1.05273,25.97
94,0.122588,23.297,1.03359,26.26
95,0.00661087,11.879,0.222656,26.18
96,0.350256,11.355,0.227734,26.09
97,2.1043,15.317,0.538281,26.79
98,1.27184,24.984,0.830078,26.39
99,0.893359,25.876,0.936719,26.70
100,0.390574,18.611,0.541406,26.12
101,0.904756,22.053,0.666797,26.00
102,1.06124,19.213,0.551172,26.22
103,1.88812,19.458,0.676953,26.42
104,0.329516,38.961,1.09375,26.46
105,0.627619,37.032,0.980859,25.82
106,0.690516,20.288,0.516797,25.98
107,0.239985,17.745,0.500391,26.68
108,0.0678272,14.196,0.320703,26.04
109,0.829174,12.268,0.216016,26.12
110,0.475297,9.046,0.172656,25.99
111,0.297915,18.594,0.596484,25.79
112,1.25249,23.470,0.955469,26.24
113,0.378811,22.137,0.625,26.17
114,0.0437355,23.012,0.605469,25.91
115,1.17467,16.823,0.427344,26.10
116,0.4042,8.929,0.0199219,26.19
117,1.42833,18.534,0.678906,26.22
118,0.684606,30.614,0.789062,27.17
119,0.166224,22.715,0.760547,26.26
120,0.301067,23.121,0.641016,26.20
121,0.792671,23.540,0.507812,25.91
122,0.347967,16.884,0.305469,25.83
123,0.550055,10.643,0.308203,25.97
124,0.432645,14.704,0.452734,25.86
125,0.277375,21.109,0.659766,26.48
126,0.126555,23.022,0.694141,25.94
127,1.06874,21.102,0.634375,26.03
