Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.0337486,13.373,0.00390625,18.06
2,0.00645065,5.331,0,18.07
3,0.0618334,30.727,0,19.26
4,0.0201759,17.814,0.325,18.06
5,0.0503864,14.963,0.228906,18.28
6,0.0400906,19.939,0,18.38
7,0.0429649,27.615,0.197656,18.37
8,15.6252,34.547,0.0453125,19.57
9,3.73909,28.512,0.0546875,20.23
10,0.09062,19.975,0,20.31
11,0.056426,17.453,0,20.47
12,0.687428,21.432,0,24.01
13,0.6794,14.016,0.359375,24.87
14,1.76981,21.133,0.384766,24.46
15,0.208797,24.923,0,25.23
16,0.0472956,29.169,0.275781,25.13
17,1.72243,44.506,0.0316406,27.02
18,1.18763,31.136,0.689844,27.03
19,0.108267,19.394,0.498828,27.08
20,0.0800428,29.817,0.0386719,27.36
21,28.6036,33.478,0.166797,28.38
22,0.0908413,30.316,0,29.38
23,28.6683,39.207,0.123828,29.59
24,1.36075,46.096,0.0445313,30.37
25,0.0778084,31.392,0.188672,30.89
26,0.849511,38.098,0.866406,30.45
27,0.120652,23.540,0,30.52
28,0.122789,19.083,0,30.66
29,0.0893993,11.696,0,30.40
30,0.133792,22.062,0.0160156,30.67
31,14.7222,30.147,0,30.78
32,0.200851,24.106,2.05508,30.78
33,0.0878105,36.715,12.8746,31.54
34,0.106492,44.678,0.310156,32.16
35,14.7197,25.243,0,30.76
36,28.7759,36.952,0,31.95
37,1.38397,36.592,1.36133,32.75
38,15.3304,44.257,2.89102,32.40
39,1.83221,35.268,0.111328,32.39
40,1.91599,23.401,0.0363281,31.51
41,15.3056,37.380,0,31.77
42,4.30285,37.631,0,32.76
43,1.896,41.742,0.0304688,32.17
44,2.92968,27.791,0,32.06
45,2.34773,23.303,0,32.13
46,1.80352,20.334,0,32.10
47,16.4462,25.609,0.0203125,32.15
48,10.2183,35.315,0,33.01
49,3.01212,31.678,0,32.82
50,2.89865,41.448,0,34.12
51,17.6996,38.833,0.0171875,35.54
52,16.3716,27.603,0.003125,35.20
53,17.4157,31.230,0,35.19
54,2.46944,25.030,0,35.14
55,18.8213,26.817,0.0152344,35.32
56,1.30231,30.631,0,35.39
57,4.17274,29.531,0,35.85
58,10.1561,32.815,0,36.40
59,16.9701,41.216,0.0207031,38.10
60,17.0663,28.263,0.003125,37.35
61,2.37223,31.965,1.62617,37.85
62,3.62654,32.792,0,38.16
63,10.5926,27.942,0,38.10
64,32.9502,28.142,0,38.02
65,3.46832,32.486,5.58438,38.43
