Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
1,0.0204411,9.177,0,26.45,108.00,868.00
2,0.0346231,2.969,0.0132813,26.45,108.00,868.00
3,0.0593157,5.169,0.163281,26.45,108.00,868.00
4,0.0273657,4.489,0.000390625,26.44,108.00,868.00
5,0.0126123,2.497,0,26.43,108.00,868.00
6,0.0156345,3.627,0,26.44,108.00,868.00
7,0.0222359,6.324,0,26.47,108.00,868.00
8,0.0873461,4.259,0.03125,26.45,108.00,868.00
9,0.0419941,6.298,0,26.49,108.00,879.00
10,0.027174,10.924,0,26.47,108.00,879.00
11,0.119493,14.563,0.0527344,26.29,108.00,879.00
12,0.0269279,7.215,0.367969,26.31,108.00,879.00
13,0.0314484,7.078,0,26.29,108.00,879.00
14,0.100204,7.418,0.0402344,26.31,108.00,879.00
15,0.0794601,6.840,0.0222656,26.29,108.00,879.00
16,0.0351582,6.310,0,26.29,108.00,879.00
17,0.0842276,9.420,0.470703,26.30,108.00,879.00
18,0.0527267,6.877,0,26.33,108.00,879.00
19,0.0539446,7.134,0.0152344,26.34,108.00,876.00
20,0.224382,13.878,0.0574219,26.36,108.00,876.00
21,0.0649157,4.744,0.0222656,26.35,108.00,876.00
22,0.142245,9.300,0,26.37,108.00,876.00
23,0.20876,7.911,0.0671875,26.37,108.00,876.00
24,0.0871849,7.112,0.452344,26.37,108.00,876.00
25,0.179183,10.253,0.111328,26.38,108.00,876.00
26,0.160365,7.739,0.0339844,26.38,108.00,876.00
27,0.191671,11.444,0.025,26.38,108.00,876.00
28,0.205294,9.430,0.0234375,26.37,108.00,876.00
29,0.232969,4.497,0.0914063,26.45,108.00,935.00
30,0.317789,13.502,0,26.54,108.00,935.00
31,0.120584,4.559,0.368359,26.50,108.00,935.00
32,0.178985,8.650,0.0335937,26.51,108.00,935.00
33,0.123699,5.950,0.015625,26.48,108.00,935.00
34,0.0853043,6.602,0,26.50,108.00,935.00
35,0.0833731,4.340,0.000390625,26.50,108.00,935.00
36,0.159909,8.374,0.0535156,26.50,108.00,935.00
37,0.0651016,9.173,0.0160156,26.52,108.00,935.00
38,0.10282,8.619,0,26.53,108.00,909.00
39,0.0802555,12.905,0.0160156,26.54,108.00,909.00
40,0.106088,7.289,0.0261719,26.54,108.00,909.00
41,0.105842,7.973,0.477344,26.54,108.00,909.00
42,0.0663671,8.485,0,26.55,108.00,909.00
43,0.100025,7.841,0,26.55,108.00,909.00
44,0.164694,11.731,0.224609,26.58,108.00,909.00
45,0.140959,9.604,0.108594,26.58,108.00,909.00
46,0.08986,8.116,0,26.57,108.00,909.00
47,0.0875282,16.676,0.0949219,26.60,108.00,910.00
48,0.173464,6.462,0.550391,26.60,108.00,910.00
49,0.243845,10.868,0.0351562,26.56,108.00,910.00
50,0.153906,5.745,0.0558594,26.57,108.00,910.00
51,0.117674,7.602,0.490625,26.55,108.00,910.00
52,0.102653,9.518,0,26.57,108.00,910.00
53,0.0570269,6.380,0.0152344,26.58,108.00,910.00
54,0.0926418,14.187,0,26.58,108.00,910.00
55,0.045969,11.491,0,26.60,108.00,901.00
56,0.183793,7.526,0.521094,26.61,108.00,901.00
57,0.12504,9.555,0.0261719,26.60,108.00,901.00
58,0.0816069,9.051,0.473438,26.61,108.00,901.00
59,0.237921,10.822,0.0578125,26.60,108.00,901.00
60,0.0700836,6.265,0.0132813,26.60,108.00,901.00
61,0.280675,15.990,0.565234,26.63,108.00,901.00
62,0.0806074,19.675,0.173438,26.69,108.00,901.00
63,0.141118,8.083,0.337109,26.69,108.00,901.00
64,0.132496,10.037,0,26.67,108.00,907.00
65,0.330988,7.701,0.232422,26.70,108.00,907.00
66,0.104667,9.113,0.0152344,26.70,108.00,907.00
67,0.0863552,14.366,0,26.71,108.00,907.00
68,0.0902281,9.987,0.517578,26.72,108.00,907.00
69,0.123225,8.226,0.0246094,26.69,108.00,907.00
70,0.048974,8.399,0,26.66,108.00,907.00
71,0.0921106,15.181,0.0160156,26.68,108.00,907.00
72,0.0408125,8.394,0.0625,26.69,108.00,907.00
73,0.127959,15.903,0.0152344,26.69,108.00,907.00
74,0.147163,9.881,0.0375,26.71,108.00,900.00
75,0.186022,10.869,0.510156,26.71,108.00,900.00
76,0.0545206,7.540,0,26.69,108.00,900.00
77,0.121984,9.876,0.490234,26.70,108.00,900.00
78,0.199519,9.859,0.0625,26.70,108.00,900.00
79,0.117496,17.065,0.484375,26.70,108.00,900.00
80,0.0566597,10.782,0,26.69,108.00,900.00
81,0.13248,10.552,0.0351562,26.68,108.00,900.00
82,0.105362,11.855,0.0261719,26.69,108.00,900.00
83,0.0667419,9.203,0.00195312,26.70,108.00,900.00
84,0.0955105,9.225,0.414453,26.70,108.00,910.00
85,0.0653248,8.571,0.096875,26.71,108.00,910.00
86,0.149894,16.389,0.504688,26.71,108.00,910.00
87,0.217661,11.166,0.0589844,26.73,108.00,910.00
88,0.145372,13.526,0.0945313,26.75,108.00,910.00
89,0.0723209,11.440,0.463672,26.73,108.00,910.00
90,0.197859,11.145,0.0621094,26.75,108.00,910.00
91,0.0582771,13.633,0,26.75,108.00,910.00
92,0.0675802,7.116,0.489844,26.79,108.00,907.00
93,0.105549,7.621,0.475391,26.75,108.00,907.00
94,0.111692,8.690,0.0246094,26.75,108.00,907.00
95,0.0709314,10.474,0.487891,26.76,108.00,907.00
96,0.280782,13.580,0.0660156,26.76,108.00,907.00
97,0.108878,9.647,0.0148438,26.77,108.00,907.00
98,0.100821,12.431,0.0253906,26.74,108.00,907.00
99,0.0925417,11.586,0.0164063,26.76,108.00,907.00
100,0.117789,8.934,0.494922,26.76,108.00,907.00
101,0.0981312,10.372,0.0210938,26.80,108.00,907.00
102,0.234107,10.018,0.49375,26.80,108.00,903.00
103,0.243229,21.769,0,26.78,108.00,903.00
104,0.0986958,10.353,0.0136719,26.77,108.00,903.00
105,0.185848,12.271,0.497266,26.83,108.00,903.00
106,0.0986605,10.924,0.0417969,26.83,108.00,903.00
107,0.0571489,12.291,0.463672,26.94,108.00,903.00
108,0.109844,11.833,0.0152344,26.88,108.00,903.00
109,0.245335,15.089,0.533203,26.89,108.00,903.00
110,0.130013,11.014,0.482422,26.90,108.00,903.00
