Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1680423902,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680423903,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680423904,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680423905,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680423906,3,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680423907,3,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680423908,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680423909,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680423910,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680423911,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680423912,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680423913,6,,Aggregated,0.000000,0.000000,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,1,0,4466,4466.0,4466,4466,139.0
1680423914,7,,Aggregated,0.000000,0.000000,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,1,0,4466,4466.0,4466,4466,139.0
1680423915,7,,Aggregated,0.000000,0.000000,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,2,0,122,2294.0,122,4466,138.0
1680423916,8,,Aggregated,0.000000,0.000000,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,2,0,122,2294.0,122,4466,138.0
1680423917,8,,Aggregated,0.200000,0.000000,2600,2600,3600,3600,4500,4500,4500,4500,4500,4500,4500,6,0,160,1854.6666666666667,115,4466,88.33333333333333
1680423918,9,,Aggregated,0.200000,0.000000,2600,2600,3600,3600,4500,4500,4500,4500,4500,4500,4500,6,0,160,1854.6666666666667,115,4466,88.33333333333333
1680423919,9,,Aggregated,0.200000,0.000000,340,2600,3600,4500,14000,14000,14000,14000,14000,14000,14000,10,1,160,2606.5,63,14409,92.9
1680423920,10,,Aggregated,0.600000,0.000000,260,340,3600,3600,4500,14000,14000,14000,14000,14000,14000,12,3,220,2212.3333333333335,63,14409,93.75
1680423921,10,,Aggregated,0.700000,0.000000,260,3600,4500,8700,14000,14000,14000,14000,14000,14000,14000,17,5,260,3576.0588235294117,63,14409,99.41176470588235
1680423922,10,,Aggregated,1.000000,0.100000,250,2600,4000,4100,11000,14000,14000,14000,14000,14000,14000,26,7,250,2706.0384615384614,29,14409,108.34615384615384
1680423923,10,,Aggregated,1.500000,0.500000,240,260,3600,4100,8700,14000,14000,14000,14000,14000,14000,34,8,240,2247.735294117647,26,14409,111.05882352941177
1680423924,10,,Aggregated,2.200000,0.700000,220,250,340,4000,5200,11000,14000,14000,14000,14000,14000,45,12,220,1820.088888888889,15,14409,110.55555555555556
1680423925,10,,Aggregated,2.900000,0.800000,220,250,340,3600,5200,11000,14000,14000,14000,14000,14000,50,13,220,1662.84,15,14409,110.28
1680423926,10,,Aggregated,3.900000,1.000000,210,240,260,720,4300,8700,14000,14000,14000,14000,14000,62,14,210,1438.5483870967741,15,14409,107.09677419354838
1680423927,10,,Aggregated,4.500000,1.300000,200,240,260,580,4500,11000,14000,25000,25000,25000,25000,77,15,200,1568.7012987012988,15,24717,108.59740259740259
1680423928,10,,Aggregated,5.300000,1.400000,200,240,250,300,4300,8700,14000,25000,25000,25000,25000,99,17,200,1321.6767676767677,15,24717,106.65656565656566
1680423929,10,,Aggregated,6.600000,1.400000,200,230,250,260,4300,6900,14000,14000,25000,25000,25000,118,18,200,1174.2627118644068,15,24717,106.71186440677967
1680423930,10,,Aggregated,8.200000,1.600000,190,220,240,250,4100,6900,14000,14000,25000,25000,25000,148,20,160,1076.3243243243244,15,24717,106.67567567567568
1680423931,10,,Aggregated,10.100000,1.800000,100,220,240,240,2600,5400,11000,14000,25000,25000,25000,177,20,100,916.6045197740114,15,24717,107.0
1680423932,10,,Aggregated,12.000000,1.900000,94,220,230,240,580,5200,9000,14000,25000,25000,25000,201,20,94,829.8258706467661,15,24717,106.75124378109453
1680423933,10,,Aggregated,14.500000,1.500000,89,210,230,240,340,4500,9000,14000,25000,25000,25000,221,20,89,764.5339366515838,15,24717,106.57013574660634
1680423934,10,,Aggregated,16.400000,1.300000,92,200,220,240,300,4300,9000,14000,25000,25000,25000,248,20,89,702.2701612903226,15,24717,106.96774193548387
1680423935,10,,Aggregated,18.100000,1.200000,93,210,230,240,280,4300,8700,14000,25000,25000,25000,268,20,92,664.1753731343283,15,24717,107.45522388059702
1680423936,10,,Aggregated,19.300000,1.000000,93,210,230,240,270,4300,8700,14000,25000,25000,25000,295,20,93,637.735593220339,15,24717,107.36610169491526
1680423937,10,,Aggregated,21.100000,0.700000,89,200,220,240,260,4100,8600,11000,25000,25000,25000,320,20,89,596.325,15,24717,107.759375
1680423938,10,,Aggregated,22.700000,0.600000,86,200,220,230,260,3600,6900,11000,25000,25000,25000,353,20,86,553.0736543909348,15,24717,107.95184135977337
1680423939,10,,Aggregated,23.600000,0.600000,84,200,220,230,260,2600,6900,11000,25000,25000,25000,379,20,84,523.7124010554089,15,24717,107.58575197889182
1680423940,10,,Aggregated,24.600000,0.400000,78,200,220,230,250,1800,5400,9000,25000,25000,25000,415,20,78,485.9156626506024,12,24717,107.51566265060241
1680423941,10,,Aggregated,25.500000,0.200000,78,200,210,220,250,1000,5400,9000,25000,25000,25000,444,20,78,461.8018018018018,12,24717,107.86486486486487
1680423942,10,,Aggregated,26.300000,0.000000,76,190,210,220,250,820,5300,9000,25000,25000,25000,480,20,76,434.3666666666667,12,24717,107.83125
1680423943,10,,Aggregated,26.500000,0.000000,75,190,210,220,250,580,5200,8700,25000,25000,25000,515,20,75,411.2699029126214,12,24717,107.673786407767
1680423944,10,,Aggregated,27.100000,0.000000,75,190,210,220,240,390,5200,8700,25000,25000,25000,545,20,75,394.5816513761468,12,24717,107.99816513761468
1680423945,10,,Aggregated,28.400000,0.000000,74,190,200,220,240,340,5100,8700,25000,25000,25000,579,20,74,377.35924006908465,12,24717,107.98963730569949
1680423946,10,,Aggregated,29.300000,0.000000,73,190,200,220,240,280,4500,8600,25000,25000,25000,609,20,73,363.615763546798,11,24717,108.11330049261083
1680423947,10,,Aggregated,29.900000,0.000000,72,190,200,220,240,270,4500,8600,25000,25000,25000,639,20,72,351.2097026604069,11,24717,108.28169014084507
1680423948,10,,Aggregated,30.700000,0.000000,70,190,200,210,240,260,4300,8600,25000,25000,25000,671,20,70,339.1877794336811,10,24717,108.00894187779434
1680423949,10,,Aggregated,31.300000,0.000000,70,190,200,210,240,260,4300,8600,25000,25000,25000,698,20,69,329.9269340974212,7,24717,108.03581661891117
1680423950,10,,Aggregated,31.800000,0.000000,69,190,200,210,240,260,4300,6900,25000,25000,25000,728,20,69,320.00686813186815,7,24717,107.96978021978022
1680423951,10,,Aggregated,31.500000,0.000000,69,190,200,210,240,260,4100,6900,25000,25000,25000,764,20,69,310.46204188481676,7,24717,108.22905759162303
1680423952,10,,Aggregated,31.700000,0.000000,69,190,200,210,240,260,4100,6900,25000,25000,25000,794,20,69,302.8702770780856,7,24717,108.17380352644837
1680423953,10,,Aggregated,31.700000,0.000000,69,180,200,210,240,260,4000,5400,25000,25000,25000,830,20,68,293.3879518072289,7,24717,108.1843373493976
1680423954,10,,Aggregated,31.900000,0.000000,68,180,200,210,230,250,3600,5400,25000,25000,25000,861,20,68,287.11962833914055,7,24717,108.28919860627178
1680423955,10,,Aggregated,31.500000,0.000000,68,180,200,210,230,250,3600,5400,25000,25000,25000,892,20,68,280.5470852017937,7,24717,108.14349775784753
1680423956,10,,Aggregated,31.600000,0.000000,68,180,200,200,230,250,2600,5300,25000,25000,25000,926,20,68,274.4503239740821,7,24717,108.20086393088553
1680423957,10,,Aggregated,31.500000,0.000000,68,180,200,200,230,250,1900,5300,25000,25000,25000,965,20,68,266.9886010362694,7,24717,108.15025906735751
1680423958,10,,Aggregated,31.700000,0.000000,67,180,200,200,230,250,1800,5200,14000,25000,25000,1002,20,67,259.8423153692615,7,24717,108.06187624750498
1680423959,10,,Aggregated,32.300000,0.000000,67,180,200,200,230,250,1800,5200,14000,25000,25000,1035,20,67,254.86666666666667,7,24717,108.28888888888889
1680423960,10,,Aggregated,32.800000,0.000000,67,180,200,200,230,250,1700,5200,14000,25000,25000,1071,20,67,249.81886087768441,7,24717,108.20354808590103
1680423961,10,,Aggregated,33.500000,0.000000,67,180,200,200,230,250,1000,5100,14000,25000,25000,1102,20,67,245.63974591651544,7,24717,108.3475499092559
1680423962,10,,Aggregated,33.900000,0.000000,67,180,200,200,230,250,1000,5100,14000,25000,25000,1133,20,67,241.96999117387466,7,24717,108.39805825242719
1680423963,10,,Aggregated,34.100000,0.000000,66,180,200,200,230,250,820,5100,14000,25000,25000,1168,20,66,236.92123287671234,7,24717,108.34760273972603
1680423964,10,,Aggregated,33.800000,0.000000,65,180,190,200,220,250,820,5100,14000,25000,25000,1197,20,65,233.45697577276525,7,24717,108.35087719298245
1680423965,10,,Aggregated,34.000000,0.000000,65,180,190,200,220,240,720,4500,14000,25000,25000,1236,20,65,228.86245954692558,7,24717,108.39805825242719
1680423966,10,,Aggregated,33.800000,0.000000,64,180,190,200,220,240,580,4500,14000,25000,25000,1271,20,64,224.8025177025964,7,24717,108.25177025963808
1680423967,10,,Aggregated,33.900000,0.000000,64,180,190,200,220,240,580,4500,14000,25000,25000,1300,20,64,221.82538461538462,7,24717,108.32846153846154
1680423968,10,,Aggregated,34.400000,0.000000,64,180,190,200,220,240,570,4300,14000,25000,25000,1331,20,64,218.77836213373402,7,24717,108.35236664162284
1680423969,10,,Aggregated,34.400000,0.000000,64,180,190,200,220,240,400,4300,14000,25000,25000,1358,20,64,216.88512518409425,7,24717,108.46097201767304
1680423970,10,,Aggregated,33.300000,0.000000,64,180,190,200,220,240,400,4300,14000,25000,25000,1388,20,64,214.20389048991353,7,24717,108.47118155619597
1680423971,10,,Aggregated,32.600000,0.000000,64,180,190,200,220,240,390,4300,14000,25000,25000,1418,20,64,211.94922425952046,7,24717,108.46121297602257
1680423972,10,,Aggregated,32.200000,0.000000,64,180,190,200,220,240,340,4300,14000,25000,25000,1455,20,64,209.12508591065293,7,24717,108.4680412371134
1680423973,10,,Aggregated,31.500000,0.000000,64,180,190,200,220,240,340,4300,14000,25000,25000,1483,20,64,207.08968307484827,7,24717,108.5131490222522
1680423974,10,,Aggregated,31.500000,0.000000,63,180,190,200,220,240,310,4100,14000,25000,25000,1518,20,63,204.3399209486166,7,24717,108.45981554677206
1680423975,10,,Aggregated,31.300000,0.000000,63,180,190,200,220,240,300,4100,14000,25000,25000,1555,20,63,201.6475884244373,7,24717,108.3305466237942
1680423976,10,,Aggregated,31.000000,0.000000,63,180,190,200,220,240,300,4100,14000,25000,25000,1588,20,63,199.4168765743073,7,24717,108.3513853904282
1680423977,10,,Aggregated,32.000000,0.000000,63,180,190,200,220,240,300,4000,14000,25000,25000,1616,20,63,197.7710396039604,7,24717,108.32797029702971
