Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.00134659,6.372,0,22.60
2,0.000178337,3.766,0,22.58
3,0.000645638,3.208,0,22.58
4,0.000331879,7.894,0.00859375,22.61
5,0.0118999,6.694,0,22.65
6,0.00039196,2.396,0,22.63
7,0.000211716,6.541,0.00234375,22.62
8,0.0105171,5.263,0.00664063,22.67
9,0.0241013,7.202,0,22.61
10,0.000882149,5.188,0,22.62
11,0.0053997,4.685,0,22.61
12,0.0154676,5.313,0.00273438,22.63
13,0.0390892,7.185,0.1625,22.74
14,0.0195704,11.696,0.209375,22.68
15,0.0161657,4.605,0.00234375,22.82
16,0.0322056,13.086,0,22.79
17,0.0418463,12.249,0.225391,22.89
18,0.00887108,12.925,0.213281,22.84
19,0.0207357,7.533,0,22.94
20,0.277888,8.230,0,22.99
21,0.0361223,10.926,0.182031,23.07
22,0.010253,9.939,0.207031,22.91
23,0.0301418,5.638,0,23.09
24,0.160622,8.980,0,23.08
25,0.063055,11.721,0.289062,23.13
26,0.0204086,10.006,0.167969,23.78
27,0.150318,9.046,0.194141,23.28
28,0.156879,6.996,0,23.31
29,0.148138,12.895,0,23.43
30,0.0775213,11.152,0.185938,23.52
31,0.116761,18.352,0.353516,23.99
32,0.0266104,18.427,0.212891,23.60
33,0.0267458,5.428,0.00429688,23.56
34,0.303088,7.966,0,23.64
35,0.167189,10.581,0.189063,23.89
36,0.239121,9.074,0.2,23.81
37,0.011899,7.808,0.171484,23.98
38,0.364962,9.348,0.195703,23.89
39,0.394579,7.858,0.0160156,24.05
40,0.123933,8.810,0.00234375,23.98
41,0.708515,13.038,0,24.14
42,0.0169125,18.886,0.208594,24.28
43,0.00831795,11.055,0.192188,24.23
44,0.0380554,5.531,0,24.25
45,0.128982,8.048,0,24.26
46,0.00563526,4.031,0,24.33
47,0.00019455,3.066,0,24.34
48,0.000232697,2.971,0,24.30
49,0.000148773,5.330,0.00234375,24.32
50,0.000232697,3.041,0,24.36
51,0.0106106,3.208,0,24.35
52,0,2.688,0.0335937,24.36
53,0.00119972,2.340,0.009375,24.26
54,0.00222015,13.056,0,24.44
55,0.000232697,4.484,0,24.39
56,0.000159264,7.456,0.0328125,24.35
57,0.000125885,8.410,0,24.45
58,0.000318527,8.465,0.00976562,24.39
59,0,3.057,0,24.40
60,0.0104408,2.869,0.01875,24.45
61,0.000232697,4.308,0.00703125,24.35
62,0.000967979,3.383,0.00234375,24.39
63,0.0107679,3.966,0,24.41
64,0,5.931,0.00976562,24.37
65,0.000232697,8.421,0.119531,24.09
66,0.000964165,5.393,0,24.05
67,0.000821114,15.705,0.121094,24.04
68,0.0104418,7.077,0,24.09
69,0,3.714,0.135547,24.05
70,0.0013895,4.616,0,24.05
71,0.000232697,2.802,0,24.03
72,0,3.971,0.0308594,23.95
73,0.0110664,3.933,0.03125,23.99
74,0.000337601,6.430,0.00273438,24.01
75,0.000232697,3.417,0,24.01
76,0.010663,11.519,0,24.02
77,0.0531521,7.738,0,24.07
78,0.000232697,7.496,0.0203125,24.07
79,0.00106907,2.228,0,24.07
80,0.000232697,10.451,0,23.98
81,5.72205e-05,5.515,0,24.01
82,0.000232697,4.842,0.0160156,24.02
83,0.000444412,7.027,0.00273438,24.03
84,0,2.930,0,24.05
85,0.0107832,3.517,0,24.09
86,0.0208187,4.888,0,24.11
87,0.0113344,5.953,0.0210938,24.09
88,0.00135326,9.779,0,24.09
89,0.0110292,4.620,0,24.14
90,0.06495,13.177,0.249609,23.75
91,0.105721,12.686,0.300391,23.66
92,0.0302706,11.920,0.232813,23.34
93,0.0916967,33.440,0.672656,22.79
94,0.0648661,7.515,0.160156,22.64
95,0.0210524,3.337,0.0972656,22.58
96,0.0324221,5.914,0.123047,22.49
97,0.0278711,7.452,0.0949219,22.35
98,0.00044632,8.685,0,22.43
99,0.000232697,3.639,0,22.42
100,0.000389099,6.670,0.00273438,22.43
101,0.000232697,4.875,0.0207031,22.40
102,0.000349045,4.615,0,22.38
103,0,2.456,0,22.39
104,0.0105267,3.208,0,22.41
105,9.91821e-05,6.990,0.0378906,22.41
106,0.00117779,2.607,0,22.41
107,0.000342369,4.955,0,22.42
108,8.58307e-05,5.818,0.00273438,22.38
109,0.000232697,4.070,0,22.40
110,0,7.462,0.0148438,22.42
111,0.000232697,3.988,0,22.42
112,0.0104408,4.076,0.00703125,22.40
113,8.58307e-05,3.668,0,22.40
114,0.00105476,2.657,0.0175781,22.40
115,0,2.969,0,22.37
116,0.000232697,2.280,0,22.38
117,8.58307e-05,5.935,0.00273438,22.40
118,9.91821e-05,7.896,0.0183594,22.43
119,0.000232697,9.648,0.181641,22.44
120,0.000125885,6.517,0,22.28
121,0.0108166,6.139,0,22.36
122,0,5.703,0,22.36
123,0.00111485,3.569,0.0964844,22.38
124,0.000332832,2.372,0,22.39
125,0.000294685,5.819,0.00273438,22.43
126,0.000232697,2.802,0,22.42
127,0,3.857,0.0390625,22.40
128,0.000508308,2.339,0.00742188,22.40
129,0.000159264,3.539,0,22.35
130,0.0108566,3.145,0,22.36
131,0.000331879,12.959,0,22.43
132,0.00107098,3.710,0.0183594,22.40
133,0.000232697,3.245,0.00351563,22.44
134,8.58307e-05,6.257,0.00273438,22.39
135,0.000232697,2.633,0,22.38
136,0,4.169,0.0140625,22.39
137,0,2.268,0,22.40
138,0.000232697,1.814,0.00703125,22.40
139,0.0102081,3.547,0,22.35
140,0.000232697,2.576,0,22.38
141,0.000882149,3.786,0,22.38
142,0.000232697,3.158,0,22.36
143,0.000558853,10.367,0.003125,22.40
144,9.91821e-05,7.245,0,22.35
145,0.000232697,4.381,0.0183594,22.39
146,0.000125885,5.685,0,22.38
147,0.000318527,2.408,0,22.40
148,0.0101452,4.114,0.00273438,22.35
149,0.00127411,2.592,0.0132813,22.39
150,0.000232697,3.518,0,22.37
151,0.000185966,4.616,0,22.40
152,0.000232697,2.655,0.00664063,22.41
153,0.000116348,5.247,0,22.41
154,0.000232697,8.000,0.0207031,22.34
155,0.000232697,4.371,0,22.34
156,8.58307e-05,2.022,0,22.36
157,0.000295639,6.585,0.0046875,22.37
158,0.00112724,6.231,0.0152344,22.37
159,0.000427246,2.845,0,22.37
160,8.58307e-05,6.069,0,22.38
161,0.000701904,2.414,0.00625,22.39
162,0.000873566,3.221,0.0179688,22.39
163,5.72205e-05,3.529,0,22.36
164,0.000558853,7.797,0,22.36
165,0.0102024,4.556,0.00429688,22.38
166,0.000289917,5.314,0,22.38
167,0.00117207,2.399,0.0148438,22.38
168,0,2.932,0.00195312,22.37
169,0.0024786,2.237,0,22.35
170,0.000197411,6.326,0.00703125,22.43
171,0.000430107,5.998,0.0179688,22.38
172,0.000125885,4.334,0,22.37
173,0.000318527,1.981,0,22.38
174,0.0104437,4.016,0.00351563,22.40
175,0,7.804,0.0144531,22.40
176,0.00117683,3.599,0.01875,22.40
177,0.000380516,5.467,0.00195312,22.43
178,0.000232697,3.435,0,22.40
179,0.000116348,3.701,0,22.30
180,0.000232697,.908,0.0210938,22.29
181,0.000232697,1.925,0,22.35
182,0.000185013,2.562,0,22.36
183,0.0103779,7.673,0,22.37
184,0.000183105,5.326,0,22.37
185,0.00111866,3.532,0.0167969,22.34
186,8.58307e-05,7.558,0.00195312,22.36
187,0.000332832,8.157,0,22.39
188,0.000232697,4.282,0,22.37
189,0.00886345,5.250,0.0207031,22.33
190,0.000318527,2.298,0,22.34
191,6.29425e-05,3.182,0,22.30
192,0.0109749,2.203,0,22.35
193,0.000232697,1.149,0.0222656,22.34
194,0.000882149,3.450,0.00195312,22.35
195,0.000417709,4.251,0,22.35
196,0,6.856,0,22.40
197,0.000232697,3.126,0,22.41
198,0.000125885,7.287,0.0207031,22.38
199,0.000318527,4.211,0,22.39
200,0.000232697,4.418,0,22.39
201,0.0102081,3.386,0,22.39
202,0.000232697,2.835,0.021875,22.38
203,0.00106812,4.903,0.00195312,22.38
204,0.000232697,2.619,0,22.33
205,0.000116348,2.437,0,22.34
206,0.000232697,2.648,0,22.37
207,0.000232697,1.722,0.0207031,22.36
208,9.91821e-05,6.372,0,22.38
209,0.000232697,8.764,0,22.37
210,0.000125885,6.670,0,22.38
211,0.000329018,2.799,0.0207031,22.36
212,0.000332832,2.585,0,22.37
213,0.00019455,3.891,0,22.40
214,0.000232697,1.989,0,22.41
215,0.000232697,3.818,0.0210938,22.40
216,0.000143051,3.173,0,22.41
217,0.000289917,3.535,0,22.33
218,0.0102654,3.125,0,22.35
219,0.000232697,8.559,0.0203125,22.37
220,0.000967979,7.813,0.00195312,22.36
221,9.91821e-05,8.700,0,22.38
222,0.000232697,2.171,0,22.41
223,0.000125885,5.303,0,22.33
224,8.58307e-05,2.466,0,22.37
225,0.000232697,2.177,0,22.37
226,0.0102081,3.466,0.0164063,22.36
227,0.000427246,3.130,0,22.37
228,0.000185966,4.916,0.0230469,22.38
229,0.000981331,8.645,0,22.36
230,0.000238419,4.550,0.00742188,22.36
231,0,4.960,0,22.37
232,0.000318527,1.946,0.0195312,22.37
233,9.91821e-05,7.549,0,22.41
234,0.000232697,2.957,0,22.41
235,0.0102654,2.782,0,22.42
236,0.000232697,2.751,0.00195312,22.44
237,0.00126457,4.611,0.0140625,22.29
238,0.0130749,3.462,0,22.31
239,0.000232697,3.303,0,22.36
240,0,8.922,0,22.36
241,0.000318527,4.373,0.0265625,22.36
242,0.000232697,6.447,0,22.38
243,0.000534058,3.051,0,22.38
244,0.000232697,3.345,0,22.39
245,8.58307e-05,5.499,0.0226563,22.38
246,0.00121403,7.134,0,22.38
247,0,5.005,0,22.38
248,0.000320435,4.901,0,22.38
249,0.000318527,2.547,0,22.37
250,0.000567436,3.381,0.0195312,22.37
251,0.000232697,5.030,0,22.37
252,0.0101452,3.737,0,22.39
253,0.000332832,5.190,0.00234375,22.45
254,0.000318527,3.345,0.0203125,22.36
255,0.000945091,3.773,0,22.37
256,0.000349045,3.108,0,22.40
257,0.00858212,3.652,0,22.34
258,0.000318527,2.079,0.0210938,22.37
259,0.000331879,7.733,0,22.38
260,0,3.977,0,22.41
261,0.0105038,6.219,0,22.42
262,0.000211716,5.738,0.00234375,22.36
263,0.000232697,3.212,0.021875,22.36
264,0.00117683,3.341,0,22.35
265,0.000232697,2.909,0,22.37
266,0.000232697,2.660,0,22.36
267,0.000411987,3.558,0.0222656,22.36
268,0.000289917,3.375,0,22.36
269,5.72205e-05,2.831,0,22.38
270,0.0103779,2.769,0,22.38
271,8.58307e-05,7.355,0.00234375,22.37
272,0.00240517,11.001,0.028125,22.38
273,0.00117111,1.708,0,22.41
274,0.000125885,5.967,0,22.37
275,0.000318527,3.136,0,22.37
276,0,3.210,0.0167969,22.37
277,0.000232697,2.701,0.0148438,22.39
278,0.0104399,1.933,0,22.39
279,8.58307e-05,6.478,0.00234375,22.37
280,0.000232697,2.744,0.0167969,22.39
281,0.000939369,3.823,0,22.40
282,0.000232697,4.653,0.00742188,22.41
283,0,5.618,0,22.41
284,0.00136757,5.128,0,22.41
285,0.000232697,5.696,0.0191406,22.40
286,0.000183105,3.406,0,22.37
287,0.0103779,2.845,0,22.38
288,8.58307e-05,6.412,0.00234375,22.39
289,0.013443,2.443,0.0140625,22.40
290,0.00127792,3.442,0,22.42
291,0,3.362,0,22.43
292,0.000418663,2.528,0,22.37
293,0.000240326,6.439,0,22.40
294,0.000232697,3.610,0.01875,22.44
295,0.000471115,3.746,0,22.40
296,0.0105038,6.045,0.00234375,22.41
297,0.000417709,1.885,0,22.40
298,0,7.926,0.0210938,22.39
299,0.00123978,4.869,0,22.39
300,0,3.525,0,22.40
301,0.000318527,3.063,0,22.40
302,0.00019455,3.214,0.0222656,22.39
303,0.000232697,3.227,0,22.40
304,0.000232697,3.202,0,22.34
305,0.010294,6.830,0.00234375,22.38
306,0.000232697,5.077,0.0261719,22.40
307,0.00123024,3.267,0,22.37
308,0,6.892,0,22.35
309,0.00038147,2.969,0,22.39
310,9.91821e-05,8.593,0.00273438,22.34
311,0.000232697,3.218,0.0132813,22.43
312,0.000125885,4.308,0,22.36
313,0.0103188,4.848,0.00234375,22.38
314,0.000232697,1.992,0,22.36
315,0.000294685,2.000,0.0253906,22.38
316,0.00124073,4.770,0,22.40
317,0,6.819,0,22.42
318,0.000475883,6.250,0.00429688,22.39
319,0.000289917,2.068,0.0164063,22.39
320,5.72205e-05,3.827,0,22.35
321,0.000232697,3.042,0,22.35
322,0.010294,5.552,0.00234375,22.38
323,0.000331879,8.131,0.00664063,22.37
324,0,3.291,0.0183594,22.40
325,0.000945091,5.532,0,22.38
326,0.000318527,.663,0,22.38
327,0,7.177,0,22.35
328,0.000232697,3.628,0.0332031,22.37
329,0,2.881,0,22.39
330,0.000318527,5.889,0.00234375,22.39
331,0.0104408,3.634,0,22.41
332,0.000116348,3.361,0,22.39
333,0.000232697,1.905,0.00742188,22.40
334,0.000881195,3.956,0,22.38
335,0.000318527,2.355,0,22.39
336,0,7.247,0,22.40
337,5.72205e-05,3.594,0.0191406,22.43
338,0.000232697,7.324,0.00546875,22.38
339,0.0533857,4.878,0,22.37
340,0,5.295,0,22.37
341,0.000473022,1.838,0.0136719,22.38
342,0.000880241,2.409,0,22.38
343,0.000558853,.898,0.00703125,22.38
344,0,1.554,0,22.38
345,0.000232697,4.026,0.0179688,22.40
346,0.000703812,3.003,0,22.40
347,8.58307e-05,5.768,0.00273438,22.33
348,0.010603,6.807,0,22.36
349,0,10.155,0,22.37
350,0.000358582,6.151,0.0183594,22.36
351,0.000967979,5.659,0,22.36
352,0.000228882,4.064,0,22.39
353,0.000461578,2.630,0.00273438,22.39
354,0.000228882,2.865,0.0136719,22.35
355,0.000232697,2.704,0,22.43
356,8.58307e-05,3.540,0,22.38
357,0.0104408,2.051,0.00742188,22.39
358,0.000349045,1.673,0,22.38
359,0,4.739,0.01875,22.42
360,0.00113678,7.295,0,22.38
361,9.91821e-05,7.753,0,22.41
362,0.000232697,5.196,0.00273438,22.38
363,0.000125885,4.060,0.0132813,22.38
364,0.000232697,1.869,0.00273438,22.42
365,0.000318527,6.597,0,22.39
366,0.0104027,3.811,0.00703125,22.28
367,0.000232697,2.511,0.0191406,22.33
368,0,4.116,0,22.36
369,0.00130081,3.220,0,22.35
370,5.72205e-05,3.577,0.00429688,22.35
371,5.72205e-05,10.102,0.0792969,22.39
372,0.000232697,10.948,0.510547,22.38
373,8.58307e-05,11.461,0.00273438,22.40
374,0.0105524,13.702,0,22.39
375,0,9.594,0,22.40
376,0.000358582,7.592,2.60781,22.41
377,8.58307e-05,6.793,0,22.40
378,0.00111485,6.989,0.0699219,22.39
379,0,2.437,0,22.43
380,0,2.990,0.0265625,22.43
381,0.000232697,7.995,0,22.48
382,8.58307e-05,4.189,0,22.47
383,0.0104752,3.712,0,22.43
384,0.000116348,2.239,0.00703125,22.44
385,0.000232697,3.616,0,22.39
386,8.58307e-05,1.745,0,22.39
387,0.00324631,7.302,0,22.45
388,0.000289917,3.319,0,22.42
389,0.000125885,5.740,0,22.42
390,0.000232697,4.387,0.00273438,22.47
391,8.58307e-05,2.405,0,22.40
392,0.010541,7.073,0,22.41
393,0,2.803,0,22.40
394,0.000232697,6.528,0.0679688,22.39
395,0.0140162,2.411,0.0105469,22.42
396,0.0692673,6.767,0.0101563,22.43
397,0.0142488,7.630,0.174219,22.52
398,0.00292397,5.579,0.196875,22.60
