Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.0130758,10.501,0,21.94
2,0.0180597,6.371,0.291797,21.91
3,0.0519037,11.458,0,21.96
4,0.0227451,7.874,0.0132813,21.97
5,0.0276489,7.504,0,21.96
6,0.0923128,13.329,0,22.37
7,0.0443821,12.198,0,22.94
8,14.6921,19.951,0.166406,23.05
9,5.35252,31.491,0.248047,24.09
10,1.39891,27.808,0.101953,24.54
11,0.0535469,20.804,0.365625,24.58
12,0.676144,21.801,0,28.81
13,2.12209,30.482,3.11367,30.22
14,0.0893497,31.582,8.5375,31.06
15,15.8916,43.139,0.375781,30.40
16,0.712117,21.314,1.54102,30.31
17,15.992,35.844,0.208984,30.77
18,0.0833025,29.937,0.770703,31.53
19,0.0904636,28.085,1.20586,30.82
20,28.6723,33.232,0,31.86
21,0.221317,40.095,0,33.37
22,0.169724,42.382,0.000390625,34.08
23,15.9308,39.889,0.439453,33.28
24,0.184534,34.472,0,33.75
25,0.896321,53.001,0,33.80
26,0.136018,42.804,0,34.02
27,17.2084,42.083,0.0839844,35.97
28,14.7204,52.226,0,33.86
29,0.907678,41.121,0,33.86
30,0.143589,34.774,0,34.65
31,0.153749,50.730,0,33.91
32,0.143471,28.778,0.0046875,33.97
33,0.139367,38.489,0,34.33
34,0.12133,42.544,0,34.54
35,0.150407,41.220,0,33.80
36,0.0940533,31.115,4.99023,33.91
37,0.164941,43.696,0.0453125,33.91
38,0.126395,31.728,0,33.78
39,0.193962,37.027,0,33.92
40,0.123883,37.751,13.9918,34.84
41,0.159864,43.704,39.7074,34.09
42,0.137033,34.922,3.26289,33.91
43,0.138123,37.789,0,33.98
44,0.135304,37.670,0,33.96
45,0.129766,34.984,0,33.94
46,0.177114,38.527,0.1125,33.97
47,0.194659,32.296,0,33.94
48,0.138598,33.705,0,33.98
49,0.146857,35.089,0,33.94
50,0.125263,25.878,0.00703125,33.83
51,0.134114,38.909,0,34.10
52,0.141792,30.086,0,33.91
53,0.153341,31.428,0,33.93
54,0.166228,32.661,0.003125,34.02
55,0.130542,26.587,0,34.01
56,0.10722,29.593,0,34.02
57,0.134767,34.622,0,33.96
58,0.0979013,28.732,0.00742188,33.88
59,0.147292,38.962,0,34.07
60,0.116031,28.158,0,33.85
61,0.222477,31.042,0,34.03
62,0.147284,38.693,24.1746,33.35
63,0.149487,40.286,35.4559,33.31
64,0.111308,40.073,2.24219,33.07
65,0.117507,29.294,0.0300781,33.19
66,0.154679,26.703,5.31016,32.97
67,0.140643,32.279,1.06797,33.12
68,0.151437,28.089,0.0207031,33.05
69,0.136389,32.610,0,33.06
70,0.171062,33.412,0.983203,32.39
71,0.17452,33.576,10.0441,32.51
72,0.16361,31.755,0.0191406,32.36
73,0.126416,28.839,0,32.89
74,0.169095,38.074,0,32.36
75,0.139674,32.915,0,32.37
76,0.166213,28.637,0.0207031,32.42
77,0.174086,32.578,0.0117188,31.50
78,0.163107,40.674,25.8031,30.75
79,0.141632,38.332,2.59336,30.45
80,0.161469,28.884,0.110156,30.60
81,0.132902,30.434,0,30.50
82,0.165697,29.114,0,30.59
83,0.125121,26.044,0,30.41
84,0.15413,26.515,0.0988281,30.46
85,0.144941,26.258,0,30.53
86,0.121558,25.637,0,30.47
87,0.116612,27.467,0,30.59
88,0.145926,33.749,0.00390625,30.65
89,0.131086,28.340,0,30.51
90,0.132355,32.011,0,30.56
91,0.133642,27.958,0,30.44
92,0.227659,40.000,0,30.76
93,0.15338,29.798,0,30.63
94,0.120941,24.236,0,30.65
95,0.164817,22.142,0,30.52
96,0.152454,29.677,0,30.59
97,0.089921,27.234,0.003125,30.57
98,0.088254,26.177,0,30.49
99,0.169936,31.430,0,30.45
100,0.170221,35.950,0,30.62
101,0.19348,38.691,0.00429688,30.52
102,0.1327,37.388,47.1492,30.60
103,0.119665,32.145,31.1629,30.63
104,0.115708,31.855,4.12891,30.75
105,0.17822,29.296,0.0214844,30.89
106,0.162255,40.193,0,31.14
107,0.121328,28.950,0,31.40
108,0.141366,25.695,0,30.94
109,0.142791,31.911,0.0183594,31.12
110,0.197727,36.431,0,31.02
111,0.181247,30.233,0,30.95
112,0.113115,29.233,0,31.08
113,0.14093,23.166,0.00507813,31.01
