Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(MB),OWControllerMem(MB)
1,0.0175772,6.114,0,34.94,59.00,1400.00
2,0.0353432,4.586,0.120313,34.95,59.00,1400.00
3,0.0132122,6.216,0,34.95,59.00,1400.00
4,0.0450325,3.705,0.015625,34.97,59.00,1400.00
5,0.11939,7.257,0.0527344,34.95,59.00,1394.00
6,0.0531988,3.823,0.0269531,34.96,59.00,1394.00
7,0.0273991,12.415,0,34.99,59.00,1394.00
8,0.0319195,4.927,0.0167969,34.99,59.00,1394.00
9,0.0165443,5.015,0,34.99,59.00,1394.00
10,0.0674706,2.852,0.0222656,35.00,59.00,1394.00
11,0.0970984,8.461,0.155859,34.97,59.00,1394.00
12,0.0378294,7.305,0.0871094,35.00,59.00,1394.00
13,0.0255938,7.237,0,35.03,63.00,1395.00
14,0.117771,12.204,0.220313,35.05,63.00,1395.00
15,0.0411978,7.992,0.0167969,35.05,63.00,1395.00
16,0.131149,6.399,0.0570313,35.04,63.00,1395.00
17,0.0688181,9.371,0.192578,35.02,63.00,1395.00
18,0.0240555,6.582,0,35.05,63.00,1395.00
19,0.0363197,8.253,0.0699219,35.18,63.00,1395.00
20,0.024704,9.770,0,35.04,63.00,1395.00
21,0.0693045,3.756,0.0230469,35.06,90.00,1736.00
22,0.0420551,13.273,0.0140625,35.08,90.00,1736.00
23,0.0596724,7.376,0.0246094,35.06,90.00,1736.00
24,0.040493,4.085,0.0160156,35.11,90.00,1736.00
25,0.394367,6.771,0.140234,35.13,90.00,1736.00
26,0.088954,4.406,0.0175781,35.07,90.00,1736.00
27,0.159064,5.145,0,35.06,90.00,1736.00
28,0.130874,7.937,0.0367188,35.08,90.00,1736.00
29,0.238826,3.479,0,35.07,90.00,1414.00
30,0.21142,7.271,0.0179688,35.12,97.00,1414.00
31,0.224506,11.044,0,35.10,97.00,1414.00
32,0.371978,5.332,0,35.09,97.00,1414.00
33,0.406137,8.343,0.0394531,35.10,97.00,1414.00
34,0.316919,7.078,0.025,35.07,97.00,1414.00
35,0.19506,4.558,0.150391,35.08,97.00,1414.00
36,0.149684,3.778,0.0183594,35.08,97.00,1414.00
37,0.154494,5.892,0,35.12,97.00,1414.00
38,0.424474,5.917,0.015625,35.13,97.00,1414.00
39,0.790952,7.752,0.0554688,35.14,106.00,1517.00
40,0.587025,9.068,0.0410156,35.14,106.00,1517.00
41,0.828772,9.957,0,35.16,106.00,1517.00
42,0.958439,11.151,0.0175781,35.21,106.00,1517.00
43,0.887009,14.502,0,35.22,106.00,1517.00
44,0.423814,7.654,0.135938,35.22,106.00,1517.00
45,0.339141,9.933,0.0320313,35.24,106.00,1517.00
46,0.356476,11.388,0.0253906,35.27,106.00,1517.00
47,0.307003,10.079,0,35.34,106.00,1427.00
48,0.457181,9.403,0.0625,35.37,106.00,1427.00
49,0.458106,14.901,0,35.40,106.00,1427.00
50,0.420682,13.971,0.128906,35.39,106.00,1427.00
51,0.420508,9.292,0.0152344,35.48,106.00,1427.00
52,0.560665,11.975,0.0257813,35.52,106.00,1427.00
53,0.455807,8.585,0,35.60,106.00,1427.00
54,0.568416,10.666,0.0175781,35.68,106.00,1427.00
55,0.526127,15.724,0,35.70,106.00,1427.00
56,0.565544,17.271,0.0390625,35.71,106.00,1427.00
57,0.593728,14.990,0.0382813,35.75,106.00,1427.00
58,0.472049,13.585,0.0261719,35.76,106.00,1427.00
59,0.429259,9.616,0,35.83,106.00,1427.00
60,0.511638,11.493,0.0382813,35.89,106.00,1427.00
61,0.664886,15.346,0,35.91,106.00,1427.00
62,0.592672,11.014,0,35.99,106.00,1427.00
63,0.606859,12.897,0.0339844,36.06,106.00,1427.00
64,0.556622,15.209,0.0261719,36.12,106.00,1427.00
65,0.647562,12.366,0,36.16,106.00,1427.00
66,0.748074,9.625,0.0171875,36.22,106.00,1434.00
67,0.771093,12.067,0,36.22,106.00,1434.00
68,0.598979,11.967,0.0160156,36.29,106.00,1434.00
69,0.655989,11.041,0.142969,36.32,106.00,1434.00
70,1.00484,11.057,0.0265625,36.38,106.00,1434.00
71,0.370106,10.934,0,36.08,106.00,1434.00
