Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1680426004,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680426005,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680426006,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680426007,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680426008,3,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680426009,3,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680426010,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1680426011,4,,Aggregated,0.000000,0.000000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,1,0,4127,4127.0,4127,4127,159.0
1680426012,5,,Aggregated,0.000000,0.000000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,1,0,4127,4127.0,4127,4127,159.0
1680426013,5,,Aggregated,0.000000,0.000000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,2,0,4034,4080.5,4034,4127,158.5
1680426014,6,,Aggregated,0.000000,0.000000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,2,0,4034,4080.5,4034,4127,158.5
1680426015,6,,Aggregated,0.000000,0.000000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,2,0,4034,4080.5,4034,4127,158.5
1680426016,7,,Aggregated,0.222222,0.000000,4100,4100,4800,4800,4800,4800,4800,4800,4800,4800,4800,3,0,4100,4309.0,4034,4766,125.0
1680426017,7,,Aggregated,0.200000,0.000000,4100,4100,4800,4800,5600,5600,5600,5600,5600,5600,5600,6,0,4000,3716.0,129,5632,107.16666666666667
1680426018,8,,Aggregated,0.200000,0.000000,4100,4100,4800,4800,5600,5600,5600,5600,5600,5600,5600,6,0,4000,3716.0,129,5632,107.16666666666667
1680426019,8,,Aggregated,0.200000,0.000000,4100,4100,4800,4800,5600,5600,5600,5600,5600,5600,5600,6,0,4000,3716.0,129,5632,107.16666666666667
1680426020,9,,Aggregated,0.600000,0.000000,4200,4800,5600,5600,16000,16000,16000,16000,16000,16000,16000,8,0,4100,5305.875,129,15971,120.5
1680426021,9,,Aggregated,0.600000,0.000000,4200,4200,4800,5600,16000,16000,16000,16000,16000,16000,16000,10,0,4200,5087.4,129,15971,132.4
1680426022,10,,Aggregated,0.700000,0.000000,4200,4800,5200,5600,9500,16000,16000,16000,16000,16000,16000,13,0,4200,5160.615384615385,129,15971,134.84615384615384
1680426023,10,,Aggregated,0.700000,0.000000,4200,4200,5200,5200,9500,16000,16000,16000,16000,16000,16000,16,0,4100,4206.5625,55,15971,134.0
1680426024,10,,Aggregated,1.100000,0.000000,4200,4200,5200,5600,9600,16000,16000,16000,16000,16000,16000,18,0,4100,4368.611111111111,55,15971,135.0
1680426025,10,,Aggregated,1.300000,0.000000,4100,4200,5200,5600,9500,9600,16000,16000,16000,16000,16000,22,0,4000,4004.9545454545455,55,15971,126.77272727272727
1680426026,10,,Aggregated,1.500000,0.000000,1700,4200,4200,5200,9500,9600,16000,16000,16000,16000,16000,29,0,1700,3076.448275862069,55,15971,126.20689655172414
1680426027,10,,Aggregated,1.700000,0.000000,1600,4100,4200,4800,5600,9600,16000,16000,16000,16000,16000,38,0,360,2673.342105263158,55,15971,126.84210526315789
1680426028,10,,Aggregated,2.400000,0.000000,130,3600,4200,4500,5600,9500,16000,16000,16000,16000,16000,50,0,130,2203.84,55,15971,125.4
1680426029,10,,Aggregated,2.800000,0.000000,130,1600,4100,4200,5600,9500,9600,16000,16000,16000,16000,60,0,130,1982.6166666666666,52,15971,121.68333333333334
1680426030,10,,Aggregated,3.900000,0.000000,98,610,2200,4100,5600,9000,9600,16000,16000,16000,16000,78,1,97,1706.0384615384614,42,15971,121.98717948717949
1680426031,10,,Aggregated,4.800000,0.000000,91,280,1600,3600,5100,6100,9600,16000,16000,16000,16000,93,1,91,1458.225806451613,42,15971,121.54838709677419
1680426032,10,,Aggregated,6.400000,0.100000,85,130,1500,2100,4800,5800,9500,9600,16000,16000,16000,104,1,82,1323.125,42,15971,120.35576923076923
1680426033,10,,Aggregated,7.700000,0.100000,81,110,1300,1600,4500,5800,9500,9600,16000,16000,16000,118,1,80,1197.0593220338983,42,15971,122.09322033898304
1680426034,10,,Aggregated,8.800000,0.100000,81,110,550,1500,4200,5600,9500,9600,16000,16000,16000,126,1,80,1130.611111111111,42,15971,120.93650793650794
1680426035,10,,Aggregated,9.900000,0.100000,77,110,340,1500,4200,5600,9500,9600,16000,16000,16000,143,1,77,1016.8461538461538,42,15971,120.5034965034965
1680426036,10,,Aggregated,10.300000,0.100000,77,98,220,1300,4100,5600,9000,9600,16000,16000,16000,155,1,77,943.3935483870968,42,15971,120.32903225806452
1680426037,10,,Aggregated,11.800000,0.100000,77,98,180,550,4000,5200,9000,9600,16000,16000,16000,167,1,77,891.0119760479042,42,15971,120.39520958083833
1680426038,10,,Aggregated,12.400000,0.100000,75,96,130,410,3700,5200,9000,9600,16000,16000,16000,180,1,75,839.7722222222222,42,15971,119.67777777777778
1680426039,10,,Aggregated,12.700000,0.100000,73,91,130,360,3600,5100,9000,9600,16000,16000,16000,187,1,73,810.4812834224599,42,15971,119.87700534759358
1680426040,10,,Aggregated,12.600000,0.100000,72,90,130,290,2200,5100,9000,9600,16000,16000,16000,197,1,72,774.6903553299493,42,15971,119.72081218274111
1680426041,10,,Aggregated,13.000000,0.100000,71,86,120,240,2100,4800,6100,9500,16000,16000,16000,206,1,70,743.5873786407767,42,15971,119.18932038834951
1680426042,10,,Aggregated,12.100000,0.000000,71,88,130,290,1800,4800,6100,9500,16000,16000,16000,216,1,71,718.4444444444445,42,15971,119.20370370370371
1680426043,10,,Aggregated,11.700000,0.000000,70,86,120,240,1700,4500,6100,9500,16000,16000,16000,230,1,70,679.491304347826,42,15971,119.52173913043478
1680426044,10,,Aggregated,11.000000,0.000000,69,82,110,180,1600,4200,5800,9500,16000,16000,16000,251,1,69,628.0318725099602,42,15971,119.08764940239044
1680426045,10,,Aggregated,11.100000,0.000000,68,81,110,170,1600,4500,9000,15000,27000,27000,27000,267,1,68,748.7340823970037,42,26714,119.01498127340824
