Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
1,0.0199432,4.890,0,28.96,68.00,686.00
2,0.0669718,2.598,0.0226563,28.99,68.00,686.00
3,0.0220232,5.126,0.213672,29.30,68.00,686.00
4,0.0136261,8.927,0,30.22,68.00,687.00
5,0.0150738,6.690,0,31.26,68.00,687.00
6,0.0140686,5.512,0,31.23,68.00,687.00
7,0.0153818,4.609,0,31.24,68.00,687.00
8,0.145024,5.655,0.0585938,31.25,68.00,687.00
9,0.0194559,4.883,0,31.25,68.00,687.00
10,0.134447,10.762,0.167969,31.27,68.00,687.00
11,0.0206137,3.345,0,31.27,68.00,687.00
12,0.0873613,7.958,0,31.27,68.00,687.00
13,0.177947,5.146,0.232031,31.27,68.00,687.00
14,0.257105,5.361,0.0234375,31.28,68.00,693.00
15,0.0792389,4.939,0,31.28,68.00,693.00
16,0.330962,5.710,0.105469,31.28,68.00,693.00
17,0.239685,6.586,0.0265625,31.32,68.00,693.00
18,0.144098,5.592,0,31.31,68.00,693.00
19,0.139062,11.029,0.0269531,31.34,68.00,693.00
20,0.137876,13.477,0.0261719,31.13,68.00,693.00
21,0.221074,7.471,0.0335937,30.90,68.00,693.00
22,0.471966,7.687,0.0863281,30.91,68.00,693.00
23,0.768816,9.046,0,30.97,68.00,693.00
24,0.866582,8.227,0.521094,30.95,68.00,704.00
25,0.524482,6.280,0.0261719,30.96,68.00,704.00
26,1.53001,9.384,0,30.98,68.00,704.00
27,1.30943,10.840,0.0332031,31.00,68.00,704.00
28,1.41283,11.935,0.542969,31.01,68.00,704.00
29,1.52391,8.093,0,30.99,68.00,704.00
30,1.70204,9.323,0,30.99,68.00,704.00
31,0.755507,9.230,0.464453,30.98,68.00,704.00
32,0.696279,5.745,0,31.00,68.00,704.00
33,2.13335,14.883,0.0238281,31.01,68.00,734.00
34,1.81894,10.729,0,31.01,68.00,734.00
35,1.34987,6.149,0.0902344,31.03,68.00,734.00
36,1.03735,9.107,0,31.04,68.00,734.00
37,1.36194,12.989,0.466797,31.05,68.00,734.00
38,1.54758,10.042,0,31.05,68.00,734.00
39,2.85655,10.896,0.0277344,31.06,68.00,734.00
40,1.88835,12.639,0.533984,31.05,68.00,734.00
41,1.93042,8.410,0.0839844,31.08,68.00,734.00
42,2.1636,12.260,0.488672,31.08,68.00,761.00
43,1.84861,10.192,0,31.08,68.00,761.00
44,0.88304,11.235,0,31.08,68.00,761.00
45,1.858,14.463,0.0335937,31.11,68.00,761.00
46,1.37455,10.480,0,31.14,68.00,761.00
47,0.708725,8.246,0.509375,31.13,68.00,761.00
48,0.812071,8.738,0,31.15,68.00,761.00
49,0.928391,11.302,0.0425781,31.14,68.00,761.00
50,0.362493,7.880,0.523438,31.14,68.00,761.00
51,0.60306,18.300,0.0359375,31.15,68.00,739.00
52,0.39508,9.889,0,31.14,68.00,739.00
53,1.12696,12.806,0.520313,31.16,68.00,739.00
54,1.60186,14.545,0.021875,31.15,68.00,739.00
55,0.846673,10.562,0.494141,31.17,68.00,739.00
56,0.0952654,7.263,0.0222656,31.18,68.00,739.00
57,1.3188,13.545,0.0203125,31.16,68.00,739.00
58,0.927914,11.278,0.524609,31.14,68.00,739.00
