Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.0166092,9.888,0,33.16
2,0.0102654,10.924,0.090625,33.14
3,0.249469,13.660,0.0261719,33.29
4,0.0175438,10.707,0,33.28
5,0.0154877,15.636,0,33.61
6,0.402692,26.223,0.0261719,33.98
7,0.252742,13.589,0.0109375,33.12
8,0.0259008,8.948,0,33.12
9,0.425495,17.070,0.0183594,33.29
10,0.715432,24.910,0.305469,33.32
11,0.239957,17.832,0.0316406,34.43
12,0.391416,27.210,0.0261719,33.62
13,0.744004,24.567,0.303516,34.36
14,0.185378,24.812,0.275391,33.61
15,0.707324,22.945,0.025,33.70
16,0.356009,14.004,0.268359,33.78
17,0.408701,16.625,0.271875,33.89
18,0.0599298,18.265,0,33.75
19,1.35445,21.969,0.0703125,33.99
20,0.759997,22.801,0.297656,33.85
21,0.417613,21.183,0.0449219,34.14
22,1.86331,26.483,0.102344,34.90
23,0.0555859,12.044,0.31875,34.03
24,1.00106,23.930,0.307031,34.11
25,1.053,24.653,0.112109,34.32
26,1.83455,23.525,0.352344,34.62
27,5.53229,42.786,0.241797,35.02
28,1.38562,21.621,0.687891,34.78
29,4.27739,36.416,0.914453,35.13
30,4.61648,50.732,0.607031,35.38
31,8.90192,61.187,0.804688,35.36
32,7.7117,53.550,1.71133,35.77
33,4.76124,37.793,0.482422,35.20
34,6.2513,41.545,1.27852,34.95
35,11.2518,58.864,1.42266,35.28
36,10.0036,53.095,0.742188,35.47
37,6.10651,43.220,1.68672,35.51
38,5.00712,56.122,1.01328,35.90
39,6.47258,45.785,0.743359,36.01
40,12.6842,53.528,1.03633,35.69
41,10.6527,60.875,1.76445,36.53
42,7.56383,50.095,1.42344,35.74
43,9.59858,54.318,1.49883,35.62
44,4.42619,34.039,0.745703,35.70
45,12.3868,54.330,1.63867,35.28
46,9.21791,51.122,1.19844,36.14
47,7.21692,52.226,1.02031,36.11
48,9.59383,44.852,0.772656,36.22
49,14.5557,59.325,2.22578,35.90
50,8.51338,60.617,1.67148,36.97
51,9.92609,60.684,1.70156,35.99
52,13.7111,61.577,1.86992,35.53
53,6.48155,36.594,1.22813,35.91
54,8.57268,61.008,1.99453,35.03
55,5.22726,48.696,1.08984,35.63
56,2.7767,34.060,0.758984,36.76
57,8.46274,49.300,1.45156,35.20
58,16.5037,59.597,1.44141,35.49
59,4.11661,28.942,1.41641,36.00
60,3.18183,34.200,0.739844,35.70
61,6.26276,42.903,1.46133,35.14
62,6.25471,38.205,1.03047,35.04
