Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.00592995,7.061,0,27.86
2,0.0162392,4.620,0,27.86
3,0.048254,13.749,0,27.87
4,0.00614548,8.072,0.249609,27.88
5,0.0207987,7.856,0.169141,27.91
6,0.0467777,18.049,0,28.20
7,0.0276604,9.677,0.187109,28.14
8,0.0382156,9.908,0.1875,28.20
9,0.0302687,19.856,0,28.58
10,0.0580425,11.407,0,28.56
11,0.0145235,5.822,0,28.58
12,0.620283,11.245,0.183594,28.84
13,0.607046,17.196,0.285938,28.72
14,0.597926,16.092,0.200781,28.73
15,0.0462732,15.518,0.0179688,28.91
16,0.106872,22.746,0.196875,29.34
17,0.619893,22.655,0.41875,29.51
18,0.0683441,23.863,0.416406,29.51
19,1.2037,25.896,0.01875,30.02
20,16.3157,15.403,0,30.87
21,7.9119,22.746,2.34883,31.34
22,0.0587187,26.821,8.14492,31.00
23,1.82587,13.995,0.0242188,30.99
24,0.796468,15.636,0,30.93
25,0.229698,15.076,0,30.99
26,0.625278,18.069,0,31.10
27,1.19464,18.444,0,31.06
28,0.0986843,12.098,0,30.99
29,0.078083,10.475,0,31.07
30,0.639689,10.504,0,31.10
31,0.127394,12.696,0.0804688,31.17
32,0.0663042,15.034,0.767969,31.34
33,0.0796337,20.213,0.458594,31.29
34,0.0685453,9.880,0,31.08
35,0.115466,9.357,0,31.19
36,57.7354,19.214,0,33.45
37,0.10211,40.322,13.7754,33.63
38,0.680291,12.054,2.8082,33.13
39,0.0890074,19.204,0,32.56
40,0.674451,18.193,0,32.72
41,1.22056,17.827,0,32.61
42,0.283225,11.447,0.155859,32.67
43,2.38474,22.653,0,32.71
44,1.81204,19.024,0,32.65
45,1.7876,23.745,0,32.69
46,1.86206,21.349,1.0168,32.74
47,1.92772,25.291,0.229297,32.94
48,1.25721,15.879,0.0191406,32.88
49,1.23927,22.180,0.194141,32.83
50,0.655804,21.686,0.217578,33.03
51,2.3574,27.594,0,33.10
52,0.731336,41.004,0,33.23
53,1.84034,20.191,0,33.21
54,2.51563,20.175,0,33.25
55,1.25095,13.863,0.0175781,33.32
56,0.19155,12.264,0,33.20
57,1.85259,16.868,0,33.13
58,2.3373,24.954,0,33.34
59,2.29798,15.155,0.00585938,33.28
60,0.72103,16.798,0,33.26
61,1.78016,15.393,0,33.30
62,1.25638,22.466,0,33.47
63,2.3843,19.059,0,33.37
64,0.798275,9.096,0.00859375,33.40
65,1.28709,21.875,0,33.40
66,0.67841,10.627,0,33.31
67,1.75221,10.276,0,33.40
68,1.34412,17.180,0.00507813,33.39
69,1.32832,16.534,0,33.39
70,3.41402,25.577,0,33.31
71,2.66474,28.077,0,33.45
72,1.754,18.458,0.00625,33.33
73,1.77637,14.745,0.0109375,33.52
74,1.23668,19.318,0,33.46
75,1.42337,16.798,0,33.55
76,1.2389,16.160,0.123828,33.56
77,1.32135,18.244,0.0226563,33.57
78,3.04073,21.638,0,33.56
79,0.740157,15.051,0,33.64
80,1.21626,22.707,0,33.67
81,1.31579,13.277,0.00664063,33.56
82,2.04221,18.669,0,33.52
83,0.829806,12.818,0,33.56
84,1.30361,15.520,0,33.54
85,0.213161,15.352,0.109766,33.90
86,1.88165,15.698,0,33.66
87,2.40403,18.879,0,33.52
