Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
1,0.039711,7.223,0.0195312,18.92,62.00,894.00
2,0.0748482,3.436,0.0328125,18.92,62.00,894.00
3,0.0856371,5.729,0.0113281,18.93,62.00,894.00
4,0.0194483,2.662,0,18.94,62.00,894.00
5,0.0643177,4.981,0.0277344,18.95,62.00,910.00
6,0.353144,5.026,0.139844,18.94,62.00,910.00
7,0.0476303,10.669,0.0140625,18.95,62.00,910.00
8,0.0250807,5.779,0,18.94,62.00,910.00
9,0.0478115,6.923,0.344531,18.95,62.00,910.00
10,0.0692921,7.302,0.0230469,18.95,62.00,910.00
11,0.0246477,5.731,0,18.94,62.00,910.00
12,0.15361,6.360,0.0683594,18.94,62.00,910.00
13,0.0302134,6.557,0.383984,18.97,62.00,910.00
14,0.053359,7.749,0.180469,18.97,62.00,898.00
15,0.0567884,7.169,0.0152344,18.96,62.00,898.00
16,0.061779,8.481,0,18.97,62.00,898.00
17,0.0249586,5.784,0,18.97,62.00,898.00
18,0.138201,8.557,0.527734,18.99,62.00,898.00
19,0.0606527,13.595,0,18.97,62.00,898.00
20,0.0847359,11.002,0.0351562,19.00,62.00,898.00
21,0.14596,8.031,0.0464844,18.99,62.00,898.00
22,0.153709,9.708,0,19.05,62.00,898.00
23,0.0910721,7.904,0.0132813,19.00,62.00,922.00
24,0.191046,15.257,0.046875,19.03,62.00,922.00
25,0.155411,10.941,0.0152344,19.01,62.00,922.00
26,0.15181,10.018,0,19.00,62.00,922.00
27,0.219114,12.522,0.0125,19.08,62.00,922.00
28,0.230639,9.956,0.0464844,19.12,62.00,922.00
29,0.169521,11.599,0.117188,19.14,62.00,922.00
30,0.141332,9.438,0,19.12,62.00,922.00
31,0.163997,24.945,0.278906,19.14,62.00,922.00
32,0.249744,9.580,0.034375,19.13,62.00,914.00
33,0.293592,16.402,0,19.12,62.00,914.00
34,0.27727,20.582,0.205859,19.11,62.00,914.00
35,0.241399,10.018,0.0542969,19.10,62.00,914.00
