Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.000343323,.806,0,53.50
2,0.000244141,.776,0,53.51
3,0.0111656,.835,0,53.55
4,0.00681782,1.018,0.00859375,53.38
5,0.000286102,1.138,0,53.42
6,0.000114441,1.106,0,53.47
7,0.00018692,.767,0,53.48
8,0,.739,0.186279,53.46
9,0.000143051,.830,0,53.48
10,0.000257492,.799,0,53.48
11,0.00018692,.776,0,53.51
12,0,.948,0,53.54
13,0.000143051,.709,0,53.54
14,0.000200272,.651,0,53.56
15,0.00018692,.849,0,53.61
16,0,.683,0,53.60
17,0,.738,0,53.60
18,0.000343323,.972,0,53.67
19,0.000244141,.589,0,53.69
20,0,.681,0,53.72
21,0,.504,0,53.76
22,0.000343323,.656,0,53.78
23,0.000244141,.605,0,53.79
24,0,.619,0,53.80
25,0,.626,0.00390625,53.82
26,0.000286102,.768,0,53.83
27,5.72205e-05,.599,0,53.86
28,0,.539,0,53.87
29,0,.655,0.00234375,53.89
30,0.000143051,.620,0,53.89
31,0.000257492,.678,0,53.92
32,0.00018692,.682,0,53.94
33,0.000143051,.620,0.301904,53.96
34,0.000143051,9.531,0,54.37
35,0.000200272,3.453,0.000390625,55.78
36,0.000244141,10.691,0,58.47
37,0,3.277,0,58.44
38,0,8.958,0,58.38
39,0.000343323,5.887,0.0461426,61.53
40,0.000244141,10.939,0.0027832,63.47
41,0,4.105,0,63.78
42,0.01367,10.670,0.03125,64.08
43,2.08737,2.912,0.186328,64.62
44,5.72205e-05,3.537,1.48984,64.62
45,0.000114441,3.749,0,64.29
46,2.15222,1.698,0,64.52
47,0.000143051,3.243,0.202344,64.51
48,0.000114441,3.984,5.24141,65.02
49,0.00193882,5.159,0.213965,64.37
50,4.00129,1.736,0.00229492,64.35
51,0.000257492,4.327,0.00317383,63.91
52,0.000200272,7.774,0.187158,62.68
53,0.00018692,4.444,0,63.66
54,0,11.350,0.143213,64.02
55,0.00191593,2.978,0.0193848,64.05
56,1.68304,1.162,0,63.90
57,0.312481,2.947,0.151563,64.53
58,0,3.356,0.470898,64.66
59,0.000392914,4.486,0.207568,63.93
60,1.18757,1.101,0,64.33
61,0.000244141,3.196,0.135938,64.30
62,0.000114441,4.121,0.148438,63.97
63,2.15176,1.916,0.0503906,64.69
64,0.000343323,3.232,0.151563,64.43
65,0.000358582,3.335,0.234766,63.82
66,0.0312729,4.422,0.0157715,63.82
67,0.282448,.742,0,63.82
68,0.358099,.835,0,63.84
69,0.668537,.686,0,63.81
70,0.680075,1.703,0.0503906,64.62
71,0,3.426,0.202734,64.28
72,0.000143051,3.482,0.189844,63.79
73,0.526297,3.099,0.0259766,63.90
74,0.00193882,5.291,0.0495605,64.06
75,0.257946,3.497,0.0238281,63.94
76,0.801186,.861,0,63.91
77,1.11264,.824,0.00273438,63.92
78,1.50351,.914,0,63.93
79,0.204819,3.071,0.177344,66.85
80,0.000114441,4.825,7.14102,62.78
81,0.000343323,5.538,0.13877,63.24
82,0.000244141,3.787,0.00429688,63.46
83,0.000278473,13.504,0.497217,57.18
84,1.20059,3.258,0.0046875,57.71
85,0.000343323,3.262,0.170313,57.67
86,0.000358582,3.931,0.168555,57.52
87,2.1495,2.298,0.0503906,58.10
88,0,3.269,0.151563,57.80
89,0.000400543,3.657,0.201953,57.43
90,1.02256,1.803,0.00493164,57.24
91,0.0832424,3.390,0.170313,57.60
92,0.000114441,3.677,0.165625,57.47
93,0.0182571,4.084,0.0273438,57.60
94,0.0154228,4.099,0.0135742,57.50
95,4.21795,3.052,0.0341309,57.54
96,0,4.399,8.01367,61.11
97,0.000257492,8.264,0.18125,56.50
98,0.000200272,11.653,0,58.40
99,0.000244141,3.857,0.140479,58.75
100,2.47615,9.377,0,59.07
101,0,3.434,0,60.97
102,0.000200272,4.252,8.50039,60.95
103,0.000244141,3.506,0,61.90
104,0,3.968,0,60.99
105,0,4.264,0,60.64
106,0.000343323,3.450,0,60.95
107,0.000244141,3.389,1.63203,61.92
108,0,3.153,0,61.88
109,0,3.401,0.0221191,60.19
110,0.00214672,4.646,0.0111328,59.24
111,2.34889,1.909,0.00205078,59.14
112,0.532156,2.967,0,61.02
113,0,3.263,0.765234,61.01
114,0.000286102,3.207,0.372656,61.98
115,0.000114441,3.361,0.380859,60.96
116,0,3.249,0.372266,60.70
117,0,3.132,0,61.00
118,0.000143051,3.292,0,61.93
119,0.000257492,3.286,0.2625,60.96
120,0.00018692,3.155,0.417578,60.22
121,0.000392914,2.995,0.00595703,59.02
122,0.255498,.682,0,59.20
123,0.110231,2.840,0.046875,59.11
124,0.504255,.858,0,59.10
125,0.590485,.746,0,59.08
126,0.886192,.653,0,59.07
127,0.855249,.832,0,59.46
128,0.000244141,3.584,0.382422,61.83
129,0,3.473,0.382812,60.86
130,0,3.431,0.372656,61.81
131,0.000343323,3.084,0.380859,60.85
132,0.000244141,3.723,0,60.75
133,0,3.602,0.231641,61.28
134,0.00173187,3.606,0.110156,61.78
135,0.000257492,3.825,0.610938,60.83
136,0.000459671,3.926,0.780078,59.00
