Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,1.449,0,61.24
2,0,1.078,0,61.24
3,0.000114441,1.370,0,61.24
4,5.72205e-05,1.276,0.0452148,61.24
5,0,1.220,0,61.24
6,0,1.544,0,61.23
7,0.000114441,1.339,0,61.23
8,5.72205e-05,1.189,0,61.24
9,0,1.282,0,61.23
10,0,1.132,0,61.24
11,0.000114441,1.250,0,61.25
12,5.72205e-05,1.409,0,61.22
13,0,1.210,0,61.23
14,0,1.422,0,61.25
15,0,1.215,0,61.24
16,0.000171661,1.276,0,61.24
17,0,1.515,0,61.25
18,0,1.234,0,61.24
19,0,1.396,0,61.24
20,0.000114441,1.203,0,61.22
21,5.72205e-05,1.377,0,61.22
22,0,1.216,0,61.21
23,0,1.372,0,61.21
24,0.000114441,1.453,0,61.23
25,5.72205e-05,1.402,0.003125,61.22
26,0,1.184,0,61.24
27,0,1.340,0,61.22
28,0.000114441,1.202,0,61.23
29,5.72205e-05,1.543,0.0106934,61.22
30,0,1.282,0,61.24
31,0,1.160,0,61.22
32,5.72205e-05,1.215,0,61.24
33,5.72205e-05,1.272,0,61.23
34,5.72205e-05,10.043,0,61.58
35,5.72205e-05,4.092,0.000390625,62.22
36,0,9.563,0.0455566,62.61
37,0.000171661,5.722,0,63.37
38,0,4.338,0.148096,64.06
39,0.115959,6.584,0.693652,64.47
40,0,5.677,4.88438,64.86
41,0.000114441,4.965,0,65.18
42,5.72205e-05,12.075,0.15459,65.90
43,5.72205e-05,5.001,0.00366211,66.35
44,1.58449,2.708,0,66.50
45,12.611,2.057,0,66.82
46,0.000171661,6.510,8.42979,67.76
47,0,5.750,0.00576172,68.32
48,5.72205e-05,12.295,0,69.07
49,0.00620937,2.079,0.11875,69.13
50,0.0111122,1.141,0,69.13
51,0.0067215,2.200,5.81133,69.17
52,0,5.672,0.0322754,69.49
53,0,10.843,0.102393,72.10
54,5.72205e-05,19.175,0.162061,73.18
55,0,23.229,0.877295,75.72
56,0,14.076,0.0123047,75.27
57,0.000221252,7.823,0.289844,75.85
58,0.00220108,7.314,0.0290039,76.09
59,0,15.357,12.2673,76.91
60,0,8.414,1.83804,77.72
61,0,10.567,0.136426,78.34
62,0.00213337,7.627,0.141016,79.13
63,0.00207615,8.097,0.509619,79.09
64,0,4.969,13.612,79.34
65,0.000392914,13.105,0.0059082,79.84
66,0.0126696,1.555,0,79.85
67,0.0112152,1.628,0,79.83
68,0.000732422,5.242,0.062793,79.83
69,0,6.495,0.053125,80.71
70,0.000171661,6.255,0.00849609,80.44
71,5.72205e-05,18.815,0.0366211,82.34
72,0,4.872,0,83.31
73,0.00132084,6.517,8.74854,83.97
74,0.000228882,6.592,0.0114746,83.94
75,0.000221252,7.227,0.011377,83.89
76,0.00109959,8.055,0.0155762,83.88
77,0.000392914,5.996,0.0103027,84.30
78,0.000171661,6.931,0.015625,83.91
79,0.001544,7.068,0.612305,83.83
80,0,6.053,0.0097168,83.83
81,0.00143528,7.549,0.0167969,84.02
82,0.0014925,7.275,0.0166016,84.12
83,0.000114441,7.356,0.00766602,84.09
84,0,6.347,0.0078125,84.11
85,0.00143528,7.171,0.0166992,83.88
86,0.000114441,6.739,0.00976562,84.05
87,0.00143528,6.487,0.0166504,84.08
88,5.72205e-05,7.371,0.00761719,84.39
89,0.00137806,7.314,0.0152344,83.85
90,0.000335693,6.493,0.053418,83.83
91,0.00137806,6.525,0.0111328,84.34
92,5.72205e-05,10.551,0.0090332,84.31
93,0,19.362,0.00419922,85.05
94,0.000221252,15.979,0.0306641,85.75
95,0.0012188,7.930,0.0126465,84.66
96,0,1.248,0,84.66
97,0.00257874,14.115,0.023584,84.67
98,0.118975,12.623,0.026416,84.81
99,8.90474,2.268,0.00229492,84.59
100,4.04146,5.864,0.00610352,85.47
101,0,5.701,0.00419922,85.41
102,0.00137806,7.397,0.00561523,85.46
103,0.000171661,8.175,0.0126953,85.30
104,0.00143528,7.497,0.0963379,85.72
105,0,6.161,0.00625,85.30
106,0.00143528,8.282,0.0137207,85.33
107,0.000171661,6.253,0.00449219,85.53
108,5.72205e-05,8.635,0.00922852,85.24
109,0.00121403,6.748,0.0137207,85.35
110,0.000392914,6.414,0.00952148,85.56
111,0.000171661,9.909,0.0115723,85.38
112,0.00132084,6.240,0.0116699,85.77
113,5.72205e-05,7.659,0.0133789,85.30
114,0.00143528,7.018,0.0112793,85.31
115,0.000114441,7.951,0.00239258,85.37
116,5.72205e-05,6.517,0.00664063,85.38
117,0.00126362,6.177,0.00883789,85.79
118,5.72205e-05,7.474,0.0137695,85.35
119,0.000114441,52.303,0.00820313,90.27
120,0.000114441,46.084,0.00512695,90.72
121,0.00137806,6.911,0.013623,90.56
122,5.72205e-05,5.704,0.00952148,90.30
123,0.117236,5.040,0.0157227,90.26
124,3.7882,2.317,0.00224609,90.26
125,6.50917,1.530,0,90.26
126,3.80943,3.060,0,90.71
127,0.000614166,19.070,0.0312012,87.44
128,0.000114441,6.833,0.0123535,87.31
129,0,1.165,0.0770508,87.30
130,0.00286484,12.447,0.0194336,87.33
131,0.0017786,13.690,0.0219727,87.71
132,5.72205e-05,5.821,0.00849609,87.30
133,5.72205e-05,6.394,0.0136719,87.33
134,5.72205e-05,4.355,0.00493164,87.75
135,0.00137806,8.159,0.010791,87.59
136,0.000171661,4.881,0.00654297,87.53
137,5.72205e-05,4.002,0.00717773,87.32
138,0.00132084,4.068,0.00473633,87.73
139,0.00137806,7.949,0.057959,87.57
140,0.000171661,5.339,0.00654297,87.47
141,0.00143528,9.564,0.013623,87.34
142,0,6.915,0.0065918,87.41
143,0.000171661,4.677,0.00957031,87.37
144,5.72205e-05,5.467,0.00654297,87.39
145,0.00143528,7.565,0.014209,87.36
146,0,6.395,0.00893555,87.31
147,0.00142956,9.075,0.0141113,87.51
148,0.0014925,17.125,0.0141602,87.34
149,5.72205e-05,6.355,0.00893555,87.33
150,0.130375,3.381,0.00678711,87.37
151,0.612263,1.642,0.0015625,87.36
152,0.374952,1.575,0,87.34
153,0.465156,1.660,0.0493164,87.34
154,0.858564,1.373,0,87.33
155,1.25068,1.868,0.00703125,87.32
156,1.65086,1.527,0,87.30
157,2.03604,1.463,0,87.28
158,2.30953,1.512,0,87.28
159,3.2363,1.545,0,87.26
160,1.20548,5.445,0.00610352,87.46
161,0.00242233,23.525,0.0313965,88.09
162,0,2.827,0.00380859,87.52
163,0,1.427,0,87.52
164,0.0042038,17.059,0.022168,88.02
165,0.00143528,11.107,0.01875,87.51
166,0,6.122,0.00585938,87.76
167,5.72205e-05,6.370,0.00786133,87.47
168,0.000171661,6.493,0.0460938,87.75
169,0.00143528,7.223,0.012207,87.73
170,0.000221252,6.830,0.00864258,87.73
171,0.00109959,7.138,0.0121582,87.73
172,0.000335693,6.875,0.0117676,87.66
173,0.000171661,10.009,0.00864258,87.70
174,5.72205e-05,7.361,0.00791016,87.69
175,0.00137806,7.457,0.0146973,87.91
176,0.000171661,6.556,0.0137207,87.68
177,0.00115681,7.500,0.0121582,87.70
178,0.00142956,6.951,0.0766113,87.78
179,0.000671387,19.951,0.0345703,87.89
180,0.000171661,23.583,0.0114746,88.52
181,5.72205e-05,1.220,0,88.53
182,0.00333691,12.528,0.0206055,88.99
183,5.72205e-05,10.565,0.0183594,88.51
184,0.00132084,6.776,0.00942383,88.82
185,0.0678978,4.113,0.00634766,88.58
186,0.26445,2.776,0.00390625,88.50
187,0.355957,1.923,0,88.51
188,0.415503,1.405,0.00625,88.52
189,0.676398,1.344,0,88.50
190,1.15253,1.463,0,88.49
191,1.65877,1.461,0,88.48
192,2.11674,1.468,0,88.47
193,2.46973,1.606,0.0449219,88.45
194,3.04027,1.539,0,88.46
195,1.81487,4.475,0.00273438,89.07
196,0.00137806,6.672,0.0124023,89.16
197,0.000171661,6.415,0.00922852,89.43
198,5.72205e-05,5.383,0.00390625,88.89
199,0.00143528,7.761,0.0124512,88.64
200,0,6.554,0.00791016,88.80
201,0.00281334,6.616,0.0146484,89.01
202,5.72205e-05,6.414,0.00952148,88.73
203,0.00143528,6.976,0.0824219,89.09
204,0,10.978,0.00356445,88.77
205,0.0014925,6.983,0.0177734,89.08
206,5.72205e-05,6.408,0.00351563,89.20
207,5.72205e-05,6.299,0.00991211,88.79
