Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.000572205,10.073,0.0897461,59.05
2,5.72205e-05,1.351,0,55.26
3,0.000114441,.338,0,55.22
4,5.72205e-05,.346,0,55.19
5,0.000286102,.354,0,55.18
6,5.72205e-05,.326,0,55.17
7,0.000114441,.290,0,55.19
8,0.000114441,.311,0,55.17
9,0.000171661,.296,0,55.18
10,5.72205e-05,.383,0,55.17
11,0.000114441,.355,0,55.16
12,0.000114441,.290,0,55.18
13,0.000171661,.291,0,55.18
14,0.000228882,.353,0,55.17
15,0.000114441,.348,0.069873,55.19
16,0.000114441,.296,0,55.18
17,0.000171661,.283,0,55.18
18,0.000228882,.348,0,55.17
19,0.000114441,.350,0,55.15
20,0.000114441,.326,0,55.16
21,0.000171661,.320,0,55.14
22,0.000228882,.324,0,55.16
23,0.000114441,.262,0,55.15
24,0.000114441,.277,0,55.15
25,0.000114441,.320,0,55.15
26,0.000286102,.326,0.00234375,55.15
27,0.000114441,.326,0,55.17
28,0.000114441,.296,0,55.17
29,5.72205e-05,.286,0,55.18
30,0.000286102,.280,0.000390625,55.17
31,5.72205e-05,.330,0,55.18
32,5.72205e-05,.290,0,55.18
33,0.000114441,.350,0,55.34
34,0.000286102,11.210,0,57.36
35,5.72205e-05,7.012,0.0464844,58.36
36,0.000114441,4.423,0.030957,57.62
37,0.000114441,11.651,0,58.22
38,0.000171661,14.768,0,59.91
39,0.000228882,10.662,0,60.24
40,0.000114441,9.229,0.0283691,62.65
41,0.000114441,10.090,0,63.79
42,0.000171661,8.236,0,64.02
43,0.000621796,5.625,0.00273438,64.35
44,0.00697041,1.148,0,64.34
45,0.0113869,.814,0,64.38
46,0.000228882,1.006,0.00078125,64.07
47,0.000228882,.775,0,64.05
48,0.000114441,1.058,0,64.04
49,0.000114441,.628,0,64.04
50,0.000228882,10.414,0,64.59
51,0.000286102,4.531,0.000390625,65.01
52,0.000114441,7.208,0,68.12
53,0.000114441,6.400,0,68.79
54,0.000114441,10.605,0,68.79
55,0.000171661,5.736,0,67.77
56,0,6.339,0.0632812,69.23
57,0.000171661,9.168,0.00273438,70.73
58,0.000114441,7.879,0.0583496,70.47
59,0.000457764,8.824,0.0160156,70.69
60,0.000228882,7.344,0.0146484,71.30
61,0.000286102,7.250,0.0193359,71.15
62,0.000228882,5.446,0.00996094,71.42
63,0.000286102,6.171,0.0100098,71.52
64,0.000228882,7.176,0.0100098,72.13
65,0.000286102,7.462,0.0685547,72.59
66,0.000286102,6.859,0.0114746,72.88
