Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.000417709,.709,0,55.45
2,0.00149345,.745,0,55.47
3,0.00255775,1.290,0,55.51
4,0.000337601,1.190,0,55.50
5,0.000612259,.745,0.0984375,55.53
6,0,1.311,0,55.63
7,0.000143051,.711,0,55.65
8,0.000114441,1.012,0,55.67
9,5.72205e-05,.536,0,55.67
10,0.00018692,.678,0,55.71
11,0.000135422,.650,0,55.71
12,5.72205e-05,.562,0,55.73
13,0.000114441,.735,0,55.71
14,0.00018692,.680,0,55.70
15,0,.592,0,55.72
16,0.000192642,.534,0,55.72
17,0.000171661,.676,0,55.71
18,0.00018692,.977,0,56.03
19,0,.531,0,56.08
20,0.000135422,.503,0.00273438,56.09
21,0.000114441,.738,0,56.11
22,0.000244141,.623,0,56.13
23,0,.534,0,56.15
24,0.000135422,.681,0,56.14
25,0.000171661,.504,0.00351563,56.16
26,0.000244141,.592,0,56.17
27,0,.508,0,56.19
28,0.000135422,.564,0,56.20
29,0.000171661,.557,0.00195312,56.22
30,0.000244141,.533,0,56.26
31,0,.564,0,56.25
32,0.00173187,1.185,0,56.27
33,0.000114441,.591,0,56.28
34,0.00015831,10.565,0.000390625,56.79
35,0.00018692,5.932,0,58.43
36,0.000135422,5.756,0,58.51
37,5.72205e-05,4.899,0,58.54
38,0.000171661,4.855,0,60.26
39,0.00018692,7.851,0.0549316,61.37
40,0,4.584,0,62.39
41,0.000192642,10.231,0.142529,62.86
42,0.482954,1.207,0,62.83
43,1.57922,1.691,3.22852,63.38
44,0,3.371,0,63.20
45,0.000135422,3.465,0,63.64
46,0.000286102,6.640,5.63276,63.58
47,0.000244141,4.351,0.00292969,63.91
48,0,6.324,0.144629,64.59
49,0.000135422,4.429,0,65.00
50,0.000171661,3.526,0,65.13
51,0.00199699,4.604,0.0229492,64.55
52,1.32096,2.920,0.00820313,64.42
53,1.99907,.919,0,64.45
54,0.33441,2.935,0.757422,67.65
55,0.000171661,8.559,6.80029,63.44
56,0.00018692,3.924,0.741309,64.02
57,0.000135422,3.709,0.0835938,64.00
58,0.0452461,3.937,0.120898,63.14
59,1.04544,3.330,0.161328,63.42
60,0.00018692,3.304,0.165234,63.20
61,0,3.608,0.107422,63.68
62,0.000192642,3.314,0.134375,63.94
63,0.00053215,3.383,0.205273,63.06
64,0,5.306,0.197119,62.29
65,0.000192642,5.087,0.107764,62.43
66,0.000114441,3.736,0.115723,62.54
67,5.72205e-05,10.744,0.0238281,63.58
68,0.00018692,3.507,0,63.52
69,0.000135422,3.861,0,63.24
70,0.0890036,4.936,0.0185547,63.05
71,0.133125,.569,0,63.05
72,0.174366,.715,0,63.05
73,0.103277,1.686,0.0695313,63.31
74,0.000192642,4.505,0.0123535,62.03
75,0.000114441,7.720,8.24741,62.75
76,0.00018692,6.997,0.0664062,63.87
77,0,3.868,0.135156,64.11
78,0.0171108,13.083,0.0189453,64.36
79,0.000171661,4.359,5.15508,67.59
80,0.000375748,8.666,0.316943,63.13
81,0,4.852,0,63.75
82,0.000192642,11.455,0.143164,64.14
83,0.000272751,6.754,0.0192871,64.57
84,0.000244141,3.573,0.170313,64.57
85,8.58307e-05,4.019,0.165625,64.39
86,0.000135422,3.370,0.253125,64.45
87,0.000114441,3.635,0.119531,64.95
88,5.72205e-05,4.264,0.155615,64.54
89,0.00018692,3.567,0.122656,64.76
90,0.000135422,4.837,0.154736,64.48
91,5.72205e-05,3.187,0.0237793,64.47
92,0.000171661,3.006,0.0129883,64.34
93,0.0333357,4.197,0.0412109,64.66
94,0,4.439,8.02227,68.08
95,0.000192642,4.588,0.0763672,63.64
96,0.000114441,5.087,0.107275,63.78
97,0.000244141,3.776,0.115869,63.91
98,0.881287,11.114,0.023584,64.16
99,1.2399,3.233,0,66.10
100,0.000171661,4.096,0,65.38
101,0.000244141,3.399,0,67.02
102,0,2.979,0,66.07
103,0.000135422,3.242,0,65.67
104,0.000171661,3.610,0,66.06
105,0.000244141,3.538,0,67.01
106,0,3.546,0.332275,66.06
107,0.000135422,3.574,0,65.33
108,0.000228882,4.637,0.00390625,66.11
109,5.72205e-05,3.618,0.382422,67.08
110,0.00018692,3.448,0.382812,66.10
111,0.000135422,3.404,0.753516,67.06
112,5.72205e-05,3.484,0.372266,65.40
113,0.000171661,3.599,0,66.09
114,0.00018692,3.463,0.231641,66.91
115,0,3.573,0.610938,67.02
116,0.000192642,3.449,0,66.07
117,0.000344276,5.179,0.78501,64.20
118,0.262101,3.684,0.0601563,64.51
119,0,3.957,0.00512695,66.20
120,0.000135422,3.465,0.382422,67.14
121,0.000171661,3.668,0.544141,67.12
122,0.000301361,3.699,0.380859,66.12
123,0,3.521,0.372266,65.59
124,0.000135422,3.623,0,66.04
125,0.000171661,4.271,8.53828,67.00
126,5.72205e-05,3.557,0.610938,66.94
127,0,3.601,0.417578,65.27
128,0.000135422,3.001,0.430469,64.06
129,5.72205e-05,3.421,0.171094,64.41
130,0.000114441,3.893,0.165625,64.28
131,0.00018692,4.610,0.27959,65.87
132,0,3.232,0.382422,66.83
133,5.72205e-05,3.473,0.382812,65.86
134,0.000114441,3.167,0.373828,66.81
135,0.00018692,3.488,0.372266,65.05
136,0,3.538,0,65.85
137,0.000135422,3.337,0.231641,66.48
138,0.000171661,3.163,0,66.78
139,0.000244141,3.250,0,65.83
140,0,3.885,0.780078,64.07
141,0.000135422,3.385,0.202344,64.66
142,0.000171661,3.340,0.119531,64.66
143,0.000244141,3.822,0.183594,64.28
144,0,3.391,0.0882813,64.51
145,0.000135422,4.185,0.120557,64.08
146,0.000114441,5.300,0.0768066,64.13
147,5.72205e-05,3.670,0.202344,64.14
148,0.00018692,3.326,0.119531,64.67
149,0.000135422,5.239,0.143896,63.83
150,5.72205e-05,3.301,0.202344,64.71
151,0.000171661,2.939,0.170313,64.70
152,0.00018692,6.227,0.118408,63.97
153,0,5.415,0.0474609,63.86
154,0.000192642,3.192,0.153809,64.72
155,0.000114441,3.160,0.0957031,64.71
156,0.0139017,3.832,0.144531,63.82
157,0.0314159,4.215,0.144141,64.68
158,0.000135422,2.907,0.202734,64.40
159,0.000171661,3.252,0.234766,63.98
160,0.000244141,3.608,0.00585938,65.81
161,5.72205e-05,3.318,0.382422,66.76
162,0.000135422,3.138,0.755469,66.45
163,0.000171661,3.005,0.381641,65.83
164,0.000244141,3.024,0.372266,65.32
165,0,3.020,0,65.81
166,0.000135422,3.115,0.231641,66.77
167,0.000114441,3.212,0.613281,66.76
168,0.000114441,3.060,0.417578,65.10
169,0.00018692,3.655,0.3625,65.85
170,0.000135422,2.945,0.382422,66.79
171,5.72205e-05,3.123,0.382812,65.85
172,0.000171661,3.179,0.759375,65.84
173,0.00018692,3.116,0.372266,65.19
174,0,3.061,0,65.84
175,0.000192642,3.138,0.231641,66.66
176,0.000114441,3.106,0.610938,66.80
177,0.000244141,3.033,0,65.87
178,0,3.602,0.402295,64.02
179,0.000135422,3.819,0.106934,64.47
180,0.000171661,3.246,0.134375,64.65
181,0.000244141,4.341,0.205859,64.02
182,0,4.222,0.0618164,64.75
183,0.000135422,3.636,0.151563,64.49
184,0.000114441,3.405,0.255859,63.85
185,0.000244141,4.221,0.00957031,65.87
186,0,3.046,0.382422,66.82
187,0.000135422,2.932,0.382812,65.86
188,0.000171661,3.925,0.616406,66.01
189,0.000244141,2.961,0.372266,65.40
190,0,2.992,0,65.92
191,0.000135422,3.126,0.231641,66.86
192,0.000171661,2.892,0.610938,66.86
193,5.72205e-05,2.921,0.417578,65.18
194,0,3.552,0.3625,65.35
195,0.000135422,5.562,0.226123,63.53
196,5.72205e-05,15.160,0.107764,65.88
197,0.000114441,4.037,0,66.67
198,0.00018692,10.871,0.143115,66.99
199,0,4.785,0.0644531,67.19
200,0.000192642,5.275,0.0352051,67.52
201,0.000114441,4.101,0.202344,67.48
202,0.00018692,3.619,0.119531,67.87
203,0,5.157,0.173438,67.10
204,0.000135422,3.960,0.00532227,69.06
205,0.000171661,4.105,8.5168,70.02
206,0.000244141,3.531,0.372656,69.65
207,0,3.578,1.03413,69.04
208,0.000135422,3.465,0.372266,68.50
209,0.000171661,3.613,0,69.02
210,0.000244141,3.362,0.266797,69.96
211,0,3.396,0,69.95
212,0.000135422,3.538,0.417578,68.31
213,0.000114441,4.777,0.385791,67.19
214,0.000114441,5.071,0.0508789,67.19
215,0.00018692,5.053,0.0434082,68.24
216,0.000135422,3.305,0.382422,69.99
217,5.72205e-05,3.449,0.382812,69.04
218,0.000171661,3.317,0.372656,69.98
219,0.00018692,3.313,0.753125,68.21
220,0,3.367,0,69.03
221,0.000192642,3.431,0.231641,69.61
222,0.000114441,3.395,0,69.95
223,0.000244141,3.528,0,68.98
224,0,4.015,0.783984,66.99
225,0.000135422,5.081,0.0655273,67.00
226,0.000171661,4.732,0.0144531,67.86
227,0.000244141,3.476,0.382422,69.92
228,0,3.263,0.382812,68.97
229,0.000135422,3.349,0.372656,69.92
230,0.000171661,3.369,0.753125,68.10
231,0.000244141,3.398,0,68.95
232,0,3.270,0.337891,69.52
233,0.000135422,3.481,0,69.91
234,0.000114441,3.453,0.610938,68.93
235,5.72205e-05,3.700,0.78291,67.12
236,9.34601e-05,3.507,0.171875,67.29
237,0.000135422,3.259,0.165625,67.24
238,5.72205e-05,5.465,0.0214844,67.20
239,0.000171661,4.651,0.0796875,67.42
240,0.00018692,3.389,0.141016,67.67
241,0,4.712,0.210547,67.22
242,0.000192642,4.572,0.0291504,67.50
243,0.000114441,3.458,0.202734,67.42
244,0.000244141,3.337,0.190625,67.31
245,0,8.450,0.00541992,67.75
246,0.000135422,3.610,0.382422,69.86
247,0.000171661,3.361,0.382812,68.90
248,0.000244141,3.370,0.372656,69.85
249,0,3.545,0.753125,67.96
250,0.000135422,3.232,0,68.80
251,0.000171661,3.413,0.231641,69.33
252,0.000244141,3.795,0,69.84
253,0,3.382,0.610938,68.85
254,0,3.909,0.780078,67.05
255,0.000114441,5.245,0.00610352,68.87
256,5.72205e-05,3.400,0.382422,69.81
257,0,3.762,0.399072,68.86
258,0,3.505,0.753516,68.86
259,5.72205e-05,3.598,0.372266,68.22
260,0.000171661,3.268,0,68.85
261,0.00018692,3.318,0.237109,69.79
262,0,3.320,0.610938,69.77
263,5.72205e-05,3.265,0,68.82
264,0.000114441,2.657,0.3625,66.88
265,0.00018692,5.108,0.061377,67.49
266,0,3.571,0.112012,67.67
267,0,8.466,0.0251465,68.52
268,0.000171661,3.606,0,68.43
269,0.000244141,3.499,0,68.09
270,0,4.190,0.154639,68.70
271,0,3.207,0.117969,68.68
272,0.000171661,6.255,0.0799805,68.29
273,0.000244141,4.588,0.112793,68.69
274,0,3.398,0.117969,68.67
275,0,5.725,0.0972656,68.54
276,0.000114441,3.320,0.253125,68.41
277,0.000114441,3.325,0.119531,68.37
278,0.00018692,5.696,0.0892578,68.52
279,0,3.318,0.202734,68.42
280,5.72205e-05,3.392,0.189844,68.30
281,0.000171661,4.594,0.152637,68.46
282,0.00018692,3.518,0.184375,68.60
283,0.000135422,4.358,0.510693,67.92
284,0.000143051,4.206,0.38501,70.67
285,0.00021553,3.362,0.382812,69.83
286,0.00018692,3.398,0.372656,70.78
287,0,3.163,0.380859,69.80
288,0.000143051,3.347,0,69.65
289,0.000114441,3.306,0.231641,70.08
290,0.00018692,3.489,0.00234375,70.73
291,0,3.313,0.610938,69.78
292,0,3.450,0.780078,67.92
293,0.000257492,3.974,0.157324,68.64
294,0.000244141,4.437,8.14727,68.65
295,0,4.611,0.302246,67.80
296,0,3.826,0.141748,68.49
297,0.000257492,3.451,0.168359,68.12
298,0.000244141,5.716,0.0774902,68.64
299,0,3.197,0.202734,68.33
300,0,3.424,0.234375,67.88
301,0.000200272,5.037,0.107324,68.35
302,5.72205e-05,3.535,0.134375,68.55
303,0.00018692,4.421,0.207373,67.77
304,0,4.685,0.133643,68.48
305,0.000143051,3.437,0.151563,68.45
306,0.000171661,6.025,0.114551,67.90
307,0,5.482,0.255762,69.75
308,0,3.489,0.382422,70.71
309,0.000200272,3.610,0.382812,69.72
310,5.72205e-05,3.337,0.753516,69.71
311,9.34601e-05,3.361,0.372266,69.04
312,0,3.216,0,69.69
313,0.000143051,3.435,0.231641,70.57
314,0.000171661,3.572,0.610938,70.64
315,0.00018692,3.443,0.0046875,68.82
316,0,5.296,0.400195,67.74
317,0.000143051,2.803,0.0574219,67.90
318,0.000114441,4.293,0.00488281,69.81
319,0.00018692,3.592,0.382422,70.76
320,0,3.354,0.755469,70.76
321,0,3.356,0.380859,69.80
322,0.000114441,3.288,0.372266,69.32
323,0.000244141,2.949,0.0128906,69.77
324,0,3.244,0.231641,70.73
325,0,3.540,0.610938,70.72
326,0.000257492,3.379,0.417578,69.05
327,0.000244141,6.006,0.40752,67.88
328,0,3.173,0.170313,68.17
329,0,3.350,0.165625,68.23
330,0.000257492,10.060,0.0381836,68.10
331,0.000150681,5.481,0.0244141,70.00
332,0,3.456,0.404248,70.96
333,0.000135422,3.066,0.382812,70.00
334,0.000143051,3.274,0.753516,70.00
335,0.000114441,3.294,0.372266,69.33
336,0.00018692,3.317,0,69.99
337,0,3.183,0.231641,70.88
338,0.000143051,3.268,0.610938,70.94
339,0.000114441,3.213,0,69.99
340,0.00018692,4.912,0.372168,68.25
341,0,3.460,0.253125,68.14
342,0,3.449,0.189844,68.07
343,0.000257492,6.399,0.0499023,68.34
344,0.000244141,3.369,0.135938,68.14
345,0,4.782,0.153906,68.25
346,0,7.136,0.040332,68.23
347,0.000257492,6.200,0.0420898,69.22
348,0.000244141,5.658,0.0342773,67.17
349,0,5.201,0.00078125,68.98
350,0,3.356,0.382422,69.92
351,0.000200272,3.482,0.755469,69.91
352,5.72205e-05,3.436,0.380859,68.95
353,0,3.415,0.372266,68.47
354,0,3.367,0,68.95
355,0.000143051,3.348,0.231641,69.87
356,0.000171661,3.422,0.610938,69.88
357,0.00018692,2.746,0.417578,68.23
358,0,4.392,0.522461,67.18
359,0.000143051,2.898,0.122656,67.62
360,0.000114441,3.695,0.149561,67.38
361,0.00018692,3.399,0.170313,67.40
362,0,3.360,0.165625,67.39
363,0,3.061,0.170313,67.36
364,0.000257492,3.607,0.168604,67.36
365,0.000244141,3.891,0.0199219,69.20
366,0,7.025,0.0861816,66.93
367,0,4.370,0.107373,66.81
368,0.000257492,3.808,0.135303,67.00
369,0.000244141,6.727,0,67.73
370,0,3.670,3.3582,67.92
371,0,3.988,0.065918,67.23
372,0.000257492,4.534,0.112354,67.88
373,0.000244141,3.457,0.151563,67.91
374,0,4.931,0.0972656,67.40
375,0,3.728,3.58672,68.09
376,0.000200272,3.572,0.170313,68.11
377,5.72205e-05,4.328,0.184814,67.35
378,0.00018692,5.167,0.0482422,67.41
379,0,4.851,0.0625488,68.43
380,0.000143051,3.453,0.202734,68.13
381,0.000171661,3.476,0.234766,67.20
