Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.00156593,1.489,0,58.76
2,0.000337601,1.360,0,58.78
3,5.72205e-05,1.127,0,58.78
4,0.000207901,1.309,0,58.77
5,0.000329971,1.127,0,58.77
6,0.000114441,1.077,0,58.79
7,5.72205e-05,1.290,0,58.81
8,0.000192642,1.309,0,58.79
9,0.000171661,1.151,0,58.79
10,0.000307083,1.312,0,58.79
11,5.72205e-05,1.184,0,58.80
12,0.000192642,1.221,0,58.79
13,0.000228882,1.194,0,58.79
14,0.000364304,1.158,0,58.79
15,5.72205e-05,1.168,0,58.79
16,5.72205e-05,1.172,0,58.78
17,0.00211906,1.250,0,58.77
18,0.00369644,1.841,0,58.77
19,0.00320435,1.399,0,58.76
20,0.00167465,1.553,0,58.75
21,0.000114441,1.137,0,58.75
22,0.000307083,1.268,0,58.77
23,0.000114441,1.315,0,58.75
24,5.72205e-05,1.250,0,58.76
25,0.000200272,1.271,0.00234375,58.77
26,0.000228882,1.327,0.00673828,58.77
27,0.000249863,1.277,0,58.74
28,5.72205e-05,1.331,0,58.74
29,0.000192642,1.268,0.00273438,58.76
30,0.000228882,1.251,0,58.75
31,0.000364304,1.156,0,58.76
32,0.0051012,1.269,0,58.76
33,0.0084734,1.582,0.00078125,58.78
34,0.00103378,9.376,0,59.08
35,0.000806808,3.992,0.000390625,59.68
36,0.000230789,5.783,0.0551758,59.90
37,5.72205e-05,5.151,0,60.67
38,0.000480652,10.821,0.144141,61.33
39,0.120158,5.055,0,61.56
40,0.000881195,6.087,8.39365,62.17
41,5.72205e-05,5.433,0.00561523,62.52
42,0.000343323,4.545,0.138086,62.78
43,0.000436783,13.751,0.00327148,63.52
44,0.0143814,3.947,0.0034668,64.04
45,0.414919,1.551,0,64.02
46,0.436314,1.284,0,64.02
47,0.415124,1.324,0,64.04
48,0.851839,1.815,0,64.03
49,1.27444,1.538,0,64.01
50,1.79534,1.489,0,64.05
51,2.15789,1.693,0.503955,64.06
52,2.58826,1.671,0,64.08
53,3.0807,1.521,0,64.09
54,0.974194,5.196,0.00244141,65.33
55,0.000576019,5.031,8.95703,65.31
56,0.000272751,5.538,0,66.10
57,0.00038147,17.972,8.55269,68.48
58,0.00015831,23.563,0.102734,68.09
59,0.000522614,36.513,0.326318,73.35
60,0.000314713,28.606,0.0275391,73.59
61,5.72205e-05,8.590,0,74.90
62,0.00420761,8.040,0.309326,75.70
63,0.000576019,20.339,0.779395,76.23
