Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.000360489,.413,0,59.93
2,0.00403881,.710,0,59.96
3,0.0242138,1.366,0,60.00
4,0.000808716,.646,0,60.04
5,0.000589371,.370,0,60.01
6,0.000423431,.387,0.0517578,60.02
7,0.00066185,.349,0,60.00
8,0.000583649,.339,0,60.01
9,0.000322342,.364,0,60.01
10,0.000423431,.707,0,59.94
11,0.00028038,.627,0,59.92
12,0.0004673,.332,0,59.91
13,0.000322342,.265,0,59.90
14,0.000423431,.326,0,59.92
15,0.00028038,.268,0,59.91
16,0.000545502,.317,0,59.91
17,0.000171661,.464,0,59.92
18,0.000688553,.322,0,59.92
19,0.000337601,.324,0,59.91
20,0.000545502,.358,0,59.89
21,0.000171661,.265,0,59.89
22,0.000688553,.384,0,59.88
23,0.00028038,.385,0,59.90
24,0.000545502,.380,0,59.91
25,0.00028038,.297,0.00195312,59.90
26,0.000623703,.378,0,59.90
27,0.00028038,.381,0,59.91
28,0.000602722,.331,0,59.90
29,0.00028038,.327,0.00273438,59.89
30,0.000322342,.326,0,59.89
31,0.000480652,.329,0.0305176,59.89
32,0.000415802,.352,0,59.89
33,0.00028038,.349,0,59.90
34,0.00222588,6.939,0.00234375,60.03
35,0.00160217,11.111,0,62.06
36,0.000597,9.776,0.0587402,62.52
37,0.00115204,4.996,0.00078125,62.42
38,0.000991821,10.603,0,62.81
39,0.00112152,14.189,0,64.32
40,0.000833511,18.046,0,64.98
41,0.0019722,8.958,0,67.41
42,0.00171852,8.065,0,68.22
43,0.013752,15.781,0.00546875,69.04
44,0.0148735,10.048,0,69.88
45,0.0248022,4.093,0.015625,69.99
46,0.00138664,11.675,0.102832,70.55
47,0.000394821,.993,0,70.56
48,0.000337601,.778,0,70.61
49,0.000654221,.871,0,70.63
50,0.00357437,4.420,0,70.75
51,0.0018425,3.820,0.000390625,71.19
52,0.00087738,4.874,0,72.31
53,0.00650597,10.006,0,73.53
54,0.00127029,4.996,0,73.52
55,0.00131035,5.437,0,73.52
56,0.0115147,8.658,0.0283203,75.73
57,0.0105858,8.595,0.0527832,76.50
58,0.0106716,7.454,0.00195312,76.34
59,0.00685883,7.373,0.055127,76.48
60,0.00862503,8.124,0.013916,76.53
61,0.0100327,8.354,0.0125,76.78
62,0.0121555,13.084,0.0144043,76.83
63,0.0205269,8.905,0.0131836,76.90
64,0.0112209,6.233,0.00883789,76.77
65,0.0198612,7.962,0.0124023,76.57
66,0.0205536,8.966,0.0135742,76.62
67,0.0198669,8.203,0.0125977,76.70
68,0.0121193,8.208,0.0137695,76.72
69,0.0078907,6.808,0.0133301,76.71
70,0.020853,8.555,0.013623,76.78
71,0.022892,8.972,0.0130859,76.91
72,0.0244827,8.489,0.0111328,76.65
73,0.00618553,7.297,0.0131836,76.67
74,0.0199795,9.165,0.00839844,76.92
75,0.028429,9.584,0.0150391,76.67
76,0.02038,6.790,0.095166,76.87
77,0.0181522,2.322,0,76.88
78,0.00946426,4.434,0.0544922,77.85
79,0.00767326,4.793,0.00249023,77.20
80,0.00200081,3.719,0.0765137,77.18
81,0.00217247,3.874,0,77.17
82,0.0130806,6.525,6.65972,77.41
83,0.00758362,5.677,1.82637,77.90
84,0.000980377,3.774,0.118799,78.12
85,0.00415993,11.771,0.0404297,78.74
86,0.00819969,5.595,7.079,78.71
87,0.0135326,42.624,0,80.08
88,0.0218945,10.036,0.0116211,80.08
89,0.00117111,53.628,0,80.08
90,0.0248051,8.197,0.0107422,80.69
91,0.00135422,4.171,6,80.18
92,0.00161362,4.041,0,80.17
93,0.00239563,4.409,0,80.18
94,0.0181847,7.153,6.01177,80.12
95,0.0151196,4.103,0.00585938,80.70
96,0.00241661,3.903,6.3,80.16
97,0.00212479,4.050,0,80.14
98,0.00225639,4.141,0,80.16
99,0.0173321,7.089,6.30708,80.14
100,0.0134411,41.137,0.0043457,80.21
101,0.000864029,52.012,0,80.24
102,0.0142727,44.887,0.00522461,80.13
103,0.0239677,7.853,0.0144043,80.75
104,0.000692368,6.508,6.89102,80.17
105,0.000640869,3.852,0,80.17
106,0.00228882,4.231,0,80.15
107,0.00718498,4.071,6.60234,80.65
108,0.0173607,21.892,0.0027832,80.44
109,0.0252361,8.734,0.0126465,80.59
110,0.00605011,10.127,0.00239258,80.87
111,0.000734329,4.287,6.8,80.20
112,0.000734329,3.874,0,80.21
113,0.00028038,3.098,0.0195312,80.19
114,0.00690651,4.349,6.80781,80.15
115,0.0127792,39.729,0.00527344,80.24
116,0.000926971,53.878,0,80.26
117,0.00943756,47.637,0.00415039,80.16
118,0.00804329,44.802,0.00214844,80.25
119,0.00982285,31.778,0.00625,80.49
120,0.0221272,9.944,0.0447266,78.57
121,0.000453949,3.841,4.9375,78.55
122,0.000684738,3.639,0,78.53
123,0.000740051,3.953,0,78.52
124,0.0236988,12.129,6.21157,79.22
125,0.0237427,7.357,0.0563477,79.17
126,0.0102577,43.618,0,80.60
127,0.0154362,35.247,0.00302734,80.66
128,0.023571,7.003,3.68037,80.67
129,0.0026474,4.834,0,80.69
130,0.000534058,3.566,0,80.67
131,0.0128136,12.866,4.90566,80.71
132,0.00439835,53.162,0,80.72
133,0.00559425,52.872,0,80.81
134,0.018362,4.375,0.00415039,80.98
135,0.000452042,5.407,5.4,80.70
136,0.000495911,3.609,0,80.70
137,0.0067482,5.523,0,80.70
138,0.0252247,8.990,5.41069,80.81
139,0.0482864,12.251,0.010791,81.16
140,0.00899887,4.013,6.1021,80.98
141,0.00219536,4.537,0,81.02
142,0.00043869,3.668,0,81.01
143,0.0286217,8.906,6.10869,80.91
144,0.0162029,7.264,0.010791,81.66
145,0.00742722,6.620,6.1,81.23
146,0.00336075,4.007,0,81.24
147,0.000207901,3.819,0,81.23
148,0.00286293,4.660,6.1043,81.40
149,0.00485802,4.709,6.10454,81.21
150,0.00187683,4.031,0,81.22
151,0.00021553,3.444,0,81.21
152,0.00190735,4.329,6.13228,81.64
153,0.0296993,7.538,0.0401855,81.13
154,0.0233402,6.056,2.31626,81.18
155,0.00172424,6.069,2.4125,81.11
156,0.00043869,3.593,0,81.10
157,0.00047493,3.727,0.0015625,81.11
158,0.0190907,8.817,6.62764,78.35
159,0.00255394,8.174,0.111084,77.40
160,0.00551987,4.505,0.165234,77.47
161,0.0117397,4.924,0.00498047,78.01
162,0.00200844,3.848,0.115771,78.14
163,0.0163784,14.816,1.74912,78.88
164,0.00462341,6.141,3.99165,79.43
165,0.043005,13.896,0.0127441,79.71
166,0.0206566,5.943,0.0405762,79.73
167,0.0153904,7.458,0.057959,80.25
168,0.0153599,5.219,0,79.97
169,0.00303268,3.969,0,79.96
170,0.00130081,3.654,0,79.94
171,0.000707626,3.851,0,80.02
172,0.0259819,7.241,0.980811,80.04
173,0.00357628,3.527,2.675,80.02
174,0.000431061,3.388,0,80.05
175,0.0195904,6.050,6.10503,80.24
176,0.0371437,8.979,0.0650879,80.60
177,0.046545,8.220,0.00991211,80.25
178,0.0140343,4.271,5.80234,80.30
179,0.00126457,3.472,0,80.28
180,0.00044632,3.424,0,80.28
181,0.0109978,5.683,5.80659,80.30
182,0.0239487,6.535,0.342529,80.29
183,0.000699997,3.392,2.9,80.30
184,0.000494003,3.497,0,80.30
185,0.000265121,3.646,0,80.29
186,0.0244408,6.352,6.31348,80.26
187,0.0521431,8.107,0.00883789,80.22
188,0.0108604,4.009,6.50239,80.27
189,0.000699997,3.885,0,80.26
190,0.00021553,3.545,0,80.23
191,0.000265121,3.380,4.925,80.35
192,0.0573034,10.359,0.0227051,80.38
193,0.0056963,8.937,0,81.06
194,0.00060463,6.347,5.975,80.33
195,0.000272751,3.483,0,80.31
196,0.000387192,3.504,0,80.30
197,0.0149536,5.345,6.70483,80.30
198,0.0410461,5.720,0.00673828,80.46
199,0.0592117,8.391,0.00942383,80.55
200,0.000606537,5.494,6.0582,80.26
201,0.000228882,3.466,0.00351563,80.24
202,0.000114441,3.471,0,80.24
203,0.018465,5.377,6.00674,80.27
204,0.0559597,11.154,0.0164063,80.60
205,0.000492096,5.990,6.13086,80.31
206,0.000379562,3.496,0,80.30
207,0.000272751,3.420,0,80.30
208,0.00653076,4.060,6.10195,80.43
209,0.0351353,7.639,0.0143066,80.57
210,0.0253582,6.384,0.00419922,80.54
211,0.0598202,9.450,0.0129395,80.51
212,0.0545692,9.928,0.0127441,80.29
213,0.00144386,4.229,0.00219727,80.33
214,0.0256157,7.916,0.00649414,80.37
215,0.0677223,8.380,0.0121094,80.55
216,0.0690403,9.323,0.0104492,80.35
217,0.0605583,9.279,0.0125488,80.31
218,0.0175152,6.193,0.00874023,80.58
219,0.0513859,7.716,0.0125977,80.37
220,0.000965118,4.047,2.2875,80.34
221,0.000814438,3.579,0,80.32
222,0.0190487,7.079,4.2082,80.52
223,0.0099926,4.454,6.702,80.31
224,0.000387192,3.893,0,80.32
225,0.000387192,3.609,0.0377441,80.31
226,0.000114441,3.513,0.0113281,80.32
227,0.0648346,7.987,6.37207,80.32
228,0.0519657,7.639,0.0104492,81.01
229,0.000606537,4.552,6.2,80.40
230,0.000272751,3.484,0,80.40
231,0.000423431,3.227,0,80.36
232,0.0370178,6.541,6.20737,80.46
233,0.0355396,6.769,4.10439,80.31
234,0.000337601,3.368,0,80.30
235,0.0163784,4.702,0.00249023,80.35
236,0.0896721,11.592,0.0145508,80.28
237,0.0146523,5.297,6.402,80.28
238,0.000616074,3.570,0,80.32
239,0.000423431,3.540,0.00078125,80.30
240,0.000907898,3.797,6.40234,80.26
241,0.0793114,19.680,0.0125977,81.05
242,0.0237999,20.750,0.00429688,81.63
243,0.00288963,5.817,7,81.08
244,0.00021553,3.472,0,81.07
245,0.00021553,3.920,0,81.05
246,0.00117683,3.544,7.00391,81.23
247,0.0357933,7.370,0.00483398,81.60
248,0.0469627,5.312,0.0112793,81.27
