Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.740,0,48.20
2,5.72205e-05,.745,0,48.20
3,0.000200272,.710,0,48.21
4,0.00018692,1.078,0,48.19
5,0,.563,0,48.22
6,0,1.557,0,48.24
7,0.000257492,.597,0,48.23
8,0.000244141,.598,0,48.23
9,0,.711,0,48.24
10,0,.594,0,48.24
11,0.000257492,.624,0,48.24
12,0.000244141,.652,0,48.23
13,0,.610,0,48.24
14,0,.801,0,48.26
15,0.000200272,.594,0,48.26
16,0.000150681,.448,0,48.25
17,0,.504,0,48.24
18,0,.538,0,48.25
19,5.72205e-05,.926,0,48.25
20,0.000257492,.737,0,48.30
21,0.00018692,.534,0.003125,48.27
22,0.00163841,.714,0,48.28
23,0,.623,0,48.27
24,0.000114441,.596,0,48.31
25,0.000244141,.629,0,48.29
26,8.58307e-05,.564,0.00273438,48.28
27,0,.477,0,48.27
28,0.000171661,.533,0,48.26
29,0.000244141,.501,0,48.27
30,0,.535,0.00078125,48.28
31,0,.561,0,48.26
32,0.000171661,.623,0,48.28
33,0.000244141,.533,0,48.28
34,0,5.648,0,48.41
35,0,3.863,0.000390625,49.17
36,5.72205e-05,5.461,0,50.81
37,0.000114441,6.046,0,54.03
38,0.00018692,6.240,0,52.82
39,0,9.177,0.0500488,53.09
40,5.72205e-05,12.798,0,56.66
41,0.000114441,3.950,0.142725,57.22
42,2.10935,2.812,0,57.32
43,0.00327587,3.537,3.07773,58.11
44,0,3.521,0,58.09
45,0.770495,3.576,0,57.49
46,0.967123,2.949,0.151563,58.26
47,0,3.381,1.70898,58.20
48,0.00169468,4.291,1.06963,57.56
49,3.13485,2.786,0.00556641,57.34
50,0.189052,3.532,0.00263672,56.92
51,5.72205e-05,7.494,0.181445,56.38
52,5.72205e-05,4.053,0,56.84
53,0.000450134,11.458,0.142529,57.23
54,2.14985,3.075,0.0188965,57.82
55,5.72205e-05,3.379,0.253125,57.63
56,0,3.323,0.119531,58.05
57,1.23637,3.363,0.0504883,57.74
58,0.000114441,3.263,0.170313,57.72
59,0.000207901,4.080,0.169043,57.69
60,2.18925,1.549,0,57.78
61,0.000114441,3.353,0.253125,57.66
62,0.000114441,3.335,0.189844,57.57
63,0.0980883,3.983,0.00966797,57.22
64,1.88425,2.182,0.101562,57.79
65,0,3.445,0.184375,57.85
66,0.000286102,4.166,0.205322,57.46
67,0.000244141,1.201,0,57.23
68,0,.740,0,57.23
69,0,.659,0,57.21
70,0.000171661,.679,0,57.19
71,0.000522614,.592,0,57.17
72,0,.562,0,57.17
73,5.72205e-05,.630,0.310059,57.16
74,0.180062,.774,0,57.17
75,0.329995,1.282,0.0367188,57.29
76,0.00191593,5.411,2.82876,57.33
77,0.0165911,5.846,0.023877,57.31
78,2.8567,.949,0,57.30
79,1.05116,2.473,0,60.06
80,0.000171661,6.585,5.04956,56.90
81,0,4.421,0.104834,57.13
82,5.72205e-05,3.750,0.142969,57.74
83,0.024065,4.152,0.0186035,57.69
84,1.10869,3.128,0.136328,57.90
85,5.72205e-05,3.365,0.134375,57.92
86,2.151,3.043,0.0503906,58.51
87,0.000114441,3.401,0.151563,58.28
88,0.000301361,4.004,0.201953,57.93
89,0,4.750,0.00541992,57.76
90,5.72205e-05,.711,0,57.74
91,0.000171661,.826,0,57.75
92,0.000244141,.679,0,57.76
93,0.171938,.744,0,57.77
94,0.645735,3.188,0.170313,58.11
95,0.000286102,3.495,0.165625,58.09
96,0.0186787,4.026,0.0324707,58.40
97,0.0346079,4.550,0.042041,58.55
98,4.21874,2.297,0.313623,59.10
99,0.000286102,4.743,8.08179,57.61
100,0.000244141,7.106,0.070459,57.94
101,0,8.718,0.105029,58.71
102,0,3.504,0.135107,58.92
103,2.61563,8.403,0,59.14
104,0.000244141,3.219,0,61.02
105,0,3.083,0,60.68
106,0,3.100,0,61.95
107,0.000171661,3.018,0,61.00
108,0.000244141,2.973,0,60.59
109,0,3.014,0,60.99
110,0,3.005,0,61.93
111,0.000114441,4.492,10.7207,60.99
112,0.000114441,3.275,0,60.26
113,0.0017519,4.653,0.103809,59.12
114,3.18089,2.371,0,61.01
115,5.72205e-05,3.473,0.382422,61.96
116,0.000114441,3.662,0.382812,60.99
117,0.000244141,3.370,0.753516,60.98
118,0,3.374,0.372266,60.29
119,0,3.092,0,60.98
120,0.000171661,3.245,0.231641,61.79
121,0.000244141,3.376,0.610938,61.94
122,0.000135422,3.508,0,60.95
123,0.00187492,3.700,1.09321,58.96
124,0.000171661,.626,0,58.96
125,0.00034523,.565,0,58.94
126,0.269839,1.135,0.0332031,59.08
127,0.20662,2.978,0.027002,59.07
128,0.000114441,.652,0,59.06
129,0.000244141,.594,0,59.06
130,0,.593,0,59.04
131,0.206589,.589,0,59.03
132,2.47969,1.334,0,59.55
133,0.000171661,3.223,0.382422,61.76
134,0.00018692,3.060,0.382812,60.82
135,0,3.512,0.372656,61.78
136,0,3.363,0.381641,60.81
137,0.000171661,3.291,0,60.68
138,0.000244141,3.400,0.231641,61.16
139,0,3.414,0,61.75
140,0,3.266,0.610938,60.80
141,0.000286102,3.349,0.591016,58.78
142,1.19977,4.368,0.0400879,59.45
143,0,3.382,0.122656,59.63
144,0.0017519,4.343,0.148828,59.01
145,3.13756,1.866,0.00317383,59.71
146,0.000244141,3.315,0.382422,61.79
147,0,3.330,0.382812,60.79
148,0,3.375,0.38584,61.73
149,0.000114441,3.344,0.753125,59.79
150,0.000114441,3.327,0,60.62
151,0,3.398,0.231641,61.07
152,0,3.170,0,61.66
153,5.72205e-05,3.206,0.610938,60.72
154,0.000171661,3.261,0.780078,58.70
155,0.00018692,1.603,0.00537109,58.76
156,5.72205e-05,.505,0,58.75
157,0,.568,0,58.75
158,0.000171661,.626,0,58.73
159,0.000301361,.533,0,58.74
160,0,.536,0,58.71
161,0,.510,0,58.70
162,0.000171661,.534,0.003125,58.70
163,0.000244141,.654,0,58.69
164,0,.469,0,58.67
165,0,.621,0,58.68
166,0.000114441,.476,0.00898438,58.69
167,0.000244141,.476,0,58.67
168,0,.591,0,58.68
169,0,.446,0,58.69
170,5.72205e-05,.388,0.00429688,58.70
171,0.000171661,.444,0,58.70
172,0.000465393,.503,0,58.71
173,1.24529,.627,0,58.71
174,0.785861,1.702,0.0951172,59.18
175,0.000114441,3.189,0.151563,59.31
176,0.000244141,3.432,0.234766,58.71
177,1.23598,1.832,0.00537109,59.20
178,0,3.116,0.170313,59.19
179,0.000286102,3.636,0.168652,59.16
180,0.526455,1.942,0.0695313,58.99
181,0.226883,2.619,0.0233398,58.98
182,1.52686,2.323,0.101562,59.44
183,0.000171661,3.308,0.134375,59.49
184,0.000358582,3.681,0.207373,58.70
185,0.610389,2.368,0.0231445,58.69
186,1.33725,2.282,0.101562,59.26
187,5.72205e-05,2.758,0.134375,59.42
188,0.000507355,3.492,0.201953,58.70
189,0.0186329,4.359,0.0274902,58.84
190,2.14933,1.653,0.0503906,59.04
191,0,3.129,0.151563,59.27
192,0.000171661,3.339,0.234766,58.69
193,0.000301361,1.528,0.00532227,58.73
194,0,.595,0,58.72
195,0,.474,0,58.71
196,0.000228882,.502,0.0125,58.70
197,0.129539,.979,0.0609375,58.90
198,0.0735073,3.407,0.0382813,58.76
199,1.94083,2.433,0.161865,59.57
200,0.000171661,3.194,0.134375,59.58
201,0.0143843,3.056,0.201953,58.70
202,1.27075,.648,0,58.70
203,1.58307,.594,0,58.73
204,0.000114441,4.091,0.0945313,60.62
205,0.000244141,2.872,0.382812,60.62
206,0,2.846,0.372656,61.58
207,0,2.989,0.372266,59.86
208,0.000171661,2.978,0,60.63
209,0.000244141,2.942,0.231641,61.22
210,0,2.873,0,61.58
211,0,2.816,0,60.65
212,0.000507355,3.323,0.780078,58.68
213,0.000207901,.648,0,58.69
214,0,.597,0,58.68
215,0,.685,0,58.66
216,0.413,.624,0,58.66
217,1.55942,.777,0,58.68
218,0.969554,1.601,0,60.59
219,0,2.858,0.382422,61.54
220,0,2.768,0.382812,60.58
221,0.000171661,2.921,0.753516,61.53
222,0.000244141,3.024,0.372266,59.85
223,0.000135422,3.073,0,60.60
224,0,2.754,0.23667,61.30
225,0.000171661,2.926,0.610938,61.55
226,0.000244141,3.167,0,60.59
227,0.00169468,3.187,0.783984,58.76
228,2.1495,2.433,0.00498047,59.22
229,0.000114441,2.940,0.25625,59.05
230,0.000244141,3.074,0.119531,59.09
231,0.0017519,4.689,0.0566895,58.68
232,0.722648,2.871,0.00878906,58.70
233,1.28153,1.672,0.0507812,59.53
234,0.000171661,3.003,0.151563,59.26
235,0.000244141,3.302,0.234766,58.67
236,0,1.907,0.0050293,58.71
237,5.72205e-05,.414,0,58.71
238,0.000114441,.704,0,58.74
239,0.000244141,.533,0,58.70
240,0.00180149,2.214,0.00888672,58.72
241,0.301023,.535,0,58.73
242,0.540905,.592,0.00546875,58.74
243,0.7812,.505,0,58.73
244,1.02924,.887,0,58.75
245,0.167146,2.716,0,60.68
246,0.000171661,3.247,0.382422,61.62
247,0.000244141,3.286,0.755469,61.64
248,0,3.212,0.380859,60.68
249,0,3.219,0.372266,60.17
250,0.000171661,3.167,0,60.66
251,0.000244141,3.242,0.231641,61.61
252,0,3.177,0.610938,61.60
253,0,3.167,0.417578,59.94
254,0.0411253,3.255,0.367334,58.65
255,0.00964737,.476,0,58.65
256,0.974501,.661,0,58.67
257,1.13749,.509,0,58.68
258,5.72205e-05,.475,0,58.68
259,0.000114441,.450,0,58.68
260,0.00018692,.505,0,58.67
261,0.777666,.534,0,58.68
262,1.04707,1.997,0,60.69
263,0.000286102,5.627,0.0759766,58.34
264,0.000244141,5.280,0.0469727,58.73
265,0,3.849,0.119141,58.90
266,0.00163746,11.009,0.016748,59.25
267,0.544477,3.153,0.0564453,59.19
268,0.0174856,4.516,2.2397,59.12
269,2.14376,2.296,0.101562,59.65
270,5.72205e-05,3.063,0.151563,59.65
271,0.000286102,3.693,0.201953,59.33
272,0.0493937,3.580,5.91699,59.31
273,3.14037,2.112,0.0436523,59.55
274,0.000135422,3.140,0.382422,61.63
275,5.72205e-05,3.468,0.694531,61.05
276,0.000114441,3.510,0.372656,62.01
277,0,3.144,0.380859,61.03
278,0,3.243,0.372266,60.79
279,0,3.383,0.231641,61.10
280,0.000114441,3.221,0,61.96
281,0.000244141,3.505,0.610938,61.01
282,8.58307e-05,3.280,0.417578,59.72
283,0.0169668,4.728,0.0294434,59.07
284,0.0328445,4.176,0.0442383,59.09
285,0.258099,2.934,0.0367188,59.13
286,0.857265,.742,0,59.16
287,1.19283,.594,0,59.16
288,0.563138,1.830,0,61.10
289,0.000244141,3.215,0.385547,62.07
290,0,3.232,0.382812,61.16
291,0,3.129,0.753516,61.15
292,0.000171661,14.766,0.372266,61.19
293,0.000244141,3.304,0.00625,61.93
294,0,3.211,0.231641,62.63
295,0,3.040,0,62.88
296,0.000114441,3.249,0,61.93
297,0.00200748,3.498,0.785547,60.08
298,0.0168695,4.001,0.0297852,59.92
299,0.0341444,3.773,0.0424805,59.93
300,1.03831,2.249,0.0230469,59.97
301,0.956955,.738,0.00195312,59.94
302,1.01561,2.110,0,61.87
303,0,3.222,0.382422,62.81
304,5.72205e-05,3.187,0.382812,61.86
305,0.000171661,3.085,0.753516,61.85
306,0.000244141,3.380,0.372266,61.17
307,0,3.225,0,61.83
308,0,3.613,0.231641,62.71
309,0.000171661,3.347,0.610938,62.80
310,0.000244141,3.246,0,61.83
311,0.173678,3.324,0.780078,59.86
312,0.495826,3.320,0.170313,60.20
313,0.000286102,3.507,0.165625,60.14
