Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,5.72205e-05,.767,0,53.78
2,0,.650,0,53.77
3,5.72205e-05,.650,0,53.77
4,5.72205e-05,.622,0,53.75
5,0.000114441,.562,0,53.76
6,0,.504,0,53.75
7,5.72205e-05,.565,0,53.74
8,0,.656,0,53.75
9,0.000114441,.589,0,53.76
10,5.72205e-05,.562,0,53.74
11,5.72205e-05,.532,0,53.74
12,0,.506,0.0529297,53.74
13,0.000114441,.682,0,53.77
14,5.72205e-05,.594,0,53.76
15,5.72205e-05,.504,0,53.76
16,0,.533,0,53.74
17,0.000114441,.595,0,53.76
18,5.72205e-05,.561,0,53.76
19,0,.529,0,53.76
20,5.72205e-05,.566,0,53.75
21,5.72205e-05,.621,0,53.76
22,5.72205e-05,.591,0,53.76
23,0,.507,0,53.75
24,5.72205e-05,.591,0.00273438,53.75
25,5.72205e-05,.592,0,53.76
26,0.000114441,.477,0,53.74
27,0,.561,0,53.73
28,5.72205e-05,.565,0,53.72
29,0,.531,0.00429688,53.72
30,0.000114441,.558,0,53.72
31,0,.591,0,53.75
32,5.72205e-05,.590,0,53.74
33,0,.561,0.00078125,53.75
34,0.000171661,10.565,0,54.28
35,0.000114441,2.541,0.000390625,54.57
36,5.72205e-05,9.129,0.0512207,55.41
37,0,4.550,0.059375,55.81
38,0.000114441,3.580,0.142432,56.30
39,0.115965,5.387,0,56.97
40,5.72205e-05,4.102,7.89443,56.88
41,0,3.728,0,57.63
42,0.000114441,11.791,0.155273,58.49
43,0.000114441,4.794,0,59.10
44,1.2323,1.891,0,59.27
45,8.77363,1.251,0,59.34
46,3.64102,4.838,0.499951,60.50
47,5.72205e-05,5.777,5.38911,61.10
48,0,4.132,0,61.84
49,0.000114441,18.477,8.60615,64.07
50,5.72205e-05,23.299,0.0789063,63.72
51,0.000114441,35.061,0.346387,67.94
52,0,22.286,0.0337891,66.20
53,5.72205e-05,7.706,0,66.72
54,0.00247955,9.300,0.100977,67.34
55,0.000114441,16.711,3.23872,67.95
56,0,6.815,12.3406,68.48
57,5.72205e-05,14.786,0,72.86
58,0,7.099,0.327344,73.51
59,0.00365257,12.569,8.29116,73.59
60,5.72205e-05,4.434,6.8251,74.04
61,5.72205e-05,5.279,0.0685547,74.48
62,0,5.691,0.528955,74.93
63,0.000171661,5.219,0.0106934,75.00
64,5.72205e-05,4.582,0.0317871,75.62
65,5.72205e-05,3.740,0.120166,75.86
66,0.00132084,4.886,8.38125,76.84
67,0.000171661,5.387,0.012793,76.54
68,0.000114441,5.666,0.0161133,76.56
69,0.00143528,6.298,0.0193359,76.41
70,5.72205e-05,5.663,0.0127441,76.33
71,0.0014925,4.831,0.0160645,76.40
72,0.000114441,7.267,0.012793,76.57
73,0.00143528,6.337,0.0192871,76.58
74,0.000335693,6.272,0.0128906,77.05
75,0.00156116,7.668,0.0254883,76.50
76,5.72205e-05,13.710,0.009375,76.86
77,0.000114441,6.195,0.0126465,76.65
78,0.00143528,6.134,0.0158691,77.11
79,0.000114441,5.510,0.0128906,76.76
80,0.00143528,7.284,0.0183105,76.81
81,0,4.966,0.012207,76.61
82,0.00143528,7.689,0.0192871,77.15
83,0.000114441,6.101,0.0097168,77.03
84,0.00177097,7.452,0.0228027,76.68
85,0.000114441,7.160,0.0192383,76.63
86,0.000114441,9.862,0.164795,78.06
87,0.00247955,14.651,0.0299805,76.53
88,5.72205e-05,.504,0,76.54
89,0,4.659,0.00644531,77.31
90,0.0175247,13.777,0.0283691,76.57
91,2.58345,2.688,0.00756836,76.56
92,11.9987,1.439,0,76.99
93,0.000171661,7.500,0.0133789,77.10
94,0.00143528,5.652,0.00888672,77.06
95,5.72205e-05,6.134,0.0691406,77.06
96,0.0014925,7.303,0.0105957,77.25
97,5.72205e-05,38.165,0.00717773,80.61
98,0.000114441,5.864,0.0090332,80.35
