Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,9.444,0.0619629,55.17
2,0,.164,0,55.15
3,0,.257,0,55.13
4,0,.241,0.0636719,55.11
5,0,.267,0,55.11
6,0,.235,0,55.11
7,0,.384,0,55.13
8,0,.351,0,55.11
9,0,.296,0,55.11
10,0,.354,0,55.11
11,0,.343,0,55.10
12,0,.438,0,55.09
13,0,.295,0,55.09
14,0,.325,0,55.08
15,0,.313,0,55.09
16,0,.324,0,55.08
17,0,.350,0,55.09
18,0,.297,0,55.07
19,0,.262,0,55.06
20,0,.303,0,55.08
21,0,.322,0,55.09
22,0,.412,0,55.10
23,0,.322,0,55.11
24,0,.299,0,55.08
25,0,.324,0.0015625,55.08
26,0,.371,0,55.08
27,0,.340,0,55.08
28,0,.333,0.029248,55.08
29,0,.353,0.00234375,55.10
30,0,.287,0,55.09
31,0,.354,0,55.08
32,0,.462,0,55.08
33,0,8.333,0,56.85
34,0,13.487,0.0456543,58.38
35,0,5.268,0.0316895,57.60
36,0,9.767,0,58.01
37,0,14.108,0,59.98
38,0,14.652,0,61.15
39,0,10.188,0,62.87
40,0,15.565,0,63.45
41,0,6.954,0,66.48
42,0.00012207,7.223,0.00273438,66.82
43,0.00617886,9.324,0,67.24
44,0.0179501,1.047,0,67.27
45,0.0179071,4.430,0.102588,68.24
46,0.00106239,7.269,0.0174316,67.49
47,0,.783,0,67.57
48,0,.744,0,67.56
49,0,.653,0,67.64
50,0,5.169,0.000390625,69.02
51,0,7.483,0,69.98
52,0,4.832,0,73.49
53,0,6.882,0.0396973,74.14
54,0,7.548,0,75.28
55,0,9.104,0.0543945,73.85
56,0,6.757,0.0266602,73.81
57,0,6.244,0.00771484,73.87
58,0,7.873,0.014502,73.90
59,0,7.296,0.0143555,74.12
60,0,5.385,0.0118164,74.09
61,0,6.994,0.0149414,74.08
62,0,4.631,0.00473633,73.87
63,0,6.826,0.0148438,74.16
64,0,7.417,0.0166016,74.08
65,0,7.023,0.013916,74.22
66,0,6.603,0.00512695,74.28
67,0,7.506,0.00712891,74.53
68,0,7.310,0.0174805,74.25
69,0,8.268,0.0145508,74.40
70,0,3.597,0.00488281,74.26
71,0,7.395,0.0149414,74.43
72,0,6.375,0.014502,74.03
73,0,6.852,0.0146973,74.02
74,0,6.814,0.0146484,74.71
75,0,5.937,0.0930176,74.79
76,0.000177383,.775,0,74.84
77,0,.704,0,74.85
78,0,.565,0.0478027,74.88
79,0,.444,0,74.87
80,0.0150595,2.150,0.00244141,75.40
81,0,5.255,0.0292969,75.74
82,0,8.100,0,76.27
83,0,3.653,0,76.26
84,0,3.632,4.81221,76.28
85,0,4.917,6.452,76.44
86,0,4.232,0.118213,77.27
87,0.00163746,11.188,0.024707,77.80
88,0,4.963,8.1394,77.69
89,0,42.395,0.00395508,79.12
90,0,25.484,0.0109375,79.18
91,0.00163746,31.578,0.00581055,79.51
92,0,4.246,6.00566,79.21
93,0,3.519,0,79.22
94,0,3.590,0,79.21
95,0,4.433,6.00562,79.20
96,0.0161314,3.018,0.00595703,79.17
97,0,4.977,6.30601,79.16
98,0,3.746,0,79.17
99,0,3.571,0,79.17
100,0,3.354,5.3875,79.42
101,0.0150528,3.437,0.00947266,79.23
102,0,38.510,0.301709,79.28
103,0,40.522,0,79.29
104,0,55.078,0,79.44
105,0.00163746,6.917,0.0182617,79.33
106,0,5.738,6.6,79.28
107,0,3.248,0,79.27
108,0,3.601,0,79.24
109,0,3.569,1.875,79.25
110,0.000621796,19.627,2.7002,79.21
111,0.014432,5.638,0.00976562,79.30
112,0,3.840,6.80596,79.30
113,0,3.407,0,79.28
114,0,3.508,0,79.30
115,0,3.591,0,79.30
116,0.00163746,9.666,6.83857,79.39
117,0,53.430,0,79.41
118,0,57.313,0,79.42
119,0.0150537,13.871,0.0046875,79.87
120,0,49.817,0.00078125,79.44
121,0.0150023,3.690,0.00712891,79.51
122,0.00147343,4.888,0.012207,79.95
123,0,4.224,6.2,79.31
124,0,3.668,0,79.29
125,0,3.520,0.0399414,79.29
126,0,7.521,6.20728,79.29
127,0.00698662,3.614,0.00996094,79.26
128,0,40.766,0.0046875,79.35
129,0.0017004,24.670,0.0146484,79.86
130,0,5.241,4.9,79.46
131,5.72205e-05,3.437,0,79.45
132,0,3.487,4.90156,79.37
133,0,44.572,0.00600586,79.51
134,0,55.880,0,79.45
135,0,50.428,0.00981445,79.37
136,0.0145464,3.458,0.00551758,79.84
137,0,4.586,5.4,79.36
138,0,3.574,0,79.32
139,0,3.622,2.4375,79.29
140,0.00158024,7.138,0.0154297,79.54
141,0.00163746,7.009,0.0187988,79.43
142,0,54.228,0,79.45
143,0,57.137,0.0152344,79.47
144,0.00698662,24.635,0.00483398,79.37
145,0.00866127,5.425,0.00517578,80.09
146,0,3.871,6.1,79.43
147,0,3.431,0.00117188,79.44
148,0,3.432,0,79.43
149,0.000621796,7.488,0.015332,79.49
150,0.0150785,5.414,0.00473633,79.49
151,0,54.938,0.0015625,79.51
152,0,54.115,0,79.51
153,0.00163746,11.291,0.0144043,79.90
154,0,5.976,6.1,79.52
155,0,3.501,0,79.53
156,0,3.721,0,79.49
157,5.72205e-05,4.115,6.10518,79.86
158,0,4.747,6.1,79.49
159,0,3.365,0.0046875,79.50
160,0,3.459,0,79.50
161,0,3.444,6.10195,79.85
162,0.00163746,21.368,0.014502,79.77
163,0,53.378,0,79.79
164,0,52.719,0,79.68
165,0.0157518,4.320,0.0097168,80.01
166,0.000507355,5.753,0.00966797,79.94
167,0.015193,3.518,0.00639648,80.46
168,0,4.046,6.6,79.94
169,0,3.314,0,80.10
170,0,3.437,0,80.09
171,0,3.910,6.61445,80.36
172,0,48.752,0.0059082,80.13
173,0,53.970,0,80.16
174,0,42.714,0.0301758,76.70
175,0,7.445,0.214697,76.52
176,0,5.256,0.0942383,76.84
177,0,3.987,0,77.28
178,0.00168896,12.067,0.0299805,77.84
179,0,5.242,8.14995,78.75
180,0,7.235,0.0606934,78.89
181,0,17.901,0.0496094,79.45
182,0.000679016,3.328,0.00561523,79.43
183,0.0102997,6.300,0.0652832,80.19
184,0,6.218,0.0384766,80.61
185,0,4.423,0.00620117,81.20
186,0,6.583,0,80.57
187,0,3.465,0,80.55
188,0,3.841,0,80.56
189,0,4.151,0.00688477,80.75
190,0,4.149,6.1,80.66
191,0,3.435,0,80.70
192,0,3.582,0,80.72
193,0,6.008,6.10786,81.61
194,0,51.919,0,81.91
195,0.00163746,3.034,0.00532227,81.89
196,0.0156994,3.242,0.0109375,81.90
197,0.0157003,4.549,0.314648,81.98
198,0,45.532,0.00410156,82.05
199,0,26.256,0.00449219,82.29
200,0,4.937,5.8,82.19
201,0,3.498,0,82.21
202,0,3.541,0,82.21
203,0.00152302,4.048,5.8103,82.44
204,0,4.562,6.30454,82.32
205,0,3.388,0,82.36
206,0,3.394,0,82.38
207,5.72205e-05,3.910,6.30195,82.66
208,0.00163746,25.180,0.0135742,82.58
209,0,52.583,0,82.62
210,0.000507355,45.730,0.00488281,82.60
211,0.015193,4.437,0.00874023,82.95
212,0.00698662,3.796,0.0166504,82.80
213,0.00866222,34.084,0.0046875,82.96
214,0,54.451,0,83.02
215,0,39.795,0.00249023,83.38
216,0,11.676,1.21616,83.04
217,0,3.546,2.1125,83.09
218,0,3.526,0,83.09
219,0,3.661,0,83.12
220,0.00163746,4.744,6.51289,83.24
221,0.00163746,5.213,0.0557129,83.93
222,0,4.361,6.7,83.38
223,0,3.405,0,83.39
224,0,3.423,0,83.43
225,0.000621796,3.705,6.70688,83.44
226,0.015027,23.316,0.00429688,83.67
227,0,53.859,0,83.74
228,0,44.758,0.0043457,83.82
229,0.00703812,6.944,0.00766602,84.39
230,0.00866222,36.122,0.00380859,84.50
231,0,51.934,0,84.49
232,0.00152302,41.407,0.00942383,84.47
233,5.72205e-05,5.275,4.36758,84.37
234,0,3.558,0,84.36
235,0,3.565,0,84.34
236,0,3.492,3.9125,84.42
237,0.00158024,6.467,0.0174805,84.61
238,0,4.215,6.10469,84.37
239,0,3.506,0,84.38
240,0,3.408,0,84.38
241,0,4.011,6.11328,84.61
242,0,46.698,0.0046875,84.51
243,0,52.928,0,84.53
244,0.000507355,46.443,0.00390625,84.40
245,0.015192,2.033,0.03125,84.37
246,0,6.714,0.012207,84.58
247,0,4.708,0.00776367,84.58
248,8.58307e-05,7.225,0.0125488,84.81
249,0,5.011,0.00498047,84.35
250,0,6.144,0.00825195,84.33
251,0,3.886,0.00581055,84.38
252,0,6.888,0.0105469,84.29
253,0,7.313,0.014209,84.63
254,0,5.832,0.0115723,84.38
255,0.00163746,29.900,0.00908203,84.51
256,0,51.698,0,84.53
257,0,40.316,0.0109375,84.40
258,5.72205e-05,4.818,4.20522,84.44
259,0,3.558,0,84.42
260,0,4.329,4.20156,85.10
261,0.0154772,3.991,0.048291,84.38
262,0.00163746,17.378,0.0124023,84.23
263,0,53.465,0,84.25
264,0,51.574,0,84.36
265,0,5.333,0.0557129,84.36
266,0,4.482,0,84.35
267,0,3.504,0,84.34
268,0,3.405,0,84.37
269,0,4.125,0.0594238,84.41
