Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,1.233,0,32.20
2,0,1.127,0,32.09
3,0,1.587,0.00859375,31.94
4,0,.826,0,31.93
5,0,.824,0,31.93
6,0,.883,0,31.92
7,0,1.414,0,31.96
8,0,.766,0,31.96
9,0,.769,0,31.98
10,0,.914,0,32.00
11,0,1.112,0,32.01
12,0,1.477,0,32.01
13,0,1.215,0,32.04
14,0,.650,0,32.03
15,0,.761,0,32.04
16,0,.827,0,32.06
17,0,.892,0,32.08
18,0,1.058,0,32.08
19,0,.734,0,32.10
20,0,.733,0,32.13
21,0,1.189,0,32.16
22,0,.677,0.0348145,32.18
23,0,.681,0,32.18
24,0,.888,0,32.22
25,0,.709,0.00234375,32.23
26,0,1.207,0,32.26
27,0,.672,0,32.28
28,0,.705,0,32.27
29,0,.810,0.000390625,32.31
30,0,.802,0,32.38
31,0,.743,0,32.36
32,0,.589,0,32.37
33,0,.884,0.00390625,32.57
34,0,5.338,0.0758789,32.53
35,0,5.343,0.000390625,32.66
36,0,5.902,0,33.28
37,0,7.351,0.0473633,33.77
38,0,6.689,0.00424805,33.84
39,0,4.720,0.0034668,33.85
40,0,4.035,0,33.86
41,0,2.958,0,33.87
42,0,8.369,0.00351563,33.83
43,0,3.267,0,33.84
44,0,3.293,0,33.85
45,0,3.873,0,33.85
46,0,2.939,0,33.88
47,0,3.115,0.0925293,33.86
48,0,2.970,0,33.86
49,0,5.753,0.0498047,34.47
50,0,5.816,0.00839844,33.99
51,0,6.096,0.0121582,34.14
52,0,6.463,0.0100586,34.02
53,0,5.708,0.0081543,34.12
54,0,5.308,0.00405273,34.16
55,0,6.343,0.012207,34.05
56,0,6.166,0.0121582,34.18
57,0,7.191,0.0101074,34.13
58,0,6.504,0.00849609,34.13
59,0,7.385,0.028418,34.31
60,0,5.656,0.00649414,34.41
61,0,6.689,0.00654297,34.25
62,0,5.225,0.0519531,34.38
63,0,3.913,0.00424805,34.45
64,0,4.475,2.00229,34.53
65,0,3.554,2,34.32
66,0,5.211,6.00435,34.34
67,0,3.315,0,34.34
68,0,4.238,4.00156,34.36
69,0,4.891,6.7,34.39
70,0,3.350,0,34.35
71,0,3.458,0,34.35
72,0,3.388,0.0751465,34.34
73,0,3.963,7.2,34.30
74,0,3.459,0.0477539,34.79
75,0,10.504,0.00410156,34.64
76,0,9.304,0.0900391,34.66
77,0,4.651,0.0581055,34.70
78,0,5.126,0.035498,34.67
79,0,4.978,0.116943,34.74
80,0,5.132,0.0884277,34.68
81,0,3.298,0.0839355,34.80
82,0,5.717,0.0884277,34.70
83,0,4.354,0.0839355,34.80
84,0,4.468,0.163232,34.82
85,0,4.438,0.0851563,34.69
86,0,1.942,0.00375977,34.72
87,0,3.345,0.0808594,34.77
88,0,6.197,0.180078,35.15
89,0,15.994,0.00424805,35.23
90,0,31.388,0.00463867,35.14
91,0,41.542,0.00307617,35.17
92,0,42.680,0.00307617,35.30
93,0,63.010,0,35.35
94,0,63.816,0,35.37
95,0,18.076,0.0527832,35.44
96,0,2.121,0.0576172,35.46
97,0,6.835,0.00693359,35.60
98,0,5.316,0.00693359,35.60
99,0,3.173,0,35.62
100,0,2.869,0,35.62
101,0,4.844,0.0034668,35.63
102,0,3.317,0,35.64
103,0,4.232,0,35.77
104,0,3.024,0,35.75
105,0,3.703,0,35.76
106,0,2.919,0,35.77
107,0,3.021,0,35.76
108,0,7.349,0.00180664,35.75
109,0,3.678,0.00444336,35.94
110,0,7.323,0.00839844,35.80
111,0,5.965,0.0103516,35.96
112,0,6.342,0.00839844,35.98
113,0,6.573,0.0101074,35.96
114,0,7.942,0.00615234,35.89
115,0,8.284,0.003125,36.01
116,0,5.860,0.00839844,36.02
117,0,6.714,0.0112305,35.97
118,0,6.683,0.508838,35.90
119,0,5.505,2.50078,36.12
120,0,3.569,2.00405,36.08
121,0,3.082,2.02754,36.15
122,0,4.183,4,36.11
123,0,3.321,0,36.09
124,0,5.186,4.01128,36.49
125,0,6.348,8,36.12
126,0,3.305,0,36.09
127,0,3.204,0,36.08
128,0,3.103,0,36.05
129,0,4.878,8.03096,36.08
130,0,4.343,0.116943,36.24
131,0,3.638,0.0854004,36.18
132,0,4.296,0.132959,36.32
133,0,5.226,0.111621,36.48
134,0,3.284,0.082373,36.31
135,0,3.842,0.0849609,36.35
136,0,4.893,0.0961426,36.31
137,0,2.473,0.0808594,36.33
138,0,3.793,0.0592285,36.34
139,0,1.926,0.00664063,36.31
140,0,.675,0,36.31
141,0,.678,0,36.29
142,0,.501,0,36.29
143,0,1.171,0.0167969,36.32
144,0,4.270,0.117432,36.29
145,0,4.930,0.0903809,36.44
146,0,16.481,0.0431152,36.37
147,0,36.998,0.00332031,36.34
148,0,62.095,0,36.51
149,0,38.946,0.00332031,36.46
150,0,63.529,0,36.46
151,0,40.036,0.00166016,36.49
152,0,3.087,0.00205078,36.76
153,0,14.195,0.15752,35.11
154,0,5.555,0.0651367,35.06
155,0,5.810,0.00600586,35.00
156,0,4.122,0,34.96
157,0,3.185,0,34.95
158,0,3.161,0,34.98
159,0,6.577,0.00336914,34.94
160,0,3.648,0,34.93
161,0,3.997,0,34.95
162,0,3.213,0,34.94
163,0,2.971,0,34.96
164,0,3.126,0,34.93
165,0,3.308,0,34.93
166,0,3.693,0.0470215,35.16
167,0,4.910,0.00917969,35.17
168,0,7.074,0.0050293,35.15
169,0,6.381,0.102344,35.34
170,0,7.379,0.00834961,35.26
171,0,6.592,0.00756836,35.12
172,0,4.313,0.00458984,35.10
173,0,5.714,0.0109375,35.21
174,0,8.279,0.00419922,35.31
175,0,5.560,0.0513184,35.31
176,0,5.460,0.0115723,35.44
177,0,3.527,0.00541992,35.48
178,0,4.811,0.0291504,35.43
179,0,4.699,2.00039,35.56
180,0,4.896,2.00444,35.46
181,0,4.472,2.00444,35.91
182,0,3.373,4,35.51
183,0,3.610,0,35.54
184,0,5.316,2.23022,36.39
185,0,5.372,8,35.64
186,0,3.007,0,35.66
187,0,2.849,0,35.68
188,0,3.025,0,35.70
189,0,6.097,8.05156,36.65
190,0,11.760,0.00239258,36.42
191,0,4.390,0.0131836,36.40
192,0,2.261,0,36.39
193,0,2.402,0.0834473,36.59
194,0,4.128,0.0928711,36.49
195,0,.914,0.0484375,36.54
196,0,5.584,0.0870605,36.78
197,0,4.016,0.0121094,36.68
198,0,4.384,0.133008,36.63
199,0,4.255,0.0849609,36.65
200,0,1.032,0.0539063,36.68
201,0,5.398,0.0850586,36.61
202,0,5.074,0.0975586,36.66
203,0,4.966,0.117334,36.77
204,0,5.589,0.268213,36.82
205,0,10.555,0.0043457,36.83
206,0,22.358,0.00932617,36.89
207,0,31.323,0.00522461,36.90
208,0,58.065,0,37.06
209,0,42.207,0.0034668,36.99
210,0,57.667,0,37.02
211,0,22.628,0.0519531,37.24
212,0,2.187,0,37.29
213,0,5.948,0.00449219,37.11
214,0,3.112,0,37.11
215,0,3.211,0,37.10
216,0,4.082,0.00341797,37.09
217,0,3.915,0,37.11
218,0,3.154,0,37.12
219,0,3.026,0,37.10
220,0,2.956,0,37.10
221,0,3.111,0,37.12
222,0,3.888,0,37.11
223,0,4.818,0.00375977,37.10
224,0,6.435,0.00888672,37.26
225,0,5.966,0.00942383,37.23
226,0,9.231,0.0059082,37.10
227,0,5.853,0.0101074,37.22
228,0,3.827,0.00429688,37.06
229,0,5.495,0.0114746,37.21
230,0,5.773,0.00942383,37.12
231,0,7.398,0.00961914,37.19
232,0,5.608,0.00844727,37.26
233,0,5.612,1.00752,37.29
234,0,4.347,2.00396,37.21
235,0,3.397,2,37.29
236,0,5.266,6.00771,37.31
237,0,3.162,0,37.30
238,0,3.717,4.00156,37.56
239,0,5.925,8,37.33
240,0,3.558,0.00507813,37.34
241,0,3.096,0,37.31
242,0,3.011,0,37.31
243,0,4.379,8.03389,37.30
244,0,3.963,0.150635,37.31
245,0,5.240,0.0847168,37.29
246,0,1.765,0.00385742,37.31
247,0,.561,0,37.33
248,0,.531,0.00117188,37.33
249,0,.564,0,37.35
250,0,3.402,0.00336914,37.32
251,0,.594,0,37.33
252,0,.650,0,37.32
253,0,.587,0,37.31
254,0,.806,0,37.33
255,0,4.008,0.161719,37.30
256,0,3.145,0.0857422,37.36
257,0,4.421,0.0901855,37.35
258,0,5.669,0.00385742,37.36
259,0,5.154,0.0601074,37.43
260,0,2.647,0.0879395,37.34
261,0,4.314,0.126025,37.33
262,0,4.745,0.11167,37.51
263,0,33.400,0.00327148,37.34
264,0,41.034,0.00327148,37.38
265,0,38.268,0.00327148,37.45
266,0,61.090,0,37.47
267,0,58.149,0.0296875,37.33
268,0,2.942,0.0118652,37.33
269,0,5.400,0.00385742,37.35
270,0,3.221,0,37.36
271,0,2.917,0,37.35
272,0,3.528,0.00546875,37.37
273,0,3.674,0,37.39
274,0,2.993,0,37.37
275,0,3.203,0,37.37
276,0,2.915,0.00390625,37.37
277,0,3.458,0,37.38
278,0,3.303,0,37.35
279,0,5.426,0.0081543,37.50
280,0,5.726,0.0118652,37.51
281,0,5.683,0.0143066,37.38
282,0,6.240,0.00834961,37.39
283,0,5.759,0.0102051,37.50
284,0,5.502,0.0100586,37.38
285,0,6.744,0.00732422,37.34
286,0,5.935,0.010498,37.33
287,0,6.724,0.510205,37.37
288,0,4.077,1.50405,37.38
289,0,3.958,3.00039,37.35
290,0,4.511,2.00444,37.79
291,0,3.822,4,37.37
292,0,4.112,0.0359863,37.41
293,0,4.261,3.73008,38.24
294,0,3.055,8,37.39
295,0,3.190,0,37.37
296,0,3.649,0,37.37
297,0,2.885,1.2375,37.36
298,0,2.602,2.64395,37.34
299,0,2.653,0.0830566,37.35
300,0,3.475,0.161719,37.36
301,0,3.966,0.153125,37.37
302,0,3.694,0.178516,37.40
303,0,2.703,0.0324219,37.39
304,0,.903,0.0652344,37.43
305,0,3.808,0.0865234,37.42
306,0,4.000,0.0657715,37.49
307,0,4.081,0.0847168,37.47
308,0,4.346,0.109326,37.51
309,0,6.058,0.117822,37.47
310,0,21.242,0.00639648,37.59
311,0,34.977,0.00332031,37.51
312,0,62.468,0,37.52
313,0,39.338,0.00327148,37.63
314,0,58.630,0.0015625,37.65
315,0,37.731,0.00366211,37.52
