Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,10.006,0,26.10
2,0,1.821,0.00273438,26.27
3,0,1.442,0,26.23
4,0,1.346,0.00859375,26.10
5,0,.876,0,26.09
6,0,.793,0,26.09
7,0,.797,0,26.09
8,0,.764,0,26.07
9,0,.856,0,26.05
10,0,.733,0,26.07
11,0,.972,0,26.06
12,0,.876,0,26.09
13,0,1.563,0.0683594,26.15
14,0,.648,0,26.17
15,0,.817,0,26.21
16,0,.853,0,26.23
17,0,.645,0,26.20
18,0,.682,0,26.19
19,0,.792,0,26.17
20,0,.794,0,26.18
21,0,.594,0,26.21
22,0,.652,0,26.21
23,0,.563,0,26.24
24,0,1.038,0,26.27
25,0,.568,0.00195312,26.28
26,0,.891,0,26.33
27,0,.681,0,26.33
28,0,.596,0,26.35
29,0,.648,0.0015625,26.35
30,0,.803,0,26.36
31,0,.591,0,26.39
32,0,.652,0,26.41
33,0,.624,0,26.42
34,0,4.379,0.0705078,26.88
35,0,4.041,0.00522461,26.67
36,0,5.364,0,26.74
37,0,5.343,0,27.12
38,0,7.050,0.134082,28.07
39,0,7.273,0.00302734,28.24
40,0,6.352,0.00375977,28.25
41,0,5.196,0.00380859,28.21
42,0,3.394,0,28.20
43,0,3.102,0,28.21
44,0,3.745,0,28.38
45,0,3.545,0.00185547,28.21
46,0,3.497,0,28.21
47,0,2.947,0,28.23
48,0,3.401,0,28.22
49,0,3.161,0,28.24
50,0,3.073,0,28.22
51,0,3.318,0,28.20
52,0,3.183,0,28.21
53,0,4.009,0,28.35
54,0,4.795,0.0493164,28.47
55,0,7.507,0.00683594,28.50
56,0,6.190,0.0106445,28.34
57,0,4.829,0.00620117,28.52
58,0,6.905,0.00654297,28.33
59,0,6.687,0.0104004,28.52
60,0,6.240,0.0106445,28.51
61,0,7.312,0.00878906,28.37
62,0,7.766,0.0104004,28.64
63,0,6.652,0.0555176,28.45
64,0,6.463,0.0120605,28.49
65,0,5.361,0.0508301,28.50
66,0,6.301,0.00722656,28.49
67,0,6.882,0.00810547,28.71
68,0,4.689,0.0223145,28.65
69,0,4.777,1.0041,28.63
70,0,4.849,3.00391,28.62
71,0,3.421,0,28.60
72,0,4.769,2.0043,29.05
73,0,3.081,3.3125,28.61
74,0,3.125,0,28.61
