Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.000114441,.887,0,25.50
2,0,.946,0,25.49
3,0.000101089,1.287,0,25.47
4,0,1.222,0,25.48
5,0.000114441,1.040,0,25.42
6,0,.861,0,25.42
7,0.000101089,1.098,0,25.47
8,9.34601e-05,1.511,0,25.51
9,0.000114441,.567,0,25.50
10,0,.619,0,25.50
11,0.000150681,1.219,0.0818359,25.50
12,9.34601e-05,.560,0,25.49
13,0,.590,0,25.48
14,0,.621,0,25.50
15,0.000101089,1.013,0,25.52
16,9.34601e-05,.744,0,25.48
17,0,.415,0,25.48
18,0.000114441,.475,0,25.47
19,9.34601e-05,1.155,0,25.48
20,9.34601e-05,.707,0,25.47
21,0,.892,0,25.45
22,0.00101089,.681,0,25.46
23,0,.986,0,25.48
24,0.000202179,.596,0,25.48
25,0,.503,0.00195312,25.46
26,0.000114441,.534,0,25.47
27,0,.984,0,25.47
28,0.000202179,.506,0,25.47
29,0,.594,0.000390625,25.46
30,5.72205e-05,.560,0,25.46
31,5.72205e-05,1.011,0,25.46
32,0.000295639,.560,0,25.45
33,0,.477,0,25.47
34,0.000566483,2.466,0.000390625,26.46
35,0.000286102,4.498,0,26.87
36,0.00019455,35.323,0.0202637,28.75
37,0.000509262,6.452,0,28.79
38,0.00113869,5.535,0.0105957,27.90
39,0.000400543,13.392,0.00546875,29.70
40,5.72205e-05,4.350,0,30.45
41,0.00030899,11.247,0.141357,30.84
42,0.0195312,3.250,0.0109375,31.03
43,0.0346432,7.310,3.82847,31.12
44,0.12995,6.628,0.00849609,31.15
45,0.263793,3.766,0.0539063,31.27
46,0.00218582,3.823,0.0387207,31.13
47,0.070734,1.310,4.2793,31.12
48,0.087862,.683,0,31.12
49,0.105268,.681,0,31.10
50,0.0977306,.715,0,31.10
51,0.147831,.976,0,31.18
52,0.184189,3.049,0.05625,31.07
53,0.214547,4.013,0.118066,31.04
54,2.11495,3.032,0.101562,31.61
55,5.72205e-05,3.716,0.184375,31.75
56,0.00180626,4.869,0.206055,31.11
57,0.101301,.663,0,31.12
58,3.13519,2.063,0,31.75
59,0.000165939,3.352,0.382422,33.98
60,0,3.397,0.382812,33.02
61,0.000101089,3.469,0.595801,33.96
62,0,3.466,0.380859,32.68
63,5.72205e-05,3.768,0,32.84
64,5.72205e-05,3.414,0.235156,33.29
65,0.000202179,3.203,0,33.91
66,0,3.528,0.610938,32.96
67,5.72205e-05,3.666,0.780078,31.13
68,0.0151958,2.774,0.00507813,31.04
69,1.91227,1.070,0,31.04
70,1.50606,3.287,0,34.33
71,0,3.286,0,35.84
72,0.00021553,3.859,0.592187,38.19
73,0,3.295,0,38.19
74,0.00219917,3.704,0.591406,35.87
75,0.000238419,3.750,0,35.99
76,0.00330734,3.791,0,38.16
77,0,3.342,0.591406,35.81
78,0.00393486,4.233,0,35.79
79,0,3.358,0.598047,34.05
80,0.0025959,3.694,0,34.88
81,0.00215912,3.453,0,35.69
82,0.00334167,4.591,0,35.74
83,0.000370026,3.327,0.535938,36.29
84,0.000101089,3.394,0,37.93
85,0.00015831,3.535,0,38.15
86,0.000463486,4.121,0,38.17
87,0,3.286,1.31982,38.17
88,0.000101089,3.459,0,35.78
89,0.000114441,3.473,0.758203,33.84
90,0.000616074,3.971,0.560547,30.94
91,0.000555038,1.603,0.00268555,30.77
92,0.000202179,.503,0,30.76
93,5.72205e-05,.503,0,30.74
94,0,.976,0,30.74
95,0.00015831,.475,0,30.74
96,9.34601e-05,.709,0,30.76
97,5.72205e-05,.629,0.000390625,30.76
98,0,.986,0,30.76
99,0.00015831,.780,0,30.74
100,0,.480,0,30.74
101,0.000150681,.712,0,30.72
102,0.00246239,1.247,0,30.74
103,0,.595,0,30.73
104,0.000101089,.564,0,30.73
105,0,.534,0,30.71
106,0.000114441,1.400,0.00078125,30.74
107,0.0112209,1.106,0,30.73
108,0.000165939,1.341,0,30.70
109,0.00609207,.950,0,30.70
110,0.00710297,1.377,0,30.72
111,0.0110703,.811,0,30.72
112,0.00483131,.617,0.0276855,30.70
113,0.000995636,.532,0,30.72
114,0.0169506,1.370,0.003125,30.73
115,0,.501,0,30.73
116,0.000413895,.502,0,30.76
117,0.000165939,.621,0,30.75
118,0.00015831,.975,0.000390625,30.73
119,0,.475,0,30.74
120,0.000101089,.592,0,30.75
121,5.72205e-05,.505,0,30.72
122,5.72205e-05,.918,0,30.74
123,5.72205e-05,.562,0,30.75
