Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,6.478,0,27.36
2,0,1.299,0.00273438,27.44
3,0,.956,0,27.47
4,0,.601,0,27.52
5,0,.753,0,27.50
6,0,.778,0,27.51
7,0,.696,0,27.50
8,0,.748,0,27.52
9,0,1.151,0.00585938,27.43
10,0,.844,0,27.44
11,0,.814,0,27.46
12,0,.751,0,27.47
13,0,.900,0,27.49
14,0,2.488,0.0614746,27.56
15,0,1.540,0,27.60
16,0,.607,0,27.61
17,0,.666,0,27.61
18,0,.639,0,27.62
19,0,.692,0,27.65
20,0,.598,0,27.63
21,0,1.086,0,27.63
22,0,.687,0,27.62
23,0,.664,0,27.60
24,0,.723,0,27.61
25,0,.634,0,27.62
26,0,.663,0.00195312,27.62
27,0,.603,0,27.62
28,0,1.093,0,27.60
29,0,.685,0,27.61
30,0,.576,0,27.62
31,0,.690,0.000390625,27.60
32,0,.600,0,27.61
33,0,.486,0,27.62
34,0,.727,0,27.65
35,0,.512,0,27.64
36,0,3.386,0,30.29
37,0,5.295,0,30.69
38,0,3.245,0,30.70
39,0,3.642,0,30.92
40,0,25.580,0.03125,32.00
41,0,4.244,0,33.76
42,0,3.157,0,33.77
43,0,18.705,0,36.43
44,0,3.683,0,36.47
45,0,4.422,0,36.77
46,0,15.300,0,38.78
47,0,3.215,0,38.82
48,0,10.972,0,38.84
49,0,3.746,0,40.19
50,0,6.418,0,40.28
51,0,6.248,0,40.28
52,0,8.197,0,40.32
53,0,6.971,0.0046875,40.58
54,0,3.078,0,40.55
55,0,6.192,0,40.75
56,0,10.588,0,40.86
57,0,4.089,0,40.87
58,0,6.981,0,41.23
59,0,3.557,0,41.27
60,0,15.078,0,41.85
61,0,3.928,0,42.08
62,0,5.284,0.0015625,42.08
63,0,6.126,0,42.11
64,0,5.169,0,42.13
65,0,5.667,0,42.10
66,0,8.682,0,42.12
67,0,6.828,0.00102539,42.12
68,0,3.427,0,42.29
69,0,9.219,0,42.72
70,0,3.547,0,42.74
71,0,6.246,0,42.89
72,0,4.483,0.0716797,36.17
73,0,4.189,0.00668945,35.99
74,0,3.893,0.000390625,35.95
75,0,17.679,0.0142578,36.95
76,0,5.421,0.00527344,36.85
77,0,4.176,0,37.52
78,0,3.700,0.117969,37.71
79,0,10.132,0.0247559,37.94
80,0,10.584,5.60352,38.87
81,0,4.282,0.851953,39.19
82,0,3.641,0,39.38
83,0,3.420,0.126758,39.61
84,0,10.178,0.0116699,40.00
85,0,4.623,0,40.41
86,0,3.481,0,40.79
87,0,1.202,0,40.83
88,0,1.188,0,40.91
89,0,1.032,0,41.32
90,0,6.922,5.82578,41.67
91,0,4.291,0.579688,42.02
92,0,3.704,0,42.29
93,0,10.744,0.572852,42.66
94,0,1.060,0.00273438,42.63
95,0,.576,0,42.67
96,0,1.001,0.0078125,42.70
97,0,4.820,7.10732,42.68
98,0,9.297,0.101465,43.13
99,0,14.481,0.187256,45.27
100,0,23.760,0.106299,45.04
101,0,16.318,0.12124,44.57
102,0,11.943,0,46.24
103,0,6.916,0.240088,46.56
104,0,9.466,0.0807129,47.49
105,0,18.137,6.80361,47.58
106,0,6.234,8.07446,47.63
107,0,12.858,0,49.14
108,0,7.029,0.08125,49.28
109,0,6.041,0.0859863,49.79
110,0,11.719,1.18862,49.98
111,0,4.220,14.2534,50.14
112,0,11.455,0.00644531,50.20
113,0,2.691,0.00708008,50.22
114,0,.601,0,50.20
115,0,2.135,0.0599121,50.70
116,0,4.249,0.00551758,50.30
117,0,6.207,0.0561035,50.65
118,0,5.059,0.00488281,50.73
119,0,3.875,0.452832,50.77
120,0,1.207,0.00214844,50.61
121,0,.629,0,50.59
122,0,2.272,0,50.72
123,0,2.661,0,50.70
124,0,.781,0,50.68
125,0,.759,0,50.68
126,0,.752,0,50.66
127,0,.728,0,50.65
128,0,1.588,0,51.20
129,0,8.033,0.0121094,51.80
130,0,15.157,0.0260254,51.76
131,0,6.617,0.0143066,51.35
132,0,1.366,0,51.35
133,0,19.390,0.0232422,51.46
134,0,11.424,0.0146973,51.64
135,0,4.630,0.00463867,51.53
136,0,8.997,0.0260254,51.90
137,0,19.240,0.187598,41.35
138,0,12.423,0.661182,41.32
139,0,4.662,0.266992,41.27
140,0,27.218,0.00390625,42.54
141,0,3.906,0,42.63
142,0,3.864,0.122217,42.87
143,0,10.174,0.0867676,43.23
144,0,.933,1.91328,43.21
145,0,5.504,5.31519,43.53
146,0,4.687,0.00297852,44.13
147,0,3.843,0,44.16
148,0,11.256,0.149072,44.42
149,0,3.664,0.00375977,44.85
150,0,5.006,0,45.25
151,0,3.196,0,45.47
152,0,.634,0,45.50
153,0,.760,0,45.53
154,0,.908,0,45.60
155,0,4.568,0,46.30
156,0,5.016,8.19761,46.28
157,0,4.013,0,46.92
158,0,9.014,0,47.08
159,0,15.993,0.13374,48.18
160,0,10.462,7.72485,48.98
161,0,19.263,0.0188477,49.14
162,0,6.499,0,50.11
163,0,6.858,0.276855,50.65
164,0,28.184,0.656055,51.42
165,0,6.565,14.0986,51.34
166,0,9.916,0.00317383,52.65
167,0,7.025,0.221338,52.91
168,0,5.558,0.517627,53.39
169,0,2.650,0.00976562,53.62
170,0,8.556,13.8866,53.70
171,0,7.926,1.575,53.70
172,0,3.129,0.00424805,53.77
173,0,7.745,0,54.47
174,0,3.481,0.00541992,54.14
175,0,.689,0,54.15
176,0,2.025,0.00463867,54.13
177,0,.664,0,54.12
178,0,.631,0,54.11
179,0,.575,0,54.09
180,0,.632,0,54.08
181,0,.633,0,54.11
182,0,.690,0,54.09
183,0,.603,0,54.09
184,0,.520,0,54.08
185,0,.516,0,54.07
186,0,.730,0,54.08
187,0,.774,0,54.09
188,0,.609,0,54.09
189,0,.576,0,54.07
190,0,.696,0,54.06
191,0,.549,0,54.08
192,0,.666,0,54.05
193,0,.628,0.00976562,54.05
194,0,.696,0,54.03
195,0,.695,0,54.03
196,0,.635,0,54.02
197,0,.632,0.00351563,54.01
198,0,.783,0.0214844,54.00
199,0,.639,0,54.01
200,0,.668,0,54.01
201,0,.669,0,54.00
202,0,1.186,0.003125,54.46
203,0,13.326,0.0253906,55.27
204,0,6.762,0.0154297,54.61
205,0,.757,0,54.62
206,0,8.702,0.0109863,55.24
207,0,3.025,0.00751953,54.85
208,0,7.663,0.0115723,54.65
209,0,4.744,0.00375977,54.96
210,0,2.772,0.00576172,54.70
211,0,1.734,0.00380859,54.70
212,0,.971,0,54.72
213,0,1.111,0,54.72
214,0,4.710,0,54.95
215,0,1.009,0,54.96
216,0,1.030,0,54.96
217,0,1.366,0,54.96
218,0,1.069,0,54.98
219,0,1.093,0,54.96
220,0,1.071,0,54.96
221,0,1.115,0,54.96
222,0,1.211,0,54.93
223,0,1.561,0.0702637,54.93
224,0,1.031,0,54.94
225,0,1.210,0,54.92
226,0,1.288,0,54.96
227,0,1.126,0.003125,54.95
228,0,1.091,0,54.95
229,0,1.119,0,54.92
230,0,1.090,0,54.91
231,0,1.447,0.00664063,54.89
232,0,1.038,0,54.89
233,0,1.050,0,54.89
234,0,1.171,0,54.85
235,0,1.046,0,54.86
236,0,1.118,0.00195312,54.85
237,0,4.141,0.00234375,55.01
238,0,18.650,0.0238281,55.51
239,0,8.184,0.015332,55.08
240,0,.977,0.000390625,55.08
241,0,14.351,0.0223633,55.59
242,0,8.764,0.0152344,55.11
243,0,5.074,0.00366211,55.40
244,0,19.635,0.126807,44.02
245,0,12.438,0.787939,43.90
246,0,4.521,0.253174,44.03
247,0,4.273,0,44.77
248,0,3.655,0.131592,44.95
249,0,9.016,3.44751,45.33
250,0,7.064,3.34063,46.14
251,0,4.025,0,46.52
252,0,3.637,0.143994,46.79
253,0,3.571,0.00307617,47.26
254,0,3.986,0,47.71
255,0,2.490,0,47.92
