Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,9.273,0.109814,31.64
2,0,5.367,0.00273438,31.95
3,0,1.245,0,31.96
4,0,1.535,0,31.96
5,0,1.190,0.00859375,31.78
6,0,.889,0,31.79
7,0,.794,0,31.78
8,0,.680,0,31.77
9,0,1.128,0,31.79
10,0,.764,0,31.80
11,0,.648,0,31.82
12,0,.854,0,31.83
13,0,1.925,0,31.87
14,0,1.193,0,31.87
15,0,1.291,0,31.90
16,0,1.093,0,31.97
17,0,.786,0,31.97
18,0,1.088,0,32.01
19,0,.796,0,31.99
20,0,.944,0,31.99
21,0,.707,0,31.99
22,0,.705,0,31.95
23,0,1.149,0,31.98
24,0,.560,0,31.98
25,0,.618,0,31.99
26,0,.616,0.0268555,31.98
27,0,1.692,0,32.02
28,0,.706,0,32.01
29,0,.592,0.000390625,32.01
30,0,.562,0,32.04
31,0,.529,0,32.07
32,0,1.188,0,32.11
33,0,1.069,0.0034668,32.31
34,0,4.817,0.0743652,32.16
35,0,4.995,0.00078125,32.38
36,0,5.987,0,32.80
37,0,12.511,0.0481934,33.35
38,0,6.691,0.00454102,33.52
39,0,3.568,0,33.52
40,0,3.509,0,33.52
41,0,3.786,0,33.52
42,0,4.638,0.00385742,33.51
43,0,3.220,0,33.30
44,0,3.151,0,33.33
45,0,3.206,0,33.30
46,0,4.174,0,33.32
47,0,3.168,0,33.29
48,0,2.916,0,33.33
49,0,5.740,0.0528809,33.57
50,0,6.145,0.00522461,33.53
51,0,7.460,0.0928711,33.43
52,0,6.323,0.0100586,33.64
53,0,7.215,0.00708008,33.63
54,0,6.480,0.00839844,33.57
55,0,7.240,0.0105957,33.69
56,0,9.300,0.00585938,33.78
57,0,7.418,0.024707,33.78
58,0,5.225,0.0043457,33.89
59,0,10.633,0.00683594,33.96
60,0,6.577,0.0524414,33.89
61,0,4.323,1,33.87
62,0,4.771,2.45493,33.88
63,0,4.073,3.96328,33.78
64,0,3.276,0,33.78
65,0,4.281,4.00156,33.76
66,0,4.743,8.02295,33.77
67,0,3.133,0,33.75
68,0,3.984,0,33.83
69,0,3.803,1.94297,33.84
70,0,6.285,1.64531,34.05
71,0,5.030,1.53555,34.01
72,0,6.878,0.0183594,34.13
73,0,4.457,0.0362793,34.14
74,0,2.421,0.00390625,34.20
75,0,.950,0,34.22
76,0,.563,0.0933594,34.24
77,0,.560,0,34.22
78,0,1.724,0,34.32
79,0,4.471,0.00541992,34.30
80,0,.504,0,34.28
81,0,.976,0,34.26
82,0,.558,0,34.27
83,0,.586,0,34.26
84,0,4.872,0.141016,34.38
85,0,4.294,0.0849121,34.28
86,0,.766,0,34.30
87,0,.674,0,34.31
88,0,.914,0,34.31
89,0,.593,0,34.28
90,0,.647,0,34.30
91,0,.707,0.219531,34.31
92,0,.588,0,34.32
93,0,1.153,0,34.38
94,0,.590,0,34.38
95,0,.703,0.00390625,34.39
96,0,.585,0,34.39
97,0,.559,0,34.40
98,0,2.484,0.00532227,34.63
99,0,.623,0,34.46
100,0,.644,0.0380859,34.43
101,0,.590,0,34.44
102,0,1.066,0,34.47
103,0,.705,0,34.47
104,0,.913,0,34.46
105,0,.615,0,34.47
106,0,.671,0,34.48
107,0,4.604,0.0119141,34.49
108,0,3.963,0.132764,34.48
109,0,4.564,0.00717773,34.81
110,0,5.514,0.0364258,34.90
111,0,4.548,0.0097168,34.99
112,0,.619,0,34.98
113,0,.588,0,34.98
114,0,.706,0.217188,34.97
115,0,.944,0,35.03
116,0,1.093,0,35.02
117,0,.501,0,35.02
118,0,.589,0,35.03
119,0,.530,0,35.15
120,0,5.336,0.0925293,35.29
121,0,7.028,0.0451172,35.20
122,0,28.397,0.00463867,35.26
123,0,32.428,0.00366211,35.32
124,0,33.990,0,35.33
125,0,36.315,0.0606445,35.43
126,0,34.285,0,35.43
127,0,29.689,0,35.53
128,0,5.712,0.0554688,35.51
129,0,2.326,0.00449219,35.61
130,0,5.938,0.00576172,35.62
131,0,3.312,0.00175781,35.48
132,0,3.076,0,35.48
133,0,4.074,0.00361328,35.47
134,0,3.017,0,35.48
135,0,3.672,0,35.47
136,0,2.863,0,35.48
137,0,3.078,0,35.47
138,0,3.322,0,35.45
139,0,3.575,0,35.47
140,0,4.925,0.00454102,35.56
141,0,6.790,0.00708008,35.56
142,0,5.040,0.00625,35.46
143,0,6.820,0.00854492,35.61
144,0,6.495,0.0120605,35.61
145,0,6.232,0.0103027,35.54
146,0,6.467,0.0106445,35.73
147,0,6.107,0.00883789,35.76
148,0,6.990,0.00986328,35.76
149,0,7.519,0.566162,35.78
150,0,4.907,2.50146,35.78
151,0,4.053,2.00342,35.87
152,0,4.335,2.0062,36.33
153,0,3.926,2.8875,35.93
154,0,3.162,0,35.94
155,0,4.209,3.98018,36.73
156,0,3.377,6.82383,35.91
157,0,2.738,0,35.91
158,0,3.984,4.92422,35.94
159,0,2.872,0.403125,35.94
160,0,4.855,0.087207,35.94
161,0,2.222,0.0808594,36.10
162,0,4.499,0.126758,36.00
163,0,5.482,0.111523,36.14
164,0,1.471,1.87959,35.98
165,0,.532,0,35.97
166,0,.560,0,35.95
167,0,.527,0,35.97
168,0,.887,0,35.97
169,0,1.905,0.0808594,36.14
170,0,4.420,0.0946777,36.01
171,0,4.179,0.14082,35.94
172,0,2.589,0.00371094,35.97
173,0,.558,0,35.96
174,0,.589,0.0407227,35.96
175,0,.652,0,35.97
176,0,2.702,0.0808594,35.97
177,0,4.519,0.177344,36.00
178,0,2.761,0.0317383,35.96
179,0,.559,0,35.95
180,0,.503,0,35.96
181,0,.767,0,35.97
182,0,.710,0,35.97
183,0,.532,0,35.98
184,0,.549,0.00117188,35.98
185,0,.675,0,35.97
186,0,3.060,0.00170898,36.00
187,0,.561,0,35.98
188,0,.561,0.00273438,35.96
189,0,.840,0,36.03
190,0,.528,0,36.04
191,0,3.795,0.084668,36.06
192,0,.504,0.0015625,36.06
193,0,.473,0,36.05
194,0,.534,0,36.05
195,0,.532,0,36.07
196,0,4.307,0.155908,36.22
197,0,1.045,0.0015625,36.10
198,0,9.237,0.0849609,36.25
199,0,5.740,0.0307129,36.31
200,0,22.298,0.0455078,36.40
201,0,28.847,0,36.54
202,0,7.671,0.00234375,36.59
203,0,30.759,0.00166016,36.45
204,0,39.126,0,36.52
205,0,34.360,0,36.55
206,0,29.356,0,36.54
207,0,2.492,0.00351563,36.47
208,0,17.845,0.0614746,34.87
209,0,8.185,0.181055,34.64
210,0,6.026,0.0475098,34.63
211,0,3.812,0.00415039,34.76
212,0,6.263,0.00673828,34.66
213,0,3.418,0,34.66
214,0,3.982,0,34.63
215,0,3.643,0,34.64
216,0,3.096,0,34.67
217,0,3.619,0,34.71
218,0,3.589,0,34.73
219,0,3.961,0,34.77
220,0,2.864,0,34.79
221,0,2.920,0,34.80
222,0,4.910,0.0491699,35.38
223,0,4.946,0.00859375,35.33
224,0,6.582,0.108984,35.41
225,0,7.331,0.00839844,35.52
226,0,6.052,0.011084,35.47
227,0,6.454,0.00800781,35.74
228,0,6.947,0.0065918,35.60
229,0,6.028,0.00800781,35.69
230,0,6.125,0.00800781,35.75
231,0,5.523,0.0522949,35.83
