Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.913,0,29.61
2,0,.596,0,29.61
3,0,.568,0,29.61
4,0,.766,0,29.62
5,0,.661,0,29.62
6,0,.564,0,29.61
7,0,.713,0,29.58
8,0,.557,0,29.58
9,0,.798,0,29.59
10,0,.618,0,29.58
11,0,1.001,0,29.58
12,0,.644,0,29.58
13,0,.589,0.0660645,29.60
14,0,.506,0,29.57
15,0,.673,0,29.59
16,0,.473,0,29.58
17,0,.590,0,29.59
18,0,.646,0,29.56
19,0,.620,0,29.56
20,0,.562,0,29.55
21,0,.562,0,29.58
22,0,.557,0,29.59
23,0,.587,0,29.54
24,0,.522,0,29.54
25,0,.614,0.00195312,29.55
26,0,.560,0,29.55
27,0,.647,0,29.58
28,0,.621,0,29.60
29,0,.472,0.000390625,29.59
30,0,.503,0,29.57
31,0,.562,0,29.58
32,0,.586,0,29.56
33,0,.587,0,29.72
34,0,4.566,0.0709473,29.80
35,0,4.453,0.00336914,29.79
36,0,5.884,0,29.77
37,0,7.244,0.0447754,30.24
38,0,7.071,0.0745117,30.50
39,0,4.677,0.00322266,30.31
40,0,2.941,0,30.20
41,0,3.004,0,30.23
42,0,6.576,0.00327148,30.23
43,0,3.190,0,30.21
44,0,3.086,0,30.23
45,0,2.825,0,30.22
46,0,2.852,0,30.23
47,0,2.977,0,30.23
48,0,2.801,0,30.22
49,0,4.436,0.0207031,30.46
50,0,5.425,0.0074707,30.57
51,0,6.455,0.00786133,30.61
52,0,7.311,0.00952148,30.57
53,0,6.983,0.00932617,30.59
54,0,6.175,0.00791016,30.73
55,0,6.539,0.00932617,30.72
56,0,6.183,0.00791016,30.64
57,0,7.109,0.00791016,30.72
58,0,6.982,0.0513184,31.15
59,0,5.500,0.00898438,30.82
60,0,6.121,0.00966797,30.85
61,0,5.672,0.0513672,30.96
62,0,4.807,1.00444,30.97
63,0,4.882,3.05957,30.97
64,0,3.939,2.00078,31.06
65,0,3.953,4.00386,30.87
66,0,3.337,0,30.86
67,0,4.222,4.00537,31.21
68,0,6.566,8.0168,30.87
69,0,3.341,0,30.88
70,0,3.177,0,30.91
71,0,3.807,6.47227,30.87
72,0,5.387,1.55723,31.06
73,0,10.233,0.00429688,31.20
74,0,4.837,0.0808594,31.29
75,0,4.414,0.0911133,31.39
76,0,4.673,0.0568359,31.28
77,0,5.786,0.103125,31.47
78,0,4.636,0.166016,31.40
79,0,5.809,0.0875977,31.27
80,0,4.169,0.152148,31.29
81,0,5.813,0.0894043,31.30
82,0,4.740,0.149756,31.30
83,0,4.822,0.147949,31.47
84,0,5.428,0.273047,31.63
85,0,16.999,0.00673828,31.69
86,0,33.387,0.00371094,31.59
87,0,42.778,0,31.61
88,0,32.298,0.0713867,31.69
89,0,41.826,0,31.70
90,0,28.601,0,31.68
91,0,24.494,0.048291,31.94
92,0,2.297,0.00239258,31.78
93,0,.536,0,31.79
94,0,5.900,0.00610352,31.80
95,0,5.164,0.0134277,31.81
96,0,3.555,0,31.80
97,0,3.400,0,31.78
98,0,3.980,0,31.70
99,0,3.337,0.00429688,31.71
100,0,3.448,0,31.72
101,0,3.470,0,31.76
102,0,3.078,0,31.79
103,0,3.200,0,31.77
104,0,3.154,0.00351563,31.79
105,0,7.961,0.00610352,31.77
106,0,5.021,0.00581055,31.77
107,0,7.771,0.00795898,31.90
108,0,6.594,0.0118164,32.10
109,0,8.187,0.0465332,32.43
110,0,5.862,0.0104004,32.01
111,0,6.524,0.00805664,32.05
112,0,6.331,0.0606445,31.97
113,0,6.199,0.0172363,32.18
114,0,6.302,0.00917969,32.01
115,0,6.329,0.00517578,32.02
116,0,5.838,1.00762,32.12
117,0,4.252,2.1915,32.21
118,0,3.055,1.175,32.34
119,0,3.663,4.00361,32.19
120,0,2.970,0,32.22
121,0,3.879,4.00156,32.85
122,0,5.160,7.98984,32.43
123,0,3.213,0,32.44
124,0,3.015,0.402344,32.44
125,0,3.335,3.84023,32.44
126,0,4.295,0.361475,32.43
127,0,5.889,0.150049,32.50
128,0,4.770,0.161719,32.69
129,0,4.743,0.139941,32.59
130,0,5.013,0.0882324,32.59
131,0,4.601,0.148584,32.62
132,0,4.504,0.165381,32.65
133,0,6.868,0.084668,32.84
134,0,6.163,0.0845703,32.90
135,0,5.202,0.0967773,32.81
136,0,5.067,0.132617,32.95
137,0,10.400,0.130127,33.09
138,0,41.906,0,32.98
139,0,16.886,0.003125,33.03
140,0,33.686,0,33.07
141,0,35.962,0.003125,33.24
142,0,36.592,0,33.25
143,0,36.326,0,33.24
