Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,7.740,0.00546875,27.29
2,0,9.332,0,28.32
3,0,4.665,0.0954102,29.01
4,0,7.960,0.00805664,28.62
5,0,.830,0,28.66
6,0,1.147,0,28.67
7,0,.802,0,28.62
8,0,.974,0,28.61
9,0,1.015,0.00859375,28.45
10,0,.797,0,28.42
11,0,1.211,0,28.39
12,0,1.555,0,28.41
13,0,.880,0.098877,28.40
14,0,1.304,0,28.45
15,0,.677,0,28.45
16,0,.650,0,28.46
17,0,.824,0,28.41
18,0,.618,0,28.41
19,0,.591,0,28.40
20,0,.526,0,28.41
21,0,.733,0,28.40
22,0,.832,0,28.41
23,0,.533,0,28.41
24,0,.525,0,28.40
25,0,.737,0,28.41
26,0,.589,0,28.42
27,0,.775,0,28.40
28,0,.653,0.00273438,28.42
29,0,.558,0,28.41
30,0,.471,0,28.42
31,0,.648,0,28.43
32,0,.643,0.00234375,28.42
33,0,.737,0,28.42
34,0,3.922,0.0705566,28.67
35,0,3.844,0.00532227,28.61
36,0,5.623,0,28.63
37,0,5.461,0,28.65
38,0,6.405,0.109033,28.75
39,0,7.024,0.00405273,28.99
40,0,5.114,0.00649414,29.04
41,0,3.175,0,29.04
42,0,3.151,0,29.04
43,0,3.002,0,29.16
44,0,4.204,0.00327148,29.05
45,0,3.607,0,29.04
46,0,3.330,0,29.03
47,0,3.038,0,29.05
48,0,3.120,0,29.07
49,0,3.030,0,29.05
50,0,3.267,0,29.06
51,0,3.007,0,29.06
52,0,4.971,0.0479492,29.76
53,0,5.407,0.00874023,29.25
54,0,6.508,0.00942383,29.29
55,0,6.812,0.00961914,29.43
56,0,7.817,0.00761719,29.25
57,0,5.911,0.0110352,29.35
58,0,6.011,0.00942383,29.51
59,0,7.893,0.00800781,29.43
60,0,7.013,0.00942383,29.48
61,0,6.170,0.00761719,29.61
62,0,6.034,0.0536621,29.93
63,0,6.014,0.0636719,30.01
64,0,6.425,0.0197266,30.27
65,0,4.616,0.00483398,30.28
66,0,4.682,2.00425,30.30
67,0,5.649,2.00327,30.29
68,0,3.905,2.00078,30.44
69,0,3.909,4.00327,30.29
70,0,3.330,0,30.32
71,0,4.831,4.00483,30.50
72,0,10.413,4.64961,30.40
73,0,3.250,0.100391,30.38
74,0,3.356,0,30.37
75,0,3.858,3.90547,30.43
76,0,3.797,0,30.56
77,0,5.602,1.8835,30.83
78,0,10.404,0.00800781,31.29
79,0,4.801,0.0850098,31.34
80,0,5.048,0.089209,31.25
81,0,3.397,0.00424805,31.27
82,0,4.839,0.157227,31.26
83,0,5.071,0.106104,31.37
84,0,4.961,0.117529,31.47
85,0,4.868,0.163525,31.41
86,0,5.304,0.137891,31.34
87,0,5.420,0.141357,31.31
88,0,5.967,0.107422,31.34
89,0,5.130,0.11748,31.49
90,0,12.852,0.029541,31.67
91,0,20.156,0.00893555,31.59
92,0,39.642,0,31.62
93,0,34.142,0,31.60
94,0,28.159,0.00419922,31.69
95,0,30.500,0,31.71
96,0,35.123,0.00214844,31.82
97,0,4.539,0.0117676,31.80
98,0,5.074,0.00874023,31.91
99,0,5.811,0.00390625,31.78
100,0,4.730,0.00390625,31.83
101,0,3.521,0,31.82
102,0,3.230,0,31.80
103,0,4.025,0,31.80
104,0,3.165,0,31.78
105,0,3.050,0,31.76
106,0,3.394,0,31.78
107,0,2.904,0,31.79
108,0,3.072,0,31.80
109,0,3.305,0,31.76
110,0,5.122,0.00439453,31.92
111,0,6.089,0.0112305,31.83
112,0,6.898,0.00878906,32.07
113,0,11.175,0.0709473,32.16
114,0,6.539,0.00917969,31.97
115,0,4.609,0.00878906,31.99
116,0,3.436,0.00683594,32.02
117,0,1.476,0.00205078,31.90
118,0,1.069,0.00239258,32.05
119,0,4.004,0.00644531,31.97
