Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.0116882,3.239,0,24.76
2,0.00227547,1.495,0,24.73
3,0.00336266,1.881,0,24.72
4,0.000114441,.894,0,24.68
5,0.00123405,1.470,0,24.76
6,0,.708,0,24.75
7,0.00289536,1.459,0,24.75
8,5.72205e-05,.591,0,24.75
9,0.000455856,.569,0,24.70
10,0,.562,0,24.71
11,0.000101089,1.166,0,24.68
12,5.72205e-05,.592,0,24.67
13,0,.562,0,24.66
14,0.00015831,.655,0,24.68
15,0.000101089,1.021,0,24.69
16,5.72205e-05,.422,0,24.68
17,0,.711,0,24.68
18,0.00015831,.444,0.0492188,24.67
19,0,1.450,0,24.72
20,9.34601e-05,.419,0,24.71
21,0,.476,0,24.71
22,0.00015831,.473,0,24.70
23,0,1.064,0,24.73
24,9.34601e-05,.561,0,24.71
25,5.72205e-05,.653,0.00195312,24.70
26,0.000259399,.529,0,24.70
27,0,.910,0,24.71
28,9.34601e-05,.505,0,24.71
29,5.72205e-05,.533,0.003125,24.69
30,0,.475,0,24.71
31,0.00019455,.835,0,24.72
32,9.34601e-05,.503,0,24.72
33,5.72205e-05,.650,0,24.71
34,0.000688553,2.004,0.000390625,24.88
35,0.000457764,8.924,0,26.11
36,9.34601e-05,14.672,0,27.71
37,0.000667572,6.261,0,27.77
38,0.000858307,10.289,0,29.50
39,0.000795364,6.798,0.0499512,29.71
40,5.72205e-05,4.399,0,30.41
41,0.000272751,11.826,0.142725,30.83
42,0.0205383,3.377,0.0179688,30.93
43,0.164764,5.128,2.05381,31.07
44,0.262792,3.120,0.0619629,31.08
45,0.527689,2.899,0.0312012,31.06
46,0.00272369,3.759,0.0374023,30.93
47,0.0791416,1.304,5.25,30.91
48,0.0877476,.765,0,30.88
49,0.110954,.738,0,30.88
50,0.141636,.954,0,30.90
51,0.0909338,2.312,0.0828125,30.88
52,0.0144825,1.959,0.0321289,30.91
53,1.5652,.830,0,30.91
54,0.622439,3.672,0.151563,31.57
55,0.00015831,3.320,0.0835938,31.70
56,0.00196838,4.627,0.207031,30.97
57,0.105904,.713,0,30.98
58,2.99399,1.961,0,31.93
59,5.72205e-05,3.132,0.382422,33.86
60,0.000101089,3.143,0.382812,32.88
61,0.000282288,3.098,0.372656,33.84
62,5.72205e-05,3.602,0.753125,32.08
63,0,3.044,0,32.87
64,0.000101089,3.242,0.235938,33.50
65,9.34601e-05,3.024,0,33.81
66,5.72205e-05,3.996,0,32.83
67,0.00164795,4.462,0.783057,31.04
68,0.0451794,1.158,0,30.90
69,1.86807,.857,0,30.91
70,1.8459,2.288,0,31.94
71,0,3.503,0,35.75
72,0.00015831,3.319,0.0898438,35.73
73,0,3.351,0,38.09
74,5.72205e-05,4.054,0.591406,35.74
75,0,3.178,0,35.73
76,0.000259399,3.399,0.648828,38.07
77,0,3.409,0.591406,38.07
78,9.34601e-05,4.032,0,35.70
79,0,3.194,0.598047,33.66
80,0.000207901,3.475,0.207813,34.44
81,0,3.476,0,35.24
82,0.00019455,4.086,0,35.72
83,5.72205e-05,3.262,0,35.71
84,0.00015831,3.440,0.535938,37.04
85,0,3.390,0,38.05
86,9.34601e-05,4.054,0,38.07
87,5.72205e-05,3.440,1.31953,38.06
88,0,3.589,0,35.66
89,0.00015831,3.315,0.003125,35.66
90,9.34601e-05,3.978,0.755078,33.89
91,0.00108719,3.345,0.563623,30.68
92,0,.446,0,30.66
93,0.00025177,.536,0.022168,30.68
94,9.34601e-05,.925,0,30.68
95,5.72205e-05,.652,0,30.68
96,0,.532,0,30.67
97,0.00015831,.771,0.40625,30.66
98,0,1.271,0,30.68
99,0.000150681,.628,0,30.66
100,0,.532,0,30.65
101,0.00025177,.447,0.000390625,30.64
102,0,.988,0,30.65
103,9.34601e-05,.592,0,30.64
104,5.72205e-05,.747,0,30.63
105,0.00015831,.657,0,30.63
106,0,1.007,0,30.62
107,9.34601e-05,1.068,0,30.67
108,5.72205e-05,.651,0,30.66
109,0,.492,0,30.66
110,0,.893,0,30.68
111,9.34601e-05,.477,0,30.67
112,0.000541687,.497,0,30.70
113,0.000577927,.561,0,30.69
114,5.72205e-05,1.003,0.003125,30.70
115,0.000101089,.501,0,30.70
116,5.72205e-05,.560,0,30.68
117,0.000101089,.476,0,30.68
118,0.000648499,.988,0.00507813,30.70
119,0.000528336,.652,0,30.72
120,0.00342369,.768,0,30.72
121,0.00193596,.679,0,30.72
122,0.00178719,1.166,0,30.72
123,0.00332069,.641,0,30.74
124,0.00053215,.564,0,30.73
