Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,5.72205e-05,1.275,0,30.54
2,0,.981,0.0960938,30.50
3,0.00015831,2.258,0,30.54
4,0,.714,0,30.54
5,5.72205e-05,1.183,0,30.52
6,9.34601e-05,1.188,0,30.56
7,0.00015831,.537,0,30.57
8,0,.476,0,30.57
9,0,.712,0,30.54
10,0.000150681,.939,0,30.48
11,0.000101089,.590,0,30.49
12,5.72205e-05,.560,0,30.48
13,0,.502,0,30.47
14,0.000150681,1.303,0,30.52
15,0,.855,0,30.52
16,0.000200272,.532,0,30.52
17,0,.619,0,30.53
18,0.000150681,1.005,0,30.51
19,0,.616,0,30.50
20,0.00015831,.498,0,30.49
21,0,.445,0,30.50
22,0.000150681,.775,0,30.53
23,0,.504,0,30.52
24,0.00015831,.617,0,30.52
25,0,.558,0.00234375,30.51
26,0.000150681,1.008,0,30.50
27,0,.474,0.0319336,30.52
28,0.00015831,.528,0,30.51
29,0,.593,0.00117188,30.54
30,0.000150681,.772,0,30.52
31,0,.893,0,30.54
32,0.00015831,.651,0,30.53
33,0,.678,0,30.54
34,0.00108719,8.278,0.000390625,32.13
35,9.34601e-05,3.984,0,32.43
36,0.000329971,5.203,0,32.64
37,0.000286102,21.817,0,34.12
38,0.00102997,6.351,0.0490234,32.73
39,0.000522614,19.950,0.00366211,35.09
40,0.00019455,3.747,0.113672,35.47
41,0.00262833,11.485,0.028418,35.86
42,0.0520353,5.006,1.57319,35.89
43,0.145462,5.222,0.044873,35.95
44,0.3398,3.170,0.00629883,35.94
45,0.437305,2.898,0.00712891,35.92
46,0.976104,1.287,0,35.91
47,0.42202,3.229,6.52129,35.93
48,0.136236,.652,0,35.92
49,0.0968723,.622,0,35.89
50,0.096714,.681,0,35.90
51,0.0958519,.649,0,35.92
52,0.101042,1.348,0.340918,35.88
53,0.0915318,.682,0,35.87
54,0.096714,.740,0,35.86
55,0.101099,.732,0,35.86
56,0.0913734,1.069,0,35.89
57,0.0968723,.654,0,35.86
58,0.0903606,.743,0,35.85
59,0.0963478,.628,0,35.83
60,0.0968075,1.154,0,35.85
61,0.0958595,.571,0,35.84
62,0.0890255,.620,0,35.85
63,0.0903606,.764,0.00898438,35.83
64,0.0764866,3.220,0.00629883,35.83
65,1.05747,.862,0,35.83
66,0.981903,.865,0,35.81
67,0.279457,.836,0,35.81
68,0.0915241,.858,0.2125,35.80
69,0.0903606,.958,0,35.80
70,0.0962906,.884,0,35.79
71,0.096714,.685,0,35.78
72,0.0659399,2.306,0.00327148,36.04
73,0.612309,1.869,0,35.87
74,1.17776,.860,0,35.86
75,1.16964,.916,0,35.84
76,0.90844,2.139,0.308203,35.89
77,0.00382042,6.829,0.0366211,35.90
78,0.00360489,5.477,0.0090332,35.96
79,0.00414848,6.063,0.427246,35.90
80,0.00387001,6.448,0.0120605,36.12
81,0.000444412,5.512,0.0296875,35.02
82,0.000343323,4.782,0.155469,35.52
83,5.72205e-05,3.788,0,35.77
84,0.00118065,12.997,0.152393,36.29
85,0.00216103,5.755,0.0205078,36.22
86,0.00437737,5.825,1.66436,36.35
87,0.00514984,6.660,0.00756836,36.20
88,0.0027256,3.763,0.00756836,36.24
89,0.00259018,5.259,0.0101074,36.08
90,0.00406265,6.194,6.4667,36.06
91,0.00211716,4.183,0.0101074,36.10
92,0.0044136,6.167,0.0101074,36.23
93,0.00250435,7.196,0.00507813,36.40
94,0.00349045,5.773,0.0125488,36.24
95,0.00423431,5.818,0.0101074,36.40
96,0.00527191,5.744,0.00756836,36.24
97,0.00303268,7.238,0.0160156,35.41
98,0.000844955,5.175,0.154736,35.28
99,0.000228882,8.066,0,36.30
100,5.72205e-05,9.612,0.146094,36.63
101,0.00454903,7.537,0.329736,36.81
102,0.00307655,7.454,0.0125977,36.73
103,0.00463486,7.352,0.00756836,36.83
104,0.00432014,5.508,0.0101074,36.88
105,0.00392723,5.511,0.0125488,36.79
106,0.00507927,6.429,0.943652,36.67
107,0.00454903,5.381,0.042041,36.67
108,0.00411987,5.456,0.0125977,36.90
109,0.00484276,5.615,0.00756836,36.70
110,0.00539398,6.449,0.884912,36.84
111,0.00520706,5.876,3.4189,36.83
112,0.00563622,6.685,0.00761719,36.89
113,0.00315475,5.525,0.0050293,36.86
114,0.00410652,6.145,0.0151367,36.73
115,0.00323296,6.428,0.037207,35.80
116,0.000801086,4.346,0.157568,35.71
117,0.000207901,4.274,0,36.42
118,0.00015831,11.189,0.1521,36.85
119,0.00463486,6.196,0.0241699,36.95
120,0.00540733,6.315,0.00756836,36.97
121,0.00421333,5.345,0.00898438,36.66
122,0.000101089,.471,0,36.65
123,5.72205e-05,1.158,0,36.68
124,0,3.565,0,36.67
125,0.000150681,.557,0,36.66
126,0,.562,0.282813,36.65
127,5.72205e-05,1.123,0,36.67
128,0,.798,2.62031,36.67
129,0.000150681,.443,0,36.65
130,0,.590,0,36.67
131,0.00025177,.950,0,36.68
132,0,.501,0,36.67
133,5.72205e-05,.980,5.3832,36.67
134,9.34601e-05,.531,0,36.67
135,0.00025177,.590,0,36.70
136,0,.746,0,36.70
137,5.72205e-05,.505,0,36.71
138,9.34601e-05,.445,0,36.70
139,0.00025177,.530,0,36.68
140,0,.944,0,36.72
141,0,.619,0.00507813,36.69
142,9.34601e-05,.502,0,36.71
143,0.000101089,.501,0,36.71
144,0,1.009,0,36.68
145,0,.589,0,36.70
146,0.000150681,.591,0,36.69
147,0.00736237,1.471,0,36.81
148,0.0635948,2.127,0,36.80
149,0.00699615,.769,0.00664063,36.81
150,0.00661278,2.700,0,36.75
151,0.00225258,1.148,0.070459,36.72
152,0.0015583,.919,0,36.75
153,0,.710,0,36.76
