Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.000267029,.728,0,28.51
2,0.000101089,.751,0,28.50
3,0.00015831,.626,0,28.51
4,0.000101089,.727,0,28.52
5,0,.516,0,28.51
6,5.72205e-05,.510,0,28.51
7,5.72205e-05,.628,0,28.52
8,0.00015831,.756,0,28.52
9,0.000101089,.659,0,28.52
10,5.72205e-05,.697,0,28.52
11,0,.654,0,28.53
12,9.34601e-05,.578,0,28.54
13,0.000101089,.660,0,28.53
14,0,.513,0,28.51
15,5.72205e-05,.695,0,28.52
16,0.000150681,.572,0,28.53
17,0,.724,0,28.53
18,0.000101089,.691,0,28.52
19,5.72205e-05,.724,0,28.54
20,5.72205e-05,.601,0,28.54
21,9.34601e-05,.899,0,28.52
22,0.000202179,.889,0,28.53
23,5.72205e-05,.923,0,28.51
24,0,.951,0.0433594,28.52
25,0.000150681,.828,0,28.51
26,0.000101089,1.006,0.00234375,28.51
27,0,.866,0,28.53
28,5.72205e-05,.801,0,28.52
29,0.000150681,.986,0,28.51
30,0,.774,0.000390625,28.51
31,0.000101089,.834,0,28.52
32,5.72205e-05,.864,0,28.52
33,0.000114441,.804,0,28.50
34,9.34601e-05,.894,0,28.51
35,0.000272751,1.864,0,29.88
36,0.00222015,5.287,0,31.85
37,5.72205e-05,3.636,0,32.20
38,0.000379562,8.620,0,32.82
39,0.00119019,4.990,0,34.18
40,0.000114441,3.642,0,34.45
41,0.000101089,15.569,0,36.71
42,0.000494003,5.140,0,37.30
43,0.000337601,17.396,0,40.68
44,0,3.734,0,40.71
45,0.000387192,5.901,0,40.73
46,0.000379562,8.484,0,41.02
47,0,3.394,0,41.07
48,0.000272751,4.388,0,41.07
49,0.000343323,7.469,0.0288574,42.01
50,5.72205e-05,14.330,0,42.22
51,0.000171661,4.409,0,42.25
52,0.000457764,7.075,0.0046875,42.21
53,0.00015831,5.051,0,42.21
54,0.000495911,3.699,0,42.21
55,0.000436783,5.666,0,42.22
56,0,3.526,0.00078125,42.23
57,0.00015831,12.511,0,42.76
58,0.000572205,10.258,0,43.03
59,0.000431061,4.064,0,43.03
60,0,15.411,0.000390625,44.05
61,0.000558853,9.283,0,44.38
62,0.000852585,5.763,0,44.76
63,0.000150681,6.826,0,44.78
64,0.000400543,8.059,0,44.77
65,0.00295258,5.067,0.0144043,37.21
66,0.000171661,4.986,0.0510742,37.24
67,0.00119591,5.773,0,37.31
68,0.00199127,7.633,0.0461914,37.87
69,0.000343323,8.378,0.0050293,38.18
70,5.72205e-05,4.156,0,38.46
71,0.000495911,11.564,0.141504,38.84
72,0.117943,3.800,0,39.29
73,0.000228882,4.961,7.28589,39.05
74,0.000114441,4.611,0,39.71
75,0,3.934,0.223926,39.92
76,0.00015831,10.832,0.00288086,40.47
77,9.34601e-05,4.830,0,40.98
78,0.0143909,2.073,0,41.13
79,0.596994,.893,0,41.14
80,0.475927,1.110,0,41.14
81,0.365727,1.131,0,41.18
82,0.386747,1.104,0,41.16
83,0.31032,1.169,0,41.13
84,0.376915,1.079,0,41.13
85,0.459547,.986,0,41.10
86,0.393991,.981,0,41.11
87,0.408157,.923,0,41.11
88,0.503736,.954,0,41.08
89,0.555443,.820,0,41.08
90,0.761702,1.302,3.54375,41.09
91,1.11462,.932,0,41.10
92,1.60701,1.274,0,41.12
93,2.29623,1.175,0,41.13
94,2.88935,1.368,3.1543,41.17
95,0.642621,3.774,0,41.85
96,0.000457764,11.195,1.48716,42.36
97,0.000286102,4.292,0,42.88
98,0.00191307,12.078,0.112598,43.15
99,0.00307274,15.902,8.30029,45.77
100,0.00513649,27.266,0.462451,44.74
101,0.00295258,32.524,0.297168,47.42
102,0.00159073,22.305,0.0230469,45.34
103,0.000379562,11.026,0,46.91
104,5.72205e-05,7.271,0.234668,47.34
105,0.007864,9.910,0.0691406,48.08
106,0.00288963,12.981,14.1748,47.95
107,0.000722885,11.750,0.255322,48.38
108,0,8.353,0,49.39
109,0.000738144,7.418,0.306006,49.96
110,0.00739288,9.111,0.0208008,50.07
111,0,4.620,16.0636,50.15
112,0.00197792,13.281,0.0514648,50.41
113,0.000623703,4.203,0.00488281,50.31
114,0.00136757,12.561,0.0585938,50.95
115,0.00438309,6.946,0.0117188,51.64
116,0.00403404,8.659,0.0178711,52.20
117,0.00832748,32.435,0.110156,52.53
118,0.00164795,7.145,0.0165039,51.94
119,0.000629425,1.087,0,51.95
120,0.00522995,11.462,0.0231934,51.97
121,0.00187683,6.389,0.0105469,52.05
122,0.00117493,24.310,0.0813965,41.49
123,5.72205e-05,10.433,1.16777,41.46
124,0.00119591,7.336,0.72334,41.32
125,0.000566483,5.351,0.0837402,41.87
126,0.000150681,4.308,0.587744,41.86
127,0,10.832,0.146094,42.14
128,0.00153923,6.865,8.1416,42.70
129,0.000394821,28.081,0.00478516,43.63
130,5.72205e-05,4.622,0,44.34
131,5.72205e-05,8.909,0.143994,44.62
132,9.34601e-05,4.046,0.00283203,45.19
133,0.000101089,3.777,0,45.66
134,0.00182533,5.694,0.0234375,46.87
135,0.000400543,4.729,6.42417,46.63
136,9.34601e-05,4.858,0,47.24
137,0.000972748,9.137,0.113818,47.40
138,0.00592804,19.278,1.11255,48.94
139,0.000738144,12.811,5.55244,48.21
140,0.000452042,9.863,0,49.21
141,0,7.396,0.258398,49.68
142,0.00561333,16.229,7.12588,50.17
143,0.000286102,5.167,7.58384,50.05
144,5.72205e-05,4.339,0,50.69
145,0.000400543,3.919,0.157275,51.08
146,0.0029583,7.993,8.34883,51.71
147,0.00125313,11.661,0.00463867,51.53
148,0.000967026,5.994,0.0612305,51.33
149,0.000572205,4.856,0,51.55
150,0.00108147,6.360,0.0630859,51.54
151,0.00409698,6.487,0.825391,52.27
152,0.00712395,18.781,0.0232422,52.90
153,0.00760841,21.774,0.0319824,52.26
154,0.00313568,5.224,0.00698242,52.17
155,0.00539017,8.755,0.0164551,53.47
156,0.0079155,28.480,0.040332,52.66
157,0.00123024,19.892,0.0631348,43.29
158,0.000228882,9.806,0.37959,43.30
159,0.000171661,7.692,0.509375,43.07
160,0.000904083,5.455,0.0575195,42.98
161,0.000150681,4.541,0,43.63
162,5.72205e-05,7.074,0.150635,43.88
163,0.00164795,7.632,8.15605,44.41
164,0.000228882,4.946,0.00610352,44.61
165,9.34601e-05,3.779,0,44.81
166,0,11.128,0.153418,45.25
167,0.000101089,4.983,0,45.71
168,0.000286102,3.775,0,46.26
169,0.00346947,6.318,0.0274902,47.63
170,0.00452042,24.178,8.5939,47.63
171,0.000286102,7.160,0.0120117,47.33
172,0.000337601,11.951,0,49.00
173,0,5.830,0.24165,49.29
174,0.00561523,11.993,10.9891,50.09
175,0.00252914,9.116,4.78916,49.85
176,5.72205e-05,4.221,0,50.41
177,0.000629425,4.009,0.151025,50.74
178,0.00605774,7.031,0.0142578,50.70
179,0.00333214,6.531,0.010498,50.96
180,0.00735855,27.121,0.0481934,51.38
181,0.00870323,11.360,0.0281738,51.07
182,0.00671005,10.067,0.0228516,51.83
183,0.00701904,29.658,0.0446777,51.51
184,0.00440598,18.951,0.014502,52.20
185,0.00437927,8.892,0.0157715,53.00
186,0.00906944,30.420,0.0506348,53.05
187,0.00421524,16.868,0.0480957,44.51
188,0.000322342,9.526,8.75488,44.13
189,0.00108147,6.001,0.295166,43.98
190,5.72205e-05,4.780,0,44.69
191,0,3.869,0.149463,44.93
192,0.00165367,7.000,8.28774,45.40
193,0,2.586,0,45.62
194,0.000509262,6.461,0.00390625,45.85
195,5.72205e-05,3.972,0.120605,46.00
196,0.000200272,11.172,0.0339355,46.47
197,0,5.615,0,47.00
198,0.000566483,4.046,0,48.09
199,0.00810814,19.216,0.640186,49.27
200,0.000795364,11.743,8.22793,48.50
201,0.000494003,11.693,0.00249023,49.76
202,0,7.172,0.239111,50.10
203,0.00491905,18.142,3.04854,51.02
204,0.000228882,5.312,11.5988,50.48
205,0.000150681,4.990,0,51.14
206,0.000272751,3.785,0.136963,51.46
207,0.00507355,5.543,0.0132324,51.27
208,5.72205e-05,.712,0,51.26
209,0,.744,0,51.25
210,0,.967,0,51.26
211,0.000200272,.769,0,51.28
212,5.72205e-05,.743,0,51.27
213,0,.687,0,51.27
214,0,.632,0,51.27
215,0.000101089,.801,0,51.28
216,0.000150681,.715,0,51.28
217,5.72205e-05,.805,0,51.27
218,0,.806,0,51.25
219,0,.711,0,51.23
220,5.72205e-05,.625,0,51.23
221,0.000150681,.717,0,51.24
222,0,.798,0,51.24
223,0,.745,0,51.25
224,0.00015831,.628,0,51.25
225,0.000207901,1.140,4.72935,51.25
226,0,.830,0,51.27
227,0,.794,0,51.28
228,0.000272751,.892,0,51.27
229,5.72205e-05,.923,0,51.26
230,0,.928,4.30781,51.27
231,0,.718,0,51.27
232,0.000101089,.736,0,51.26
233,5.72205e-05,.727,0,51.25
234,5.72205e-05,.897,0,51.23
235,9.34601e-05,.889,0,51.27
236,0.000101089,.885,0,51.28
237,5.72205e-05,.774,0,51.26
238,5.72205e-05,.707,0,51.26
239,9.34601e-05,.652,0,51.25
240,0,.632,0,51.25
