Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,1.449,0,29.16
2,0,.703,0,29.14
3,0,1.024,0,29.22
4,0,1.035,0.115771,29.20
5,0,2.479,0,29.21
6,0,2.240,0,29.25
7,0,5.340,0,29.52
8,0,6.868,3.29395,29.45
9,0,12.172,3.8395,29.55
10,0,7.528,0.010791,29.42
11,0,2.964,0,29.45
12,0,.739,0,29.40
13,0,1.393,0,29.39
14,0,.706,0,29.41
15,0,.651,0,29.38
16,0,.740,0,29.29
17,0,1.870,0,29.25
18,0,.594,0,29.25
19,0,.736,0,29.22
20,0,.710,0,29.20
21,0,1.252,0,29.23
22,0,.709,0,29.22
23,0,.618,0,29.20
24,0,.648,0,29.18
25,0,.976,0,29.21
26,0,.474,0,29.20
27,0,.710,0,29.19
28,0,.676,0,29.21
29,0,1.237,0.225146,29.21
30,0,.530,0,29.21
31,0,.645,0,29.18
32,0,.588,0,29.20
33,0,1.148,0,29.37
34,0,5.657,0.0716309,29.40
35,0,5.213,0.00078125,29.36
36,0,5.975,0,29.37
37,0,7.501,0.0480957,29.63
38,0,6.800,0.00410156,29.89
39,0,4.295,0,29.86
40,0,3.462,0,29.85
41,0,4.973,0,29.97
42,0,3.630,0.00327148,29.85
43,0,2.693,0,29.84
44,0,3.426,0,29.84
45,0,3.494,0,29.85
46,0,3.429,0,29.85
47,0,3.050,0,29.84
48,0,3.238,0,29.98
49,0,5.625,0.0521973,29.97
50,0,6.318,0.009375,30.00
51,0,6.509,0.0111816,30.06
52,0,5.853,0.00961914,30.20
53,0,4.140,0.00424805,30.20
54,0,4.885,0.0742188,30.20
55,0,6.429,0.00947266,30.28
56,0,8.115,0.00566406,30.27
57,0,7.954,0.0100586,30.30
58,0,7.392,0.00805664,30.25
59,0,5.136,0.0527832,30.22
60,0,6.199,0.0127441,30.39
61,0,5.004,0.0206055,30.61
62,0,5.269,0.00537109,30.55
63,0,4.141,2.00532,30.55
64,0,3.967,2.0042,30.59
65,0,4.503,2.00503,31.04
66,0,4.763,4,30.66
67,0,3.171,0,30.69
68,0,5.199,3.90576,31.51
69,0,4.251,7.13164,30.73
70,0,4.028,0,30.76
71,0,3.511,0,30.76
72,0,3.816,6.33164,30.75
73,0,6.026,1.72847,30.96
74,0,12.484,0.00844727,31.16
75,0,4.810,0.00761719,31.15
76,0,5.403,0.0889648,31.28
77,0,4.824,0.0728516,31.13
78,0,6.007,0.0912109,31.18
79,0,4.665,0.213623,31.12
80,0,5.900,0.0860352,31.33
81,0,4.987,0.115869,31.18
82,0,5.388,0.1875,31.21
83,0,4.937,0.161719,31.28
84,0,7.841,0.0901367,31.36
85,0,5.507,0.274951,31.73
86,0,17.231,0.00576172,31.57
87,0,30.269,0.00463867,31.44
88,0,34.540,0.00234375,31.43
89,0,29.371,0.00229492,31.47
90,0,31.215,0.00463867,31.53
91,0,34.915,0,31.56
92,0,37.531,0,31.62
93,0,7.289,0.0196289,31.66
94,0,4.520,0.00566406,31.66
95,0,4.383,0.00854492,31.73
96,0,4.849,0.00654297,31.61
97,0,3.248,0,31.62
98,0,3.723,0,31.63
99,0,4.182,0,31.64
100,0,3.567,0,31.65
101,0,3.237,0,31.64
102,0,3.635,0,31.66
103,0,2.892,0.0491699,31.63
104,0,3.662,0,31.63
105,0,2.964,0,31.62
106,0,5.842,0.00561523,31.66
107,0,8.879,0.00375977,31.81
108,0,7.218,0.00917969,31.66
109,0,8.943,0.00375977,31.74
110,0,8.713,0.00791016,32.01
111,0,6.968,0.00576172,31.97
112,0,6.121,0.00546875,31.72
113,0,5.461,0.00947266,31.83
114,0,8.414,0.00786133,31.89
115,0,6.523,0.00942383,31.69
116,0,6.959,0.0074707,31.88
117,0,5.843,0.0101074,31.70
118,0,6.311,1.00894,31.78
119,0,4.051,2.004,31.88
120,0,3.611,2,31.95
121,0,3.979,6.00078,31.93
122,0,3.468,0.00625,31.92
123,0,4.097,4.00391,31.92
124,0,4.615,7.85938,31.92
125,0,3.085,0,31.93
126,0,3.431,2.03438,31.97
127,0,3.525,2.03789,31.95
128,0,4.227,1.03628,31.98
129,0,5.741,0.116943,32.08
130,0,4.429,0.151221,32.02
131,0,5.451,0.0880859,32.06
132,0,4.730,0.140771,32.17
133,0,4.433,0.136523,32.01
134,0,5.415,0.0932129,32.14
135,0,5.302,0.165381,32.17
136,0,7.142,0.0845215,32.33
137,0,4.675,0.136523,32.24
138,0,5.762,0.140771,32.22
139,0,6.566,0.111914,32.27
140,0,17.878,0.00610352,32.26
141,0,38.033,0,32.20
142,0,38.363,0,32.19
143,0,28.466,0.00307617,32.31
144,0,33.803,0.273828,32.31
145,0,34.653,0.00180664,32.23
146,0,17.228,0.0851074,30.94
147,0,7.612,0.126807,31.26
148,0,5.518,0.00673828,30.81
149,0,4.651,0.00336914,30.82
150,0,3.426,0,30.82
