Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,1.032,0,29.87
2,5.72205e-05,.598,0,29.88
3,9.34601e-05,.679,0,29.84
4,5.72205e-05,.748,0,29.88
5,0.000101089,.865,0,29.89
6,5.72205e-05,.678,0,29.84
7,0,.616,0,29.84
8,0.000143051,.530,0,29.82
9,0,1.126,0.0718262,29.81
10,5.72205e-05,.560,0,29.82
11,0,1.064,0,29.81
12,0,.596,0,29.82
13,0.000200272,1.124,0,29.83
14,0,.531,0,29.85
15,5.72205e-05,.531,0,29.87
16,0.000101089,.645,0,29.87
17,5.72205e-05,1.154,0,29.88
18,9.34601e-05,.589,0,29.86
19,5.72205e-05,.444,0,29.85
20,0,.445,0,29.86
21,0.00015831,.536,0,29.88
22,0,.603,0,29.87
23,0.000150681,.443,0,29.87
24,0,.588,0,29.88
25,0.000114441,.531,0.00273438,29.89
26,0,1.119,0,29.90
27,5.72205e-05,.362,0,29.92
28,9.34601e-05,.509,0,29.93
29,0,.536,0.00117188,29.91
30,0.00015831,.860,0,29.93
31,5.72205e-05,.331,0,29.95
32,0,.418,0,29.94
33,0.000143051,.475,0,29.93
34,5.72205e-05,1.612,0.000390625,30.10
35,0.000743866,6.257,0.0305176,31.42
36,5.72205e-05,3.488,0,31.41
37,0.000171661,4.907,0,31.63
38,0.000314713,20.889,0,34.44
39,0.000972748,9.164,0.0422363,33.27
40,0.000286102,17.621,0.00483398,34.89
41,0,3.998,0,35.14
42,0.000581741,12.281,0.148779,35.48
43,0.0132952,4.485,0.645068,35.84
44,0.0279074,4.875,0.0034668,35.67
45,0.0398474,4.610,0.00351563,35.67
46,0.0261631,4.116,0.00698242,35.66
47,0.0178261,3.835,0.00351563,35.72
48,0.0152731,5.127,6.19673,35.71
49,0.0268497,4.682,0.00527344,35.71
50,0.0156002,2.741,0.00351563,35.59
51,0.0130138,2.258,0.00175781,35.74
52,0.0122833,4.497,0.0342285,34.67
53,0.000915527,4.908,0.160791,34.59
54,9.34601e-05,4.859,0,35.33
55,0.000272751,9.824,0.152246,35.71
56,0.0299444,4.847,0.0229004,35.84
57,0.0268211,4.239,0.00957031,35.80
58,0.0271578,4.174,0.0197266,35.69
59,0.0279751,4.840,0.0195312,35.82
60,0.0173626,5.548,0.310352,36.01
61,0.0396261,3.927,0.00874023,35.83
62,0.0265675,4.257,0.012207,35.84
63,0.0146103,5.863,0.0174316,35.81
64,0.0300627,5.288,0.00874023,35.87
65,0.0211487,4.638,3.17778,35.85
66,0.0263767,4.425,0.00351563,35.74
67,0.026392,4.296,0.0174316,35.80
68,0.0274448,2.766,0.00874023,35.68
69,0.0133133,6.216,4.94941,34.75
70,0.000743866,4.662,0.15542,34.68
71,0,10.396,0,35.65
72,0.000200272,5.288,0.150781,35.90
73,0.0120211,6.278,0.0171875,36.02
74,0.0265589,5.393,0.0034668,36.15
75,0.0131416,4.487,0.00180664,36.16
76,0.0265694,4.259,0.00566406,36.04
77,0.0261831,3.689,0.00522461,36.03
78,0.0304108,3.872,0.00175781,36.03
79,0.0490093,4.070,0,36.00
80,0.0274477,3.910,0.00693359,36.00
81,0.0158701,4.828,0.00693359,36.14
82,0.0242167,4.486,0.00351563,36.06
83,0.0268555,2.064,0,36.16
84,0.028532,4.394,0.00527344,36.23
85,0.0141935,3.993,0.288867,36.07
86,0.0291138,4.223,0.00351563,36.04
87,0.0392427,4.722,2.58481,36.03
88,0.0399551,4.130,0.0034668,36.17
89,0.0269079,5.284,0.011084,35.19
90,0.000837326,5.451,4.71597,35.17
91,0.000228882,4.719,0.00385742,35.71
92,0.00015831,5.373,0.151563,36.07
93,0.00349331,8.003,0.0214844,36.37
94,0.0207691,3.829,0.0081543,36.36
95,0.0136375,2.725,0.00820313,36.35
96,0.0011673,2.359,0.0081543,36.33
97,0.0286312,3.416,0.0081543,36.26
98,0.0270538,3.426,0,36.26
99,0.0132523,1.654,0.00620117,36.06
100,0.000143051,.560,0,36.05
101,5.72205e-05,.500,0,36.03
102,0,.547,0,36.08
103,5.72205e-05,.623,0,36.06
104,0,.330,0,36.07
105,0.000200272,.416,0,36.04
106,0,.357,0,36.04
107,0.000143051,1.395,3.16719,36.06
108,0,.303,0,36.06
109,0.00015831,.472,0,36.06
110,0,.503,0.336572,36.05
111,5.72205e-05,1.071,4.83633,36.08
112,0,.588,0,36.11
113,5.72205e-05,.797,0,36.13
114,0.000101089,.304,0,36.11
115,0.000150681,.923,0,36.12
116,0,.390,0.00390625,36.10
117,0.000101089,.476,0,36.09
118,5.72205e-05,.502,0,36.12
119,0,.391,0,36.12
120,5.72205e-05,.930,0,36.11
121,9.34601e-05,.503,0,36.12
122,0.00015831,.333,0,36.11
123,0,.475,0,36.09
124,5.72205e-05,1.001,0,36.13
125,9.34601e-05,.386,0,36.14
126,0.00015831,.445,0,36.12
127,0,.472,0,36.11
128,5.72205e-05,1.008,0,36.12
129,0,.502,0,36.13
130,0.000143051,.562,0,36.11
131,0,.503,0,36.11
132,5.72205e-05,.473,0,36.10
