Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,1.190,0,29.78
2,0,.737,0,29.78
3,0.000150681,.595,0,29.72
4,5.72205e-05,.653,0,29.71
5,0,1.012,0,29.72
6,0.000101089,.678,0,29.75
7,5.72205e-05,.678,0,29.73
8,0.000150681,.501,0,29.73
9,0,1.572,0,29.74
10,0.000101089,.589,0,29.74
11,5.72205e-05,.528,0,29.76
12,5.72205e-05,.557,0,29.74
13,9.34601e-05,1.065,0,29.76
14,0.000101089,.621,0.0490234,29.75
15,5.72205e-05,.531,0,29.77
16,5.72205e-05,.532,0,29.76
17,0,.985,0,29.79
18,0.000101089,.561,0,29.81
19,5.72205e-05,.446,0,29.77
20,5.72205e-05,.557,0,29.79
21,0,.864,0,29.78
22,0.000143051,.619,0,29.76
23,0,1.316,0,29.83
24,5.72205e-05,.523,0,29.85
25,0,.799,0.00234375,29.87
26,0.000101089,.681,0,29.87
27,9.34601e-05,.442,0,29.87
28,5.72205e-05,.890,0,29.88
29,5.72205e-05,.504,0.0015625,29.91
30,0,.888,0,29.91
31,0.000101089,.505,0,29.88
32,0.000150681,.588,0,29.85
33,5.72205e-05,.503,0,29.85
34,0.00120163,4.171,0,33.44
35,0,3.439,0,33.41
36,0.000400543,10.291,0,34.58
37,0.000379562,4.133,0,35.57
38,0,15.419,0,37.75
39,0.000558853,4.240,0.0376465,38.68
40,0.00125885,11.975,0,40.02
41,5.72205e-05,3.062,0,40.02
42,0.000637054,8.232,0,40.86
43,0.000272751,3.155,0,41.62
44,0.000228882,5.693,0,41.67
45,0.000514984,7.359,0,41.85
46,0,3.172,0,41.86
47,0.000600815,11.922,0,42.76
48,0.000228882,5.834,0,42.77
49,0.000228882,3.246,0,42.78
50,0.000457764,7.486,0,43.04
51,0.000101089,9.773,0,43.80
52,0.000551224,3.629,0,43.81
53,0.00211716,4.644,0,44.34
54,0,8.784,0,44.89
55,0.00113106,6.479,0,45.03
56,0.000114441,9.688,0,45.81
57,0.000457764,3.537,0,45.89
58,0.00297546,5.012,0.0358398,38.82
59,0.00015831,4.479,0.0337891,38.99
60,0.00294685,5.166,0.000390625,39.05
61,0.000379562,11.327,0.0547852,40.05
62,0,5.915,0,40.88
63,0.000101089,11.072,0.444141,41.25
64,0.117134,4.471,6.43916,41.64
65,0.000286102,7.650,0.052002,41.99
66,0,4.372,0.113525,42.32
67,0.00019455,10.310,0.0314941,42.90
68,5.72205e-05,4.331,0,43.53
69,0.0535736,1.252,0,43.64
70,0.364157,1.071,0,43.67
71,0.272758,.924,0,43.64
72,0.149328,.744,0,43.66
73,0.186062,.739,0,43.64
74,0.103662,.562,0,43.66
75,0.061265,1.071,0,43.64
76,0.0933743,.595,0,43.61
77,0.0932846,.710,0,43.61
78,0.0554543,.738,0,43.61
79,0.0656261,1.075,0,43.62
80,0.0701332,.616,0,43.60
81,0.0761185,.686,0,43.59
82,0.0876617,.683,0,43.57
83,0.104713,1.080,0,43.57
84,0.147251,.710,0,43.55
85,0.141636,.737,0,43.57
86,0.186295,1.077,3.31914,43.56
87,0.186443,1.245,0,43.56
88,0.188168,.652,0,43.57
