Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.558,0,26.54
2,0,.502,0,26.54
3,0,.592,0,26.47
4,0,.449,0,26.47
5,0,.444,0,26.49
6,0,.705,0,26.48
7,0,.730,0,26.48
8,0,.561,0,26.48
9,0,.474,0.0804688,26.49
10,0,.500,0,26.46
11,0,.505,0,26.47
12,0,.620,0,26.48
13,0,.580,0,26.48
14,0,.562,0,26.47
15,0,.589,0,26.45
16,0,.472,0,26.45
17,0,.469,0,26.45
18,0,.499,0,26.47
19,0,.502,0,26.48
20,0,.531,0,26.47
21,0,.971,0,26.56
22,0,.585,0,26.54
23,0,.441,0,26.55
24,0,.589,0,26.57
25,0,.529,0.00273438,26.56
26,0,.474,0,26.58
27,0,.703,0,26.57
28,0,.591,0,26.58
29,0,.650,0.0015625,26.57
30,0,.685,0,26.58
31,0,.530,0,26.59
32,0,.559,0,26.60
33,0,.561,0,26.58
34,0.0014019,4.575,0.0211914,26.93
35,0.00120163,4.170,0,26.95
36,0.000457764,4.777,0,27.99
37,0,2.998,0,28.44
38,0.000171661,13.372,0,29.91
39,0.000972748,15.231,0,28.97
40,0.00165939,4.084,0.0458984,29.54
41,0.000972748,5.346,0.00546875,29.43
42,0.00240326,5.007,0.00395508,29.40
43,0,3.411,0,29.40
44,0,2.933,0,29.39
45,0.000858307,2.710,0.00180664,29.32
46,0,.565,0,29.34
47,0.000715256,3.082,0.00166016,29.36
48,0,3.038,0,29.35
49,0,3.357,0,29.35
50,0,3.470,0,29.28
51,0,3.286,0,29.28
52,0,3.398,0,29.28
53,0,3.494,0,29.27
54,0.00165939,5.709,0.0782227,29.68
55,0.00320435,5.255,0.00874023,29.68
56,0.00217438,3.761,0.00449219,29.61
57,0.00380516,5.586,0.0121582,29.62
58,0.00154495,2.594,0.00405273,29.58
59,0.00188828,4.400,0.0756836,29.55
60,0.00343323,5.426,0.0102051,29.64
61,0.00403404,6.007,0.0101563,29.57
62,0.00469208,6.935,0.00888672,29.64
63,0.0030899,7.433,0.00444336,29.76
64,0.00380516,7.963,0.0550781,29.92
65,0.00406265,6.082,0.00742188,29.72
66,0.00217438,4.059,0.0437988,30.17
67,0.000686646,3.960,0.00537109,30.81
68,0.000772476,8.255,1.00488,30.75
69,0.00108719,4.519,3.00039,30.79
70,0.00120163,3.730,2.45078,30.80
71,0,3.383,0.725,30.80
72,0,3.077,2.0375,30.90
73,0.000858307,4.031,8.01797,30.79
74,0,3.094,0,30.78
75,0,3.126,0,30.77
76,0,3.597,6.39023,30.77
77,0.00143051,4.199,0.00356445,30.92
78,0.000228882,4.384,0.588184,31.40
79,0,4.565,7.79258,31.74
80,0.000366211,11.788,0.507715,32.04
81,0.0048008,2.761,0.0353516,32.00
82,0.00363636,2.496,0.00771484,32.03
83,0.00522995,3.440,0.266992,32.06
84,0.00264072,3.327,0.0110352,32.20
85,0.00315571,4.205,0.0115723,32.16
86,0.00352192,3.172,0.0192383,32.05
87,0.00292683,2.202,0.0115723,32.06
88,0.0040369,3.085,0.0115723,32.04
89,0.00528717,2.797,0.0125977,32.16
90,0.0034647,2.887,0.0149902,32.06
91,0.00551033,2.772,0.0078125,32.03
92,0.00502968,2.656,0.0078125,32.21
93,0.000743866,6.343,0.0710937,32.34
94,0.00148773,18.921,0.00449219,32.44
95,0.00177383,41.930,0,32.50
96,0.00123024,41.083,0,32.47
97,0.00108719,40.122,0,32.52
98,0,36.164,0,32.54
99,0,28.894,0,32.54
100,0.00137329,23.398,0.0565918,33.01
101,0.00706959,2.227,0.00302734,32.45
102,0.00326157,6.388,0.0124023,32.47
103,0.00125885,3.758,0,32.46
104,0,3.016,0,32.46
105,0,2.876,0,32.43
106,0.00157356,4.077,0.00332031,32.45
107,0,2.970,0,32.45
108,0,2.997,0,32.47
109,0,3.298,0.0631348,32.45
110,0,3.297,0,32.47
111,0,2.985,0,32.47
112,0,2.759,0,32.44
113,0.00394821,6.782,0.00458984,32.60
114,0.00434875,5.564,0.00820313,32.51
115,0.00369072,5.394,0.00961914,32.55
116,0.00377655,6.185,0.0114746,32.49
117,0.00649452,6.150,0.00541992,32.52
118,0.00343323,5.299,0.0097168,32.66
119,0.0025177,5.420,0.0592773,32.99
120,0.0028038,5.718,0.0125,32.84
121,0.00472069,5.565,0.00776367,32.69
122,0.00200272,9.032,2.00439,33.31
123,0.00120163,3.569,3.00039,33.41
124,0.00102997,3.842,3.36328,33.43
125,0,2.964,0,33.41
126,0,3.534,0,33.33
127,0.00114441,4.419,3.09106,34.11
128,0,3.116,2.50547,33.30
129,0,3.311,0,33.32
130,0,3.254,5.76211,33.32
131,0,2.894,1.72188,33.28
132,0.00438023,4.010,0.0104492,33.31
133,0.00797939,3.490,0.0717773,33.45
134,0.0063343,4.537,0.0166504,33.49
135,0.00685501,4.251,0.0144043,33.49
136,0.00835705,4.493,0.0196289,33.61
137,0.00818539,4.081,0.0182617,33.62
138,0.00844288,4.569,0.0180664,33.69
139,0.00205994,14.811,0.00581055,33.74
140,0.00137329,42.336,0,33.70
141,0.000972748,27.225,0.00385742,33.60
142,0.00108719,35.612,0,33.68
143,0,39.361,0,33.69
144,0,29.418,0,33.69
145,0.0128622,16.079,0.022168,32.06
146,0.000171661,13.711,0.831885,31.23
147,0.000114441,6.712,0.0708008,31.08
148,0.000514984,6.108,0.0574707,31.15
149,0.00277519,5.487,0.0160645,31.18
150,0.000801086,3.887,0,31.19
151,0,3.414,0,31.19
152,0.000343323,3.446,0,31.15
153,0,4.075,0,31.27
154,0,2.898,0,31.27
155,0,2.938,0,31.22
156,0,2.903,0,31.20
157,0,3.176,0,31.18
158,0,3.159,0.157031,31.16
159,0,3.711,0,31.14
160,0.00165939,5.670,0.0598145,31.98
161,0.00205994,5.288,0.0117188,31.37
162,0.00397682,5.284,0.0189941,31.52
163,0.00543594,6.455,0.00908203,31.53
164,0.00200272,3.279,0.00791016,31.38
165,0.00460625,5.857,0.0158691,31.54
166,0.00520706,5.991,0.00869141,31.48
167,0.00331879,5.147,0.0188477,31.32
168,0.00102997,5.661,0.0610352,31.43
169,0.00400543,5.595,0.00864258,31.45
170,0.00217438,6.036,0.0585938,31.77
171,0.00180244,4.637,0.00766602,31.68
172,0.00108719,3.975,3.17539,31.58
173,0.000915527,3.738,2.00078,31.77
174,0,4.477,4,31.59
175,0,3.225,0,31.59
176,0.00108719,3.771,4.00156,32.28
177,0,5.184,8.01797,31.62
178,0,3.080,0,31.62
179,0,3.349,0,31.61
180,0,3.485,6.49844,31.61
181,0.00154495,4.942,1.56045,32.18
182,0.000228882,3.880,0.00332031,32.42
183,0,4.613,8.41064,32.75
184,0.00465202,2.876,0.00390625,32.84
185,0.00300694,1.503,0.0015625,32.97
186,0.00372219,2.946,0.0261719,32.84
187,0.00560188,2.612,0.0108398,33.05
188,0.0043602,1.669,0.0078125,32.96
189,0.00380802,3.203,0.00883789,32.86
190,0.00551033,2.588,0.0078125,32.85
191,0.00559616,2.015,0.0078125,32.80
192,0.00531578,2.395,0.0116211,32.98
193,0.00269222,3.811,0.0541504,32.97
194,0.000343323,6.986,0.00820313,33.59
195,0,4.451,8.15469,33.79
196,0.000366211,10.615,0.174463,34.07
197,0.00188828,6.253,0.101855,34.16
198,0.00125885,18.598,0.00771484,34.39
199,0.00108719,9.777,0.00668945,34.50
200,0.00163078,35.431,0,34.36
201,0,32.525,0,34.49
202,0.000801086,33.057,0,34.46
203,0,34.151,0,34.47
204,0.000972748,29.532,0.0616699,34.64
205,0.000653267,3.385,0.00625,34.57
206,0.00561523,6.146,0.00854492,34.55
207,0.00160217,5.220,0.00966797,34.71
208,0.00120163,5.681,0.426611,34.72
209,0.000114441,3.052,0,34.56
210,0,3.198,0,34.57
211,0.000686646,4.051,0,34.75
212,0.000743866,4.274,0.00317383,34.59
213,0,2.956,0,34.58
214,0,2.971,0,34.56
215,0,2.988,0,34.56
216,0,3.250,0,34.56
217,0,3.261,0,34.56
218,0,3.095,0,34.55
219,0.000743866,2.614,0.00332031,34.75
220,0.000972748,5.683,0.00371094,34.75
221,0.000858307,4.876,0.000390625,34.59
222,0.00131607,2.331,0.00688477,34.55
223,0.00102997,3.317,0.00356445,34.72
224,0.00211716,7.258,0.00727539,34.71
225,0.00148773,8.817,0.00693359,34.75
226,0.00171661,4.911,0.0133789,34.62
227,0.0042057,5.388,0.0141602,34.68
228,0.00205994,8.417,0.0104004,34.50
229,0.000858307,4.539,0.00898438,34.69
230,0.00205994,3.922,0.0102051,34.55
231,0.00203133,7.187,0.0102051,34.50
232,0.00154495,6.380,0.0314453,34.49
233,0.0047493,4.616,0.0187012,34.81
234,0.00380516,5.502,0.00883789,34.62
235,0.00371933,6.017,1.0084,34.70
236,0.00131607,3.856,3.7645,34.73
237,0.000400543,3.266,2.00156,34.72
238,0.000658035,3.771,4.00371,34.77
239,0,3.147,0,34.75
240,0.00108719,3.909,4.00518,34.80
241,0,5.364,7.55938,34.73
242,0,2.980,0,34.75
243,0,2.945,0,34.74
244,0,3.346,3.23008,34.73
245,0.00108719,3.886,2.69346,34.72
246,0.0048008,5.308,0.00615234,35.09
247,0.00591087,4.886,0.00932617,34.76
248,0.0073843,4.244,0.0157715,34.73
249,0.00581932,4.928,0.014502,34.75
250,0.00749874,3.861,0.0155273,34.74
251,0.00579071,4.209,0.0154297,34.84
252,0.00579071,3.980,0.0154297,34.73
253,0.00585938,5.040,0.017334,34.87
254,0.00228882,30.089,0.00644531,34.72
255,0.00108719,31.460,0.00644531,34.74
256,0.000686646,29.761,0.00644531,34.77
257,0.00102997,35.625,0.0520996,34.78
258,0.000114441,35.593,0.00356445,34.84
259,0,31.377,0,34.86
260,0.000743866,34.951,0.00302734,34.78
261,0.0123539,3.452,0.00996094,34.74
262,0.00197411,6.985,0.773975,34.77
263,0.00137329,4.165,0.00581055,34.76
264,0,3.531,0,34.78
265,0,3.534,0,34.75
266,0.00102997,3.276,0,34.76
267,0,2.751,0,34.75
268,0,2.858,0,34.74
269,0,3.063,0,34.73
270,0,3.044,0.00625,34.76
271,0,2.980,0,34.74
272,0.000343323,3.082,0,34.75
273,0.00480652,4.594,0.0110352,34.74
274,0,.567,0,34.75
275,0.00125885,2.078,0.00639648,34.86
276,0.000829697,1.936,0.00639648,34.88
277,0.00114441,1.632,0.00639648,34.94
278,0.00183105,5.812,0.00634766,34.93
279,0.00205994,2.300,0.00947266,34.87
280,0.0025177,3.229,0.0126953,34.89
281,0.00237465,3.031,0.00961914,34.74
282,0.00131607,2.169,0.0339355,34.89
283,0.0019455,2.280,0.00385742,34.74
284,0.00143051,2.134,0.00639648,34.72
285,0,.560,0,34.87
286,0.00286102,3.945,0.0100098,34.73
287,0.0039196,5.607,0.0140137,34.76
288,0.00492096,5.581,0.0081543,34.82
289,0.00108719,4.878,1.50039,34.79
290,0.00102997,3.475,3.00039,34.76
291,0.0011158,3.634,6.00078,34.73
292,0,2.626,0,34.73
293,0.000629425,3.171,4.00156,34.86
294,0.000171661,3.893,7.80396,34.74
295,0,2.940,0,34.76
296,0,2.860,0,34.78
297,0,3.387,6.42969,34.75
298,0.000343323,3.391,1.41523,34.71
299,0.00619125,4.379,0.0163574,34.74
300,0.0071497,3.755,0.0155762,34.75
301,0.00741291,3.127,0.0155273,34.73
302,0.00567627,3.738,0.0196289,34.74
303,0.00602531,3.840,0.015332,34.85
304,0.00585365,4.549,0.0151855,34.73
305,0.0059967,4.000,0.0151855,34.74
