from,to,passengers
United States,Canada,10626
United States,Mexico,17630
United States,United Kingdom,7639
United States,China,545
United States,Germany,4320
United States,Japan,1824
United States,France,3606
United States,Dominican Republic,4246
United States,South Korea,1697
United States,Netherlands,2466
United States,Brazil,1394
United States,Spain,1949
United States,Italy,1657
United States,Jamaica,2119
United States,Hong Kong,142
United States,Ireland,1526
United States,Colombia,2344
United States,Panama,1581
United States,Australia,724
United States,The Bahamas,1145
United States,Switzerland,956
United States,Israel,926
United States,Haiti,231
United States,Denmark,377
United States,Philippines,430
United States,Cayman Islands,312
United States,Belgium,410
United States,Bermuda,190
United States,Barbados,206
United States,Greece,437
United States,Venezuela,0
United States,Netherlands Antilles,0
