Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/contacts/findContactsByAccountId/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,139,0,4800,3183.093525179856,34,8042,551.0,0.07755849731500182,0.0,4800,5000,5200,5800,6000,6300,6600,6700,8000,8000,8000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/10a2dd2b-e654-4fb8-9c83-8e493276ebd6,1,0,4779,4779.0,4779,4779,60.0,0.0005579748008273513,0.0,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/10bc6e4f-5273-498b-8dcd-dbe9ab78b26c,1,0,11776,11776.0,11776,11776,60.0,0.0005579748008273513,0.0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/14c8fb0c-eddb-4612-b2bc-176f12ed3e2e,1,0,9689,9689.0,9689,9689,60.0,0.0005579748008273513,0.0,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/20abb30f-b7e4-4fad-9d28-b6d86ac7f32e,1,0,9640,9640.0,9640,9640,60.0,0.0005579748008273513,0.0,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/23da3cab-0ce1-4dbc-9783-385d37f5bf1f,1,0,6068,6068.0,6068,6068,60.0,0.0005579748008273513,0.0,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/25502c65-d03b-4b3d-bcc0-e05f0511f0e7,1,0,4895,4895.0,4895,4895,60.0,0.0005579748008273513,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/25ab7ed0-9b2b-4b45-9fbf-debf0da240d8,1,0,10804,10804.0,10804,10804,60.0,0.0005579748008273513,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/2b4644b9-2dcd-4029-8841-7b5d76711af8,1,0,11925,11925.0,11925,11925,60.0,0.0005579748008273513,0.0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/2f0ec3b3-fa10-4495-ad3a-3de7bf66ea31,2,0,9900,10835.0,9876,11794,60.0,0.0011159496016547026,0.0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/30f77a81-acfd-4523-816b-f1781ca545be,5,0,6000,6484.8,88,10717,87.2,0.0027898740041367564,0.0,6000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/39fc127b-2ff4-4dc3-a401-6b981107ebeb,2,0,4900,8679.5,4874,12485,60.0,0.0011159496016547026,0.0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/40716bc2-861a-4d27-957c-15534cb822db,4,0,5000,5493.0,4858,6409,67.0,0.002231899203309405,0.0,5700,5700,6400,6400,6400,6400,6400,6400,6400,6400,6400
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/522ce22d-687d-4274-9275-6153f3e6bcfd,1,0,10914,10914.0,10914,10914,94.0,0.0005579748008273513,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/5ad7750b-a68b-49c0-a8c0-32776b067703,9,0,130,4152.222222222223,78,11015,60.0,0.005021773207446161,0.0,130,4900,10000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/5c37ee03-5224-474e-a565-cc9c2d120bd9,1,0,10201,10201.0,10201,10201,60.0,0.0005579748008273513,0.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/614cc3eb-a4d9-4961-aeec-1f8e1afbb40c,4,0,8800,9748.75,6445,12545,60.0,0.002231899203309405,0.0,11000,11000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/64fc8217-f681-4ac6-866c-d43b8135bdf1,1,0,4886,4886.0,4886,4886,60.0,0.0005579748008273513,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/657bf8b3-4eeb-4a4c-b57d-875eba326784,2,0,11000,11234.5,10820,11649,60.0,0.0011159496016547026,0.0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/8177ac5a-61ac-42f4-83f4-bd7b394d0531,6,0,5000,6152.5,103,10847,60.0,0.0033478488049641076,0.0,6100,6100,9900,9900,11000,11000,11000,11000,11000,11000,11000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/85d5ec5c-acf9-444c-bfc4-d3cff644d4e3,2,0,4900,5920.0,4899,6941,60.0,0.0011159496016547026,0.0,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/8d78da4b-3215-48af-95c9-7085b7829fad,2,0,5001,7457.0,5001,9913,60.0,0.0011159496016547026,0.0,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/8e04bdb2-e4a0-48ec-8cd1-88eaf83b1516,2,0,4800,4862.0,4795,4929,60.0,0.0011159496016547026,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/989531c2-8aa4-4b9e-a90f-a4707458b0ae,4,0,6000,8138.5,5093,10793,60.0,0.002231899203309405,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/9a229190-ddd7-40bd-8b6e-1d7cf49e7086,1,0,5361,5361.0,5361,5361,60.0,0.0005579748008273513,0.0,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/b9b71527-5606-493b-8f1c-549845b5fdea,2,0,5207,5580.5,5207,5954,60.0,0.0011159496016547026,0.0,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/bf61bc8d-c53d-48de-acf0-ec4ea8c6b4ac,1,0,95,95.0,95,95,60.0,0.0005579748008273513,0.0,95,95,95,95,95,95,95,95,95,95,95
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/c69fb262-5d4b-4363-bc61-96e6ec5f3106,5,0,8700,6637.8,93,9792,60.0,0.0027898740041367564,0.0,8700,9700,9700,9800,9800,9800,9800,9800,9800,9800,9800
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/c8497785-b9d6-4abf-bc17-9e7c689cab2c,1,0,5905,5905.0,5905,5905,60.0,0.0005579748008273513,0.0,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/ca06966e-c799-4ee4-9cc3-e92e8a04a7e0,2,0,4942,6901.5,4942,8861,60.0,0.0011159496016547026,0.0,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/ca06c9b0-a602-49b9-863b-58aebd34f7f3,1,0,5933,5933.0,5933,5933,60.0,0.0005579748008273513,0.0,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/cd0b75dd-3bbd-45b7-97f4-6efb11ef9fd3,1,0,4859,4859.0,4859,4859,60.0,0.0005579748008273513,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/d3c91694-d5b8-424c-9974-e14c89226e49,3,0,9800,6977.0,150,10934,82.66666666666667,0.0016739244024820538,0.0,9800,9800,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/e1e90cc4-a1dd-4a62-b1d7-7634e35ab197,1,0,4981,4981.0,4981,4981,60.0,0.0005579748008273513,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/e2602d50-4e8f-47e0-80d2-50904e766c79,2,0,3813,4385.0,3813,4957,94.0,0.0011159496016547026,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/e27be2fe-6a12-431d-8dd8-1dbcd0baa7de,5,0,480,3508.4,74,10580,73.6,0.0027898740041367564,0.0,480,6300,6300,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/ec6fb1bb-58e4-4db2-93b0-508b39e32e91,1,0,451,451.0,451,451,60.0,0.0005579748008273513,0.0,450,450,450,450,450,450,450,450,450,450,450
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/f05b39ab-dff9-48f5-a639-238df4085273,1,0,4939,4939.0,4939,4939,60.0,0.0005579748008273513,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/f33ee72d-c9d3-4ce5-a69b-dd1025c142a4,5,0,4900,4924.4,95,10793,60.0,0.0027898740041367564,0.0,4900,8800,8800,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/f4e23e99-c71e-4dfd-aaef-8cfcac7c8984,1,0,5019,5019.0,5019,5019,60.0,0.0005579748008273513,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/f6dd7331-aa8c-4d7c-8794-d1b3f8d5b864,1,0,4870,4870.0,4870,4870,60.0,0.0005579748008273513,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/fa1d4828-45e9-4e27-ba2d-8522a57b61fa,2,0,4814,5423.0,4814,6032,60.0,0.0011159496016547026,0.0,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/orders/payForTheOrder,4,0,17000,15950.25,11551,18405,67.0,0.002231899203309405,0.0,17000,17000,18000,18000,18000,18000,18000,18000,18000,18000,18000
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/orders/queryOrdersForRefresh,806,0,340,1738.2096774193549,81,14556,21813.51240694789,0.4497276894668451,0.0,340,440,600,5200,6100,6900,12000,12000,15000,15000,15000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/10bc6e4f-5273-498b-8dcd-dbe9ab78b26c/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,19743,19743.0,19743,19743,54.0,0.0005579748008273513,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
