Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/contacts/findContactsByAccountId/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,11,3,5900,26943.454545454544,64,60002,400.72727272727275,0.006114876174538237,0.001667693502146792,5900,57000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/156c0380-236d-48d4-8313-e8970b54599c,2,0,5200,8051.5,5151,10952,60.0,0.0011117956680978614,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/26ff53ac-381f-4c0b-99f6-d64e4cd052f6,2,0,165,2900.0,165,5635,77.0,0.0011117956680978614,0.0,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/30147916-c460-4b1f-9058-2d4ee6712eb5,2,1,141,30073.0,141,60005,30.0,0.0011117956680978614,0.0005558978340489307,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/317393d6-28fb-4c70-9004-b05c8a44529d,2,0,4700,13120.0,4663,21577,47.0,0.0011117956680978614,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/407971ca-73a3-4f52-9e07-7bd509e8b8e7,1,0,14395,14395.0,14395,14395,0.0,0.0005558978340489307,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/57fdb5e3-c0ad-4699-ae41-7508c3b8b159,1,0,5017,5017.0,5017,5017,94.0,0.0005558978340489307,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/84a2aa09-5ec9-449f-b265-d54b6957c940,1,0,4762,4762.0,4762,4762,94.0,0.0005558978340489307,0.0,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/929ee5d2-fd09-4fad-b7f0-f3799207c466,1,0,164,164.0,164,164,60.0,0.0005558978340489307,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/b8c6162b-2d4b-4ab4-b6c0-a8a485f4ef75,1,0,5442,5442.0,5442,5442,94.0,0.0005558978340489307,0.0,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/orders/queryOrdersForRefresh,609,0,470,1167.440065681445,290,29017,11423.0,0.3385417809357988,0.0,470,530,620,730,1700,5800,11000,11000,29000,29000,29000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/249f31fd-f531-4d3d-8725-25fbd55b7003/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,6123,6123.0,6123,6123,79.0,0.0005558978340489307,0.0,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/26ff53ac-381f-4c0b-99f6-d64e4cd052f6/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,1,32763,32763.0,32763,32763,106.0,0.0005558978340489307,0.0005558978340489307,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/30147916-c460-4b1f-9058-2d4ee6712eb5/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,5800,11665.5,5785,17546,66.5,0.0011117956680978614,0.0,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/57fdb5e3-c0ad-4699-ae41-7508c3b8b159/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,14680,14680.0,14680,14680,54.0,0.0005558978340489307,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/7f96a17d-787b-4471-85d6-4cd10e81806a/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,15949,15949.0,15949,15949,54.0,0.0005558978340489307,0.0,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/92ba608f-40b3-4f44-8e4b-550cfc198552/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,1,60001,60001.0,60001,60001,167.0,0.0005558978340489307,0.0005558978340489307,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/tickets/getLeftTripTickets,953,0,5500,6590.376705141658,3881,52400,430.54144805876183,0.5297706358486309,0.0,5500,6000,6500,6900,11000,12000,16000,18000,52000,52000,52000
,Aggregated,1593,6,4900,4757.623352165725,64,60005,4628.175768989328,0.8855452496399465,0.003335387004293584,4900,5500,5900,6200,9400,11000,16000,28000,60000,60000,60000
