Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.00450516,4.141,0.0980469,34.67
2,0.0046711,5.390,0,34.69
3,0.00578213,4.667,0,34.76
4,0.00776768,4.011,0.00859375,34.78
5,0.00624275,3.297,0,34.86
6,0.0191898,8.268,0,34.86
7,0.00475788,4.147,0,34.85
8,0.0344896,8.976,0.151172,35.53
9,0.0286951,20.432,0.208203,35.16
10,1.22849,12.636,0,35.49
11,5.69269,21.049,0.184766,36.47
12,0.035655,14.617,1.10898,36.68
13,0.0257015,7.064,0,36.61
14,3.8582,10.897,0,36.98
15,4.07852,17.544,0,37.88
16,0.0388508,13.598,0,37.96
17,0.0762329,13.500,1.10195,38.88
18,0.075592,18.159,0.380078,38.41
19,0.0142469,14.664,0.212891,38.53
20,0.258877,6.539,0,38.71
21,10.4247,26.683,0,40.19
22,3.69222,24.801,0,40.79
23,0.071249,12.057,1.84766,40.81
24,0.0118895,14.465,0.195703,40.87
25,0.0406809,9.675,0.0179688,40.95
26,10.3736,13.024,0,41.81
27,0.0695848,20.247,0,42.11
28,0.0595188,11.015,0.893359,42.42
29,0.0269346,11.982,0.208203,42.24
30,1.09583,7.766,0,42.44
31,8.0349,18.099,0,43.38
32,0.0403662,9.987,0,43.45
33,0.0239201,6.981,0,43.46
34,0.045454,18.272,1.03984,43.64
35,0.0615654,18.714,0.201172,43.86
36,10.2703,24.610,0,44.76
37,0.0387659,9.677,0,44.93
38,0.0908489,13.436,0.897656,44.94
39,0.0139809,13.452,0.201953,45.00
40,0.0506725,9.123,0,45.33
41,12.6131,17.222,0,46.13
42,0.0551786,11.407,0,46.30
43,0.0143738,6.326,0,46.38
44,0.0469275,11.985,1.06875,46.56
45,0.0288591,12.987,0.197656,46.65
46,0.672718,8.656,0,46.85
47,6.00672,27.459,0,47.71
48,0.0172348,9.257,0,47.67
49,0.0464458,15.304,0.889063,48.05
50,0.0280943,14.496,0.204297,47.97
51,0.0371151,7.779,0,48.02
52,0.0200987,10.041,0,48.02
53,10.2479,18.646,0,49.06
54,0.0665255,17.318,0.904688,47.94
55,0.0363894,15.481,0.318359,47.79
56,0.0434484,8.655,0.0207031,47.86
57,6.29911,12.263,0,48.49
58,0.0742435,17.313,0,48.99
59,0.0452166,8.513,0,48.96
60,0.0406084,25.719,1.07305,49.10
61,0.0566292,15.658,0.193359,49.23
62,0.0307674,14.803,0.0191406,49.13
63,0.0971794,9.848,0,49.28
64,13.3462,17.924,0.120313,48.78
65,0.0275679,17.751,1.00898,48.95
66,0.0363283,9.784,0,48.82
67,0.0154467,7.224,0,48.84
68,0.0136471,5.985,0,48.97
69,0.00966454,5.751,0.0179688,48.90
70,0.0722723,9.445,0,48.81
71,0.0190125,5.278,0,48.83
72,0.0429459,16.236,0.201563,47.72
73,0.124812,23.782,0.458203,45.44
74,0.0861855,24.085,0.594141,44.64
75,0.0737047,22.730,0.341016,44.31
76,23.5545,26.230,1.83789,46.25
77,0.0749931,25.402,0.216016,46.68
78,0.143089,17.672,0.021875,47.12
79,0.155124,18.765,0.207813,47.27
80,13.3401,25.594,0.245313,47.91
81,0.233068,22.816,0,48.37
82,12.6712,20.086,0,49.40
83,0.091012,19.757,2.04688,49.93
84,0.144667,21.029,0.209375,50.04
85,0.161819,24.165,0.00507813,50.22
86,0.161638,20.251,0,50.18
87,12.6257,19.864,0,51.16
88,0.165149,25.140,0,51.40
89,0.0826378,11.973,0.0214844,51.38
90,0.117205,21.962,1.28438,50.74
91,0.057723,22.145,0.346484,50.38
92,0.123296,11.289,0,50.49
93,0.873075,20.901,0,50.64
94,10.6033,22.304,0,51.54
95,0.245179,22.002,0,51.67
96,0.237988,21.193,0.0300781,51.75
97,0.207997,17.521,0,51.67
98,0.188491,25.423,0.0148438,51.54
99,0.0975866,12.981,0,51.79
100,0.18522,19.515,0,51.83
101,0.0778713,18.859,0,51.84
102,0.227159,17.171,0.0128906,51.95
103,0.132229,13.358,0,51.81
104,0.113508,12.923,1.04258,51.78
105,0.178283,17.301,0,52.01
106,0.142245,13.130,0,52.02
107,0.169056,16.082,0.0113281,52.04
108,0.120672,15.537,0,52.09
109,0.241635,17.500,0.116797,52.17
110,0.219098,18.453,0,52.26
111,0.226496,23.662,0.0078125,52.35
112,0.314043,23.664,0,52.36
113,0.113452,17.226,0,52.45
114,0.16526,19.567,0,52.19
115,0.124447,14.654,0.00664063,52.19
116,0.151061,13.557,0,52.30
117,0.305968,15.900,0.410938,52.28
118,0.143081,17.394,0.194141,52.42
119,0.212621,19.170,0.021875,52.56
120,12.6657,17.429,0,53.46
121,0.0819664,16.881,0,53.60
122,0.168375,14.682,0,53.71
123,0.232228,15.132,0.0167969,53.56
124,0.205742,28.058,1.04492,53.52
125,0.0793238,16.177,0.0933594,53.50
126,0.0906992,17.958,0.0207031,53.54
127,0.175382,14.007,0,53.57
128,0.187308,21.733,0.382422,52.58
129,0.0599527,14.312,0.252344,52.40
130,0.245979,9.456,0,52.64
131,10.8728,25.518,1.11719,53.65
132,0.120614,28.960,0.372266,52.47
133,0.0614986,10.862,0.0421875,52.49
134,12.6002,12.385,0,53.49
135,0.0386,14.801,0,53.67
136,0.0373449,9.051,0,53.68
137,0.0728979,20.970,0.0230469,52.30
138,0.146705,26.073,1.24297,52.49
139,0.113308,18.642,0.254297,52.69
140,0.0794344,15.191,0,52.50
141,2.35031,17.986,0.15625,51.39
142,7.88632,32.367,0.447266,52.57
143,0.117502,28.763,1.26523,51.22
144,0.166842,24.935,0.442969,50.93
145,13.4207,20.893,0.207422,52.00
146,0.0851316,16.554,0,52.19
147,0.0863276,9.813,0,52.23
148,0.033515,10.462,0,52.41
149,0.0720291,10.060,0,52.32
150,0.154593,22.352,0,52.36
151,0.212017,18.954,0,52.37
152,0.20376,17.385,0,52.39
153,0.15339,14.931,0,52.35
154,0.141388,12.507,0.0109375,52.30
155,0.121835,12.748,0,52.21
156,0.187004,14.747,0,52.35
157,0.262814,25.171,0.707422,51.27
158,0.250095,22.312,0.275,51.18
159,0.203631,15.341,0,51.26
160,0.704432,15.183,0,51.19
161,10.4882,27.828,0,53.44
162,0.133546,14.441,0,52.48
163,0.276368,25.331,0.0296875,52.59
164,0.0943413,16.118,0,52.61
165,0.211403,18.636,0,52.57
166,0.219094,17.492,0,52.64
167,0.193351,14.418,0.569141,52.68
168,0.310148,15.710,0.0148438,51.42
169,0.133435,21.328,0.492188,51.55
170,0.116436,16.456,0.245703,51.74
171,6.67308,17.192,0,52.41
172,0.096611,19.852,0,53.00
173,0.216376,15.303,0,53.20
174,0.355655,19.760,0.0214844,53.19
175,0.151113,12.772,0,53.17
176,0.166165,21.023,0,53.22
177,0.140704,18.124,0,53.42
178,0.215539,18.164,0,53.40
179,0.172227,15.677,0.00820313,53.51
180,0.201704,13.399,0,53.47
181,0.269527,18.785,0,53.66
182,0.237438,17.460,0,53.61
183,0.231481,17.396,1.02852,53.79
184,0.215323,19.033,0,53.91
185,0.191876,14.875,0,53.86
186,0.160374,13.956,0,53.76
187,0.323922,19.987,0,53.90
188,0.161599,19.533,0.0851563,53.97
189,0.336392,25.297,0,54.11
190,0.172448,26.149,0,53.90
191,0.230884,25.298,0,54.99
192,0.262753,22.215,0.00859375,54.31
193,0.233977,22.012,0.028125,54.14
194,0.275754,19.623,0.00585938,54.24
195,0.203901,14.984,0,54.41
196,0.193275,20.461,0.110938,54.31
197,0.176401,16.791,0.250391,54.46
198,0.0899963,10.117,0,54.31
199,0.211897,25.397,0.64375,51.39
200,0.172376,24.873,0.43125,51.50
201,12.8535,26.012,0.0335937,52.69
202,0.214417,34.591,0,53.25
203,13.4257,31.644,0,54.09
204,0.198268,25.031,0,54.43
205,0.153245,18.427,0.021875,54.44
206,0.191933,14.620,0,54.41
207,0.119164,11.491,0,54.40
208,0.168291,12.431,0,54.54
209,0.141436,18.176,1.38125,53.28
210,0.0982847,18.647,0.225391,53.34
211,0.0789232,7.354,0.000390625,53.54
212,0.2138,15.533,0,53.53
213,13.3482,17.029,0,54.66
214,0.261034,25.588,1.10977,53.27
215,0.176093,22.733,0.367969,53.38
216,0.163716,19.467,0.0226563,53.60
217,12.8295,20.025,0,54.72
218,0.121901,23.955,0,54.89
219,0.11704,13.182,1.12148,54.88
220,0.201195,21.865,0.314453,53.59
221,0.203401,19.532,0.132031,53.68
222,12.6964,18.746,0,54.64
223,0.064538,12.608,0,54.84
224,0.128508,11.028,0,54.79
225,0.117096,11.404,0,54.87
226,0.232801,14.880,0.0214844,54.96
227,0.31781,19.767,0,54.88
228,0.200416,21.717,0,54.98
229,0.152418,13.035,0,55.00
230,0.248442,14.367,0.00820313,55.00
231,0.306043,26.997,1.30781,53.74
232,0.0839605,20.277,0.299219,53.66
233,0.131533,9.802,0.0253906,53.72
234,0.054142,7.935,0,53.80
235,12.5965,12.720,0,54.78
236,0.0748377,25.298,1.26406,53.44
237,0.0767126,16.287,0.252734,53.39
238,0.105634,9.186,0.0191406,52.99
239,13.2282,18.546,0,54.15
240,0.160068,21.200,1.08125,52.87
241,0.134343,16.171,0,52.80
242,0.224574,19.592,0.235156,52.87
243,0.0267191,13.843,0.201953,52.97
244,0.194755,22.083,0.0226563,53.11
245,12.7348,19.268,0,54.18
246,0.123959,17.010,0,54.32
247,0.144337,12.296,0,54.35
248,0.119707,10.734,0.0175781,54.43
249,0.224334,25.418,1.57617,52.96
250,0.108437,16.550,0.275391,53.09
251,0.304415,17.986,0.327344,51.81
252,12.3953,26.037,1.15156,52.84
253,0.110446,18.040,0.0214844,53.17
254,13.4275,22.414,0,54.41
255,0.220522,26.961,0.0242188,53.27
256,0.213543,19.506,1.34219,53.40
257,0.394459,32.434,0.31875,53.69
258,7.03605,15.990,0,54.30
259,1.53998,23.200,0,54.77
260,0.197441,16.024,0,55.02
261,0.232337,18.857,0,55.04
262,0.0813894,14.303,1.29961,53.86
263,0.123309,25.143,0.6,53.22
264,0.0609331,15.187,0.316016,52.71
265,10.7,21.455,0,53.71
266,10.4449,24.952,1.98242,53.34
267,0.130157,23.389,0.212891,53.48
268,0.191759,18.000,0.0261719,53.56
269,12.8261,26.833,0,54.75
270,0.109606,21.365,0,54.76
271,0.0978642,13.128,0,54.88
272,0.19967,19.178,0.03125,54.99
273,0.226913,15.006,0,55.00
274,0.325294,21.042,0.226172,53.70
275,0.172078,21.648,0.278906,53.75
276,0.19658,17.780,0.242578,53.90
277,13.5314,17.990,0,54.88
278,0.113801,29.224,1.31055,54.43
279,0.063406,18.363,0.275781,53.91
280,0.0399351,11.583,0,54.00
281,13.2776,33.586,1.3668,54.08
282,0.0816822,22.173,0.237109,54.22
283,0.0376415,11.666,0,54.23
284,0.161627,10.581,0,54.37
285,9.81726,18.165,0.0273438,53.77
286,0.0436974,18.896,1.06133,53.85
287,0.0251102,13.644,0.216406,54.04
288,0.0770674,12.158,0.286719,52.61
289,12.6439,19.533,0.255469,53.61
290,0.0327053,19.294,0.0191406,54.14
291,12.6652,13.584,0,55.16
292,0.075511,24.825,1.20586,53.92
293,0.0555429,16.899,0.425,54.21
294,4.40556,26.709,0.419141,53.29
295,5.01478,19.824,0.021875,54.27
296,7.86147,25.203,0,55.43
297,0.116389,13.525,0,55.45
298,0.0711308,9.830,0,55.40
299,0.155643,16.170,0.0296875,55.48
300,0.131309,12.143,0,55.49
301,0.176217,19.101,0.150391,55.58
302,0.283015,24.223,2.37813,54.49
303,0.1108,17.159,0.256641,54.55
304,0.0209494,7.899,0,54.62
305,10.3167,23.919,1.00195,54.06
306,0.0639963,24.673,0.242578,54.02
307,0.0874672,11.916,0.0410156,54.16
308,0.0358753,16.357,0.398047,53.08
309,12.6307,21.951,0.0953125,54.34
310,12.089,15.151,0,54.81
311,0.0307112,16.472,0,55.32
312,0.141151,9.981,0.0316406,53.92
313,0.226293,26.704,1.36797,54.00
314,0.124023,12.253,0.251953,54.10
315,8.78279,21.542,0,54.76
316,0.125422,19.926,0,55.33
317,0.15186,12.851,0,55.31
318,0.0856533,12.330,0,55.39
319,0.0661573,17.553,0,55.34
320,0.0590267,12.359,0,55.36
321,0.0382471,9.874,0,55.44
322,0.0391006,7.273,0,55.43
323,0.0935831,8.853,0.00820313,55.42
324,0.107206,9.244,0,55.28
325,0.214255,15.221,0,55.37
326,0.202838,12.967,0,55.37
327,0.233076,13.545,0.534766,55.42
328,0.0628519,9.270,0,55.39
329,0.0155926,4.445,0,55.42
330,0.0640278,11.367,0,55.42
331,0.0675936,7.759,0.470703,55.46
332,0.0911055,19.169,0.00664063,55.49
333,0.299762,21.455,0,55.57
334,0.210588,18.429,0,55.62
335,0.232016,14.365,0,55.42
336,0.166032,11.138,0.00742188,55.55
337,0.226869,16.384,0,55.50
338,0.176198,12.091,0,55.52
339,0.110868,8.727,0,55.58
340,0.235395,12.637,0.034375,55.62
341,0.331488,18.153,0,55.64
342,0.322748,17.160,0,55.57
343,0.173627,16.339,0,55.64
344,0.139972,10.729,0.217969,55.64
345,0.217711,25.309,0.0144531,55.62
346,0.148511,19.847,0.306641,54.49
347,0.179034,25.016,0.337109,54.36
348,0.236125,16.034,0.0214844,54.52
349,13.4207,18.438,0,55.54
