Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/contacts/findContactsByAccountId/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,66,0,18,208.86363636363637,11,6449,551.0,0.03669761490850617,0.0,18,19,21,22,37,98,5900,6400,6400,6400,6400
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/0370c993-b61c-4e03-b6d4-1ba07f9cdd5b,1,0,143,143.0,143,143,60.0,0.0005560244683106996,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/04ed99b6-ebaa-442b-9efb-2ac0f7c591b6,1,0,146,146.0,146,146,60.0,0.0005560244683106996,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/05d985c7-0393-44f5-ae50-83771b857eb5,1,0,9827,9827.0,9827,9827,58.0,0.0005560244683106996,0.0,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/091395bc-acc0-452f-9395-a11eb8da862f,1,0,151,151.0,151,151,60.0,0.0005560244683106996,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/09723acb-1076-4065-abf4-be118d2ccdec,1,0,151,151.0,151,151,60.0,0.0005560244683106996,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/0af233cd-01ff-44e2-9b28-e003f94af8bf,1,0,171,171.0,171,171,58.0,0.0005560244683106996,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/0e88fbe7-e804-460f-9120-e4f185862eca,1,0,201,201.0,201,201,60.0,0.0005560244683106996,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/11f84941-e4d1-4a56-8dec-85a12ef302db,1,0,322,322.0,322,322,58.0,0.0005560244683106996,0.0,320,320,320,320,320,320,320,320,320,320,320
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/14d44eb4-9d35-499b-a13d-eaa9c7694af7,1,0,200,200.0,200,200,60.0,0.0005560244683106996,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/17b00862-7334-42d9-af2b-b5b7011452b5,1,0,128,128.0,128,128,60.0,0.0005560244683106996,0.0,130,130,130,130,130,130,130,130,130,130,130
