Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/contacts/findContactsByAccountId/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,19,0,16,584.0526315789474,10,5930,551.0,0.017710895916162216,0.0,16,17,17,18,4900,5900,5900,5900,5900,5900,5900
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/249f31fd-f531-4d3d-8725-25fbd55b7003,1,0,226,226.0,226,226,94.0,0.0009321524166401166,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/26ff53ac-381f-4c0b-99f6-d64e4cd052f6,1,0,176,176.0,176,176,60.0,0.0009321524166401166,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/407971ca-73a3-4f52-9e07-7bd509e8b8e7,1,0,11432,11432.0,11432,11432,60.0,0.0009321524166401166,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/5ad7750b-a68b-49c0-a8c0-32776b067703,3,0,350,1702.3333333333333,197,4564,94.0,0.00279645724992035,0.0,350,350,4600,4600,4600,4600,4600,4600,4600,4600,4600
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/8177ac5a-61ac-42f4-83f4-bd7b394d0531,1,0,147,147.0,147,147,94.0,0.0009321524166401166,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/8c48c8fc-4e15-4176-8689-4a56667d509d,2,0,621,5152.5,621,9684,60.0,0.0018643048332802332,0.0,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/92ba608f-40b3-4f44-8e4b-550cfc198552,1,0,5133,5133.0,5133,5133,94.0,0.0009321524166401166,0.0,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/b8c6162b-2d4b-4ab4-b6c0-a8a485f4ef75,2,0,203,5105.0,203,10007,94.0,0.0018643048332802332,0.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/d3c91694-d5b8-424c-9974-e14c89226e49,2,0,10256,10623.5,10256,10991,94.0,0.0018643048332802332,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
