Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,1.707,0,32.63
2,0.000619888,9.129,0.0175781,32.60
3,0.000506401,3.635,0.0199219,32.64
4,0.00113106,4.529,0.0890625,32.62
5,6.29425e-05,4.042,0,32.62
6,0.0240631,5.155,0,32.65
7,0.000171661,3.909,0,32.65
8,0.0221863,5.332,0.0164063,32.58
9,0.0168791,4.801,0,32.60
10,0.0321617,6.183,0.00234375,32.62
11,0.0455694,5.683,0,32.61
12,0.0155487,9.733,0.197266,33.41
13,0.0209236,10.900,0.217188,32.94
14,13.3455,16.461,0.16875,34.55
15,0.0189476,15.087,1.12969,34.30
16,2.54649,14.910,0,34.71
17,6.51263,14.917,0.0324219,35.65
18,0.0413017,10.850,0.226172,35.81
19,0.0265055,8.065,0.0246094,35.90
20,6.33351,8.917,0,36.56
21,0.0268126,14.303,0,36.92
22,0.0670595,10.151,0.0570313,36.96
23,0.0746622,12.022,1.07969,37.10
24,0.00485897,11.789,0.21875,37.20
25,0.726691,7.563,0,37.28
26,8.1628,14.940,0,38.23
27,0.0752888,14.381,0.907031,38.28
28,0.0367918,13.238,0.233594,38.45
29,0.0218849,15.346,0.308594,38.56
30,9.0895,13.523,0.0203125,39.54
31,12.6109,19.143,0,41.10
32,0.0780935,12.208,0,41.24
33,0.00217056,4.347,1.9418,41.64
34,0.0352507,8.468,0.191797,41.28
35,2.37283,12.844,0.0210938,41.78
36,5.5782,16.931,0.025,42.44
37,0.088707,10.964,1.08633,42.51
38,0.00389004,10.012,0.190234,42.61
39,0.0441484,9.669,0.00585938,42.81
40,12.1194,22.262,0,43.87
41,0.0775642,11.319,0.0046875,43.86
42,0.0221939,15.071,0.0871094,43.85
43,0.0207071,10.232,0.191406,44.14
44,10.2594,10.968,0.00273438,45.05
45,0.031023,8.788,0,45.10
46,0.0534334,5.995,0.003125,45.13
47,0.0132599,5.244,0.0183594,45.12
48,0.0194445,4.441,0.0164063,45.17
49,0.0588846,8.155,0,45.09
50,0.00127029,14.606,0.917969,45.13
51,0.013936,14.311,0.0195312,45.44
52,0.0669746,14.028,0.00273438,45.32
53,12.657,15.811,0.182031,46.84
54,0.0113659,20.161,1.12109,46.84
55,0.0663443,10.681,0,46.80
56,2.29418,8.711,0,46.99
57,7.57339,18.877,1.0582,48.05
58,0.0331707,12.954,0.221875,48.22
59,0.0699949,8.023,0.0285156,48.31
60,13.3253,13.725,0,49.41
61,0.0805292,14.892,1.12266,49.26
62,0.14323,25.728,0.350391,49.42
63,0.311986,7.725,0.3375,49.51
64,13.24,19.713,1.13359,50.53
65,0.291326,30.841,0.021875,50.85
66,5.03312,22.242,0,51.44
67,2.45822,23.096,1.1082,49.13
68,0.0511227,14.383,0.195312,49.01
69,0.0597467,8.140,0,49.00
70,0.171514,10.274,0,48.93
71,0.167578,10.727,0.00390625,48.95
72,0.257243,9.706,0.025,48.93
73,0.312772,13.108,0.0152344,48.94
74,0.303603,12.773,0,48.97
75,0.56464,15.063,0.0652344,48.94
76,0.701564,15.482,0,48.97
77,0.51707,13.547,0.419531,47.60
78,0.227494,27.952,0.132422,47.54
79,0.460072,14.052,0.00390625,47.55
80,0.33205,12.614,0,47.53
81,0.358514,9.330,0,47.54
82,0.336969,18.552,0.305469,45.81
83,0.217083,12.584,0.0371094,45.73
84,0.505079,10.564,0,45.74
85,0.497253,8.960,0,45.74
86,0.37659,5.256,0.0015625,45.79
87,0.443072,10.974,0.220313,44.53
88,0.105432,11.035,0.0980469,44.43
89,0.152474,11.510,0.0199219,44.50
90,0.0786057,14.338,0,44.59
91,0.308062,12.943,0.133203,43.26
92,0.0668736,16.996,0.0960938,43.18
93,0.307531,5.654,0.0210938,43.17
94,0.181001,11.365,0.0015625,43.17
95,0.34686,6.979,0,43.16
96,0.182784,10.450,0.0398438,43.14
97,0.372803,8.552,0.0238281,43.13
98,0.545959,4.787,0.0171875,43.13
99,0.119797,8.009,0,43.15
100,0.0992508,8.557,0.00585938,43.13
101,0.363999,6.302,0.0566406,43.14
102,0.347618,8.217,0,43.14
103,0.111321,15.531,0.0144531,43.15
104,0.353869,11.164,0.0210938,43.22
105,0.144485,20.037,0.102344,41.64
106,0.138513,12.454,0.221094,42.08
107,0.286095,15.237,0.25,41.91
108,0.229635,11.226,0.00585938,42.01
109,11.5678,24.891,1.04766,41.69
110,0.347443,15.821,0.135938,41.75
111,0.161343,9.451,0.0015625,41.71
112,0.348176,16.027,0.224609,40.17
113,0.127813,10.444,0.0195312,40.11
114,0.0701303,8.348,0,40.13
115,0.282014,15.309,0,40.16
116,0.573337,9.393,0,40.13
