Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/contacts/findContactsByAccountId/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,10,1,67,13925.8,41,60003,495.9,0.005562064834765475,0.0005562064834765475,73,620,35000,43000,60000,60000,60000,60000,60000,60000,60000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/249f31fd-f531-4d3d-8725-25fbd55b7003,5,0,120,1071.2,101,4671,94.0,0.0027810324173827374,0.0,120,350,350,4700,4700,4700,4700,4700,4700,4700,4700
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/317393d6-28fb-4c70-9004-b05c8a44529d,1,0,118,118.0,118,118,94.0,0.0005562064834765475,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/5ad7750b-a68b-49c0-a8c0-32776b067703,3,0,210,11679.333333333334,83,34748,94.0,0.0016686194504296425,0.0,210,210,35000,35000,35000,35000,35000,35000,35000,35000,35000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/8177ac5a-61ac-42f4-83f4-bd7b394d0531,1,0,137,137.0,137,137,60.0,0.0005562064834765475,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/8c48c8fc-4e15-4176-8689-4a56667d509d,2,0,140,5128.5,140,10117,60.0,0.001112412966953095,0.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/b8c6162b-2d4b-4ab4-b6c0-a8a485f4ef75,1,0,110,110.0,110,110,60.0,0.0005562064834765475,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/d3c91694-d5b8-424c-9974-e14c89226e49,3,0,7900,13662.666666666666,157,32916,94.0,0.0016686194504296425,0.0,7900,7900,33000,33000,33000,33000,33000,33000,33000,33000,33000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/order/calculateRefund/d8242288-3826-4fe8-8df3-874bb9e98ed5,1,0,10247,10247.0,10247,10247,60.0,0.0005562064834765475,0.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/orders/payForTheOrder,4,0,600,9780.75,166,27983,79.0,0.00222482593390619,0.0,10000,10000,28000,28000,28000,28000,28000,28000,28000,28000,28000
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/orders/queryOrdersForRefresh,685,0,210,368.41167883211676,120,13505,3364.756204379562,0.38100144118143503,0.0,210,260,340,470,660,800,1000,1200,14000,14000,14000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/249f31fd-f531-4d3d-8725-25fbd55b7003/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,39905,39905.0,39905,39905,79.0,0.0005562064834765475,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/317393d6-28fb-4c70-9004-b05c8a44529d/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,2,37249,48625.5,37249,60002,53.0,0.001112412966953095,0.001112412966953095,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/ticket/cancleTicket/5ad7750b-a68b-49c0-a8c0-32776b067703/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,4,3,60000,45110.75,436,60003,19.75,0.00222482593390619,0.0016686194504296425,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
