Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.0159388,1.648,0,36.45
2,0.0173273,3.197,0.410938,36.45
3,0.0649576,6.420,0.0488281,36.47
4,0.0176172,5.140,0.00195312,36.66
5,0.160259,5.751,0.0699219,36.82
6,0.0152779,9.673,0.343359,36.85
7,0.0383739,15.665,0.222266,37.17
8,0.248762,10.104,0.267969,37.47
9,10.873,26.968,0.209766,38.67
10,13.22,23.703,1.12617,40.13
11,12.0827,13.559,0,40.80
12,0.0672941,20.148,2.22109,41.49
13,0.174594,14.172,0.346094,41.66
14,0.022788,7.432,0,41.67
15,13.4066,18.061,0.0167969,42.88
16,0.13119,19.758,1.31523,43.11
17,0.0367289,20.758,0.280078,43.32
18,0.0238581,8.682,0.0015625,43.49
19,0.0297251,15.006,0,43.47
20,12.9721,14.037,0.0402344,44.51
21,0.0687828,17.132,0.00195312,44.71
22,0.198949,14.765,1.43516,44.90
23,0.0475597,11.486,0.257031,44.85
24,0.229295,9.172,0.0492188,44.97
25,9.0925,16.676,0,45.82
26,0.0405598,8.160,0,45.81
27,0.0351362,13.793,1.07812,46.00
28,0.0239668,17.047,0.0660156,46.15
29,12.6207,15.403,0.00195312,47.21
30,0.191687,12.903,0.05625,47.33
31,0.367033,11.846,1.4043,47.77
32,0.0998058,10.966,0.282813,47.58
33,1.38217,8.947,0.0667969,47.78
34,7.76377,16.014,0,48.93
35,0.0513144,9.634,1.20312,49.03
36,0.0441542,13.875,0.233203,49.17
37,0.0733032,12.814,0.0351562,49.16
38,12.6485,20.231,0.203516,50.17
39,0.185568,11.599,0.0488281,50.32
40,0.0720816,18.500,1.19688,50.44
41,0.14211,16.540,0.300391,50.67
42,0.035326,7.963,0.00117188,50.69
43,10.2797,14.199,0,51.54
44,0.0223799,11.246,0,51.58
45,0.087326,16.019,1.08086,51.61
46,0.0219345,10.926,0.367578,51.82
47,0.176951,6.706,0.0640625,51.82
48,13.3006,12.530,0,52.99
49,0.0611353,22.118,0.01875,53.20
50,0.147795,9.927,1.28828,53.25
51,0.0251331,15.753,0.259766,53.51
52,0.0346708,8.851,0.0324219,53.43
53,12.7952,21.683,0,54.55
54,0.0836668,14.052,0.0289063,54.74
55,0.0406752,14.930,1.25313,54.86
56,0.190707,9.174,0.347656,55.00
57,2.31561,14.170,0.263672,55.28
58,7.25459,21.036,0.310547,56.31
59,1.90633,24.937,0,56.71
60,7.84406,35.213,1.24609,57.46
61,0.0426016,31.775,1.20469,57.69
62,0.048152,24.592,0.488281,56.17
63,12.6164,28.858,0.617578,55.66
64,0.210374,22.636,1.15781,54.43
65,9.07056,14.769,0.120313,55.09
66,0.115385,28.981,0.358594,52.64
67,0.387457,30.918,0.473438,52.82
68,0.339532,24.103,0.4625,52.97
69,4.76334,16.416,0.257422,53.46
70,4.2078,17.729,0.0210938,54.41
71,13.9786,28.928,0.0414063,55.61
72,0.587281,21.538,0.00234375,55.85
73,0.687633,16.472,2.1832,54.53
74,0.704007,11.138,0.132031,54.51
75,0.2297,10.092,0.084375,54.65
76,0.60934,12.962,0,54.57
77,0.410378,6.503,0,54.57
78,0.510538,9.046,0,54.62
79,0.085556,15.460,0,54.58
80,0.490673,9.169,0.0300781,54.59
81,0.134549,11.303,0.0753906,54.65
82,0.472094,11.987,0.136328,54.62
83,0.191865,17.928,0.0371094,54.65
84,0.390301,13.255,0.0890625,54.66
85,0.267406,9.152,0.0433594,54.66
86,0.146835,10.656,0.323438,53.52
87,0.403054,10.986,0.138281,53.37
88,0.71722,11.373,0.0390625,53.39
89,0.419456,8.189,0.00234375,53.35
90,0.512815,9.035,0.0722656,53.40
91,0.847785,15.863,0.384375,51.97
92,1.10604,18.142,0.0289063,51.85
93,0.48917,11.873,0.303125,51.93
94,0.213249,19.165,0.336719,52.20
95,0.805593,10.147,0,52.21
96,0.988477,7.341,0,52.46
97,5.03247,15.346,0.0371094,53.42
98,0.12345,10.191,0.00273438,53.13
99,0.627151,9.262,0.0765625,53.10
100,0.301483,10.768,0.0175781,53.18
101,0.324753,15.033,1.29375,53.53
102,0.137124,14.241,0.248828,53.39
103,1.09992,14.417,0,53.53
104,8.07267,30.740,0.0375,54.43
105,0.275572,21.075,0,54.43
106,0.39345,20.815,1.05781,53.04
107,0.578051,13.574,0.106641,53.01
108,0.322056,12.354,0,53.07
109,0.480282,8.669,0.0222656,52.97
110,0.599121,8.532,0.0550781,53.03
111,0.138032,15.495,0.180859,51.55
112,0.474564,13.419,0.147656,51.53
113,0.194127,10.852,0,51.55
114,0.809808,11.253,0.0410156,51.54
115,0.612116,18.266,0.184375,51.56
116,0.91132,12.054,0.102734,51.57
117,0.660667,11.186,0,51.61
118,0.628418,19.345,0.0214844,51.55
119,0.598457,9.772,0,51.62
120,0.9366,14.592,0,51.62
121,0.664543,12.151,0.227734,51.54
122,0.169827,9.831,0.0203125,51.61
123,0.558709,11.056,0,51.54
124,0.265012,9.884,0.0421875,51.57
125,0.86449,16.777,0.0214844,50.03
126,0.206844,14.842,0.14375,49.99
127,0.945156,12.577,0.0242188,50.04
128,0.294926,8.708,0,50.03
129,1.14093,8.191,0,50.03
130,0.178228,9.107,0.0609375,50.09
131,0.417146,14.460,0.0421875,50.09
132,0.420433,6.617,0.00273438,50.08
133,0.807268,10.753,0.0527344,50.09
134,0.757217,13.962,0.059375,50.10
135,0.730534,11.234,0.103906,50.09
136,0.313739,16.333,0.0484375,50.11
137,0.494892,9.430,0,50.13
138,0.188711,11.144,0,50.12
139,0.616484,7.393,0.132812,50.03
140,0.332542,10.478,0.0285156,50.13
141,0.409315,15.554,0.00273438,50.06
142,0.364189,9.938,0,49.99
143,1.28314,14.153,0.111328,50.02
144,0.21903,7.437,0.040625,50.07
145,0.60278,21.859,0.427344,48.53
146,0.393936,19.348,0.249219,48.73
147,0.179018,15.737,0,48.68
148,13.8427,22.679,0.0410156,49.70
149,0.31453,18.288,0.0175781,49.82
150,1.31808,8.783,0.0644531,49.79
151,0.431094,8.610,0,49.82
152,0.965472,12.300,1.27188,49.91
153,0.870255,17.431,0.299219,50.16
154,0.646981,10.983,0,50.22
155,12.8284,19.813,0.034375,51.33
156,0.984449,23.569,0,51.52
157,1.02205,12.845,0.0234375,51.60
158,1.30745,21.100,0.00273438,51.60
159,0.75285,11.035,0,51.61
160,0.841269,8.282,0.0183594,51.61
161,0.33042,12.711,0.0484375,51.70
162,0.547878,10.049,0,51.67
163,0.370078,14.490,0,51.69
164,0.230681,11.706,0,51.71
165,0.287925,15.613,0,51.64
166,0.280675,10.163,1.03672,51.62
167,1.04758,16.052,0.127734,51.68
168,1.11318,13.032,0,51.67
169,0.351392,14.990,0.0195312,51.74
170,1.4408,11.659,0.0460938,51.76
171,0.333856,9.073,0.117969,51.80
172,0.541906,8.230,0,51.76
173,0.712791,15.478,0,51.76
174,0.611552,12.137,0.0285156,51.85
175,0.417172,13.186,0.003125,51.81
176,0.824648,10.503,0.0710937,51.76
177,1.09339,10.975,0,51.81
178,0.645949,13.476,0.0652344,51.85
179,0.656246,20.420,0.156641,51.77
180,0.534888,13.381,0,51.75
181,1.20939,11.481,0,51.73
182,0.51186,13.192,0,51.81
183,0.607462,10.650,0.0324219,51.84
184,0.927402,9.802,0.003125,51.81
185,0.611447,15.892,0.111719,51.64
186,0.639809,8.626,0.0386719,51.59
187,1.05755,12.804,0.0886719,51.62
188,1.20859,8.260,0.0472656,51.63
189,1.20911,8.282,0,51.66
190,0.743517,11.440,0,51.71
191,0.95343,11.602,0.0230469,51.80
192,1.07846,12.376,0.003125,51.80
193,0.943117,10.881,0.213281,51.92
194,0.474832,11.875,0,51.73
195,0.57995,13.016,0.0171875,51.73
196,0.598499,12.244,0.0460938,51.73
197,0.989231,10.712,0,51.77
198,0.827827,7.851,0,51.76
199,0.702463,15.928,0,51.70
200,0.214317,8.338,0.0265625,51.68
201,0.85158,18.518,0.310938,50.23
202,0.394013,9.769,0.0671875,50.25
203,1.08953,10.372,0.0273438,50.28
204,0.726695,8.186,0.040625,50.25
